dg_id,driving_acc,driving_dist,player_name,sg_app,sg_arg,sg_ott,sg_putt,sg_total
20766,0.027,-1.031,"Brown, Daniel",-0.195,-0.309,0.227,0.04,-0.238
19190,0.0,-2.919,"Hoshino, Rikuya",-0.174,-0.044,-0.174,0.151,-0.241
14559,0.007,-1.061,"Vincent, Scott",-0.305,-0.134,0.007,0.191,-0.241
10943,0.002,-6.905,"Lashley, Nate",0.08,0.058,-0.273,-0.107,-0.242
16395,0.1,-9.815,"Kohles, Ben",-0.004,-0.192,0.161,-0.207,-0.242
19960,0.014,-0.048,"Pavon, Matthieu",-0.197,-0.267,0.086,0.132,-0.246
22002,-0.048,3.906,"Dumont De Chassart, Adrien",-0.271,-0.054,-0.124,0.197,-0.252
22089,0.008,-0.527,"Syme, Connor",0.032,-0.158,0.002,-0.131,-0.255
1547,-0.016,-3.368,"Mickelson, Phil",0.161,-0.032,-0.128,-0.257,-0.256
14016,0.005,-2.413,"Campillo, Jorge",-0.09,0.082,-0.219,-0.032,-0.258
11451,0.083,-12.85,"Garnett, Brice",-0.2,0.119,-0.104,-0.077,-0.261
15326,0.04,-8.007,"Sullivan, Andy",-0.07,-0.038,-0.095,-0.064,-0.267
22608,-0.012,2.796,"Clements, Todd",-0.365,-0.116,0.071,0.126,-0.283
19538,-0.033,13.587,"Vincent, Kieran",-0.484,-0.217,0.486,-0.072,-0.287
19477,-0.028,5.8,"Schenk, Adam",-0.194,-0.115,0.072,-0.058,-0.295
15651,-0.018,6.747,"Ventura, Kris",-0.239,-0.268,0.158,0.051,-0.298
25362,-0.052,5.422,"Fitzpatrick, Alex",-0.203,0.075,-0.13,-0.041,-0.299
11049,-0.008,-1.843,"Simpson, Webb",-0.123,0.317,-0.338,-0.156,-0.3
22050,-0.005,-2.306,"Suh, Justin",-0.28,-0.062,-0.206,0.248,-0.301
17381,0.026,-5.52,"Silverman, Ben",-0.316,0.021,-0.054,0.048,-0.301
16652,-0.004,-3.985,"Langasque, Romain",-0.233,0.061,-0.326,0.194,-0.304
18524,0.074,-5.911,"Catlin, John",-0.122,-0.054,0.302,-0.431,-0.305
17357,-0.009,-0.929,"Migliozzi, Guido",-0.301,0.078,-0.07,-0.013,-0.306
19872,-0.055,5.413,"Riley, Davis",-0.276,0.048,-0.307,0.228,-0.308
7960,-0.012,7.09,"List, Luke",-0.351,-0.081,0.306,-0.183,-0.309
11460,-0.012,-13.266,"Manassero, Matteo",0.019,0.257,-0.783,0.196,-0.311
11019,0.016,5.098,"Steele, Brendan",0.047,-0.106,0.203,-0.457,-0.313
22259,-0.099,14.944,"Del Rey, Alejandro",-0.324,-0.192,0.023,0.167,-0.326
19421,-0.014,8.224,"Du Plessis, Hennie",0.029,-0.222,0.211,-0.36,-0.342
25131,-0.028,5.679,"Hill, Calum",-0.437,0.017,-0.01,0.088,-0.343
6892,-0.004,-0.147,"Howell III, Charles",-0.193,0.153,-0.013,-0.31,-0.363
21236,-0.066,0.596,"Bryan, Wesley",-0.109,0.076,-0.282,-0.05,-0.365
18187,0.058,-4.304,"Duncan, Tyler",-0.357,-0.123,0.223,-0.11,-0.367
25002,-0.003,-2.631,"Wu, Dylan",-0.158,-0.033,-0.184,-0.005,-0.38
22465,-0.056,18.359,"Penge, Marco",-0.59,-0.335,0.442,0.095,-0.387
11952,0.034,-7.835,"Grace, Branden",0.17,0.01,-0.022,-0.55,-0.391
12359,-0.036,1.083,"Stallings, Scott",0.005,0.076,-0.25,-0.227,-0.396
28276,-0.038,9.147,"Jang, Yubin",0.312,-0.401,0.249,-0.56,-0.4
18635,-0.022,-5.605,"Shelton, Robby",-0.217,0.207,-0.467,0.072,-0.404
32055,-0.009,5.516,"Shipley, Neal",-0.12,-0.14,0.072,-0.218,-0.406
18105,0.005,-1.497,"Lawrence, Thriston",-0.311,-0.06,-0.01,-0.038,-0.419
