Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jimmy Walker,74,MC,40,-,-,-,MC,MC,42,MC,-,MC,-,4,MC,-,-,MC,-,-,MC,-,-,-,6300,400/1,Bet 365,Further details,MC
Robby Shelton IV,43,-,29,MC,MC,-,MC,70,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,-,6300,300/1,Bet 365,Further details,MC
Ryan Armour,50,-,-,-,MC,MC,-,MC,MC,16,-,MC,-,-,-,-,MC,-,4,8,22,25,MC,-,6300,300/1,Bet 365,Further details,MC
Tano Goya,50,-,MC^,MC^,-,-,-,MC,26,40,55,MC,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Brice Garnett,77,-,-,-,68,-,-,47,MC,33,MC,53,-,-,-,32,MC,20,-,20,6,MC,51,MC,6300,400/1,Bet 365,Further details,MC
Richy Werenski,11,-,MC,-,65,-,MC,MC,42,58,MC,MC,-,-,-,-,-,-,10,53,39,-,37,13,6200,500/1,Bet 365,Further details,71
Kelly Kraft,79,-,-,-,MC,-,38,40,MC,40,MC,WD,-,-,-,-,-,57,-,-,MC,-,-,54,6200,600/1,Bet 365,Further details,33
Jonathan Byrd,43,-,-,-,12,-,-,MC,MC,MC,-,MC,-,-,MC,MC,18,-,37,24,MC,-,-,71,6200,500/1,Bet 365,Further details,MC
Tyson Alexander,MC,-,MC,-,MC,-,MC,MC,MC,33,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Augusto Nunez,34,MC^,47^,-,MC,-,-,MC,MC,MC,50,72,-,-,-,-,-,-,-,-,-,-,-,-,6200,350/1,Bet 365,Further details,MC
Brent Grant,83,-,-,-,52,MC,21^,MC,MC,-,44,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Harrison Endycott,50,-,MC,-,12,-,-,MC,66,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Nicolas Echavarria,-,MC,-,MC,-,MC,MC,MC,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
