Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Richard S. Johnson,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,68,6000,1250/1,Bet 365,Further details,MC
Jesse Massie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Jesse Mueller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1250/1,Bet 365,Further details,MC
Ryuji Imada,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Christoffer Bring,MC,MC,MC,MC,-,MC,MC,-,-,76,MC,MC,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,16
Kevin Stadler,MC^^,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6000,2500/1,Bet 365,Further details,MC
Omar Uresti,-,-,-,-,-,-,-,MC,-,-,-,-,-,MC,54,MC,WD,MC,MC,MC,6000,2500/1,Bet 365,Further details,MC
D.A. Points,MC^^,MC,-,MC,-,-,-,-,-,-,-,MC,-,72,73,-,40,-,MC,MC,6000,1250/1,Bet 365,Further details,MC
MJ Daffue,26^^,MC,47,MC,-,MC,MC,38,-,-,24,35,-,-,-,-,-,-,62,-,-,40/1,Bet 365,Further details,16
Chad Campbell,MC^,-,-,-,MC^,-,-,-,-,-,-,-,-,48,35,18,MC,MC,-,-,-,TBC,Bet 365,Further details,NR
Daniel Chopra,-,-,-,-,-,-,-,-,MC^,-,-,-,-,MC,-,-,MC,53,MC,-,-,TBC,Bet 365,Further details,MC
Duffy Waldorf,33^,58^,64^,57^,-,WD^,62^,51^,-,42^,-,-,-,23,-,MC,MC,-,-,-,-,TBC,Bet 365,Further details,NR
Heath Slocum,-,MC^,-,-,-,MC^,MC^,-,-,MC^,-,-,-,MC,MC,MC,21,75,-,-,-,TBC,Bet 365,Further details,NR
Joe Durant,WD^,42^,30^,18^,-,MC^,45^,4^,-,2^,12^,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
K.J. Choi,48^,48^,41^,-,19^,26^,MC,11^,-,33^,11^,-,-,-,20,35,-,-,75,-,-,TBC,Bet 365,Further details,NR
Chris Nido,-,-,-,-,-,33^,13^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,30
Maxwell Moldovan,-,-,-,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Chip McDaniel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,68,-,-,-,TBC,Bet 365,Further details,MC
Matt Sharpstene,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Matt Every,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,MC,-,WD,WD,-,TBC,Bet 365,Further details,MC
