Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Alex Smalley,44,-,-,-,-,-,-,MC,21,MC,75,-,-,-,-,-,-,-,-,-,-,-,72,MC,6300,200/1,Bet 365,Further details,MC
Lee Hodges,-,-,-,-,-,-,57,-,MC,MC,58,MC,-,-,-,-,-,-,-,-,-,-,39,18,6200,300/1,Bet 365,Further details,24
J.J Spaun,13,-,-,-,-,-,-,MC,-,MC,54,MC,-,-,-,-,MC,-,MC,MC,63,-,MC,33,6200,200/1,Bet 365,Further details,MC
Charley Hoffman,13,-,-,-,-,-,-,42,MC,56,-,2,-,68,12,30,63,4,41,MC,MC,52,71,-,6200,200/1,Bet 365,Further details,50
Gary Woodland,-,-,-,-,-,-,-,MC,-,MC,-,MC,-,MC,-,MC,26,-,-,-,-,MC,-,9,6100,250/1,Bet 365,Further details,39
Grayson Murray,MC,-,-,-,-,-,-,1,MC,-,66,MC,-,-,-,-,-,MC,-,MC,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Nick Hardy,23,-,MC,-,-,-,47,42,-,37,47,66,-,-,-,-,-,-,-,-,-,-,-,MC,6100,300/1,Bet 365,Further details,MC
Seamus Power,-,-,-,-,-,-,50,74,-,MC,31,66,-,-,-,-,-,-,-,64,-,-,MC,14,6000,400/1,Bet 365,Further details,31
Sam Ryder,13,-,-,-,-,-,-,-,62,MC,31,MC,-,-,-,-,-,-,-,56,MC,-,26,20,6000,250/1,Bet 365,Further details,MC
Chase Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,51
