am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,event_fit_score,rank,course_history_score,bet365_odds,baseline,baseline_history_fit,driving_dist,driving_acc,datagolf_rank,sg_current_form_score,your_model_score,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent
0,USA,23014,1.0,Sahith Theegala,150,8.98,4.81,4.0,3.42,19.94,120.97,0.217,40.0,1.318,76.0,120.96774193548484,151.51515151515153,5.818,-0.025,67,0.28715,0.7678949999999999,0.7678949999999999,0.008266512358435976,0.013157894736842105,0.01451200012678004,68.9084889239098,0.0013541053899379357,1.0291200963528304,10.291200963528304
0,CAN,13965,1.0,Adam Hadwin,150,26.04,11.8,9.09,7.35,68.49,625.0,0.2645,36.0,0.9,351.0,625.0,526.3157894736842,-2.164,0.009,145,-0.10685000000000001,0.16544499999999998,0.16544499999999998,0.0016,0.002849002849002849,0.0030723360873982663,325.485224126904,0.00022333323839541716,0.7838996667679154,7.8389966676791545
0,USA,17543,1.0,Michael Kim,150,6.5,3.76,3.19,2.77,13.84,81.86,0.0435,56.0,1.8,76.0,81.85538881309664,98.3606557377046,3.068,-0.017,26,0.15085,0.6591549999999999,0.6591549999999999,0.012215978499877841,0.013157894736842105,0.013993007117547772,71.46426723001959,0.0008351123807056673,0.6346854093363063,6.3468540933630635
0,USA,27364,1.0,Davis Thompson,150,5.62,3.35,2.87,2.5,11.61,66.23,0.012,59.0,1.143,67.0,66.2251655629139,79.57559681697592,6.325,0.018,40,0.31895,0.7039850000000001,0.7039850000000001,0.015098897780462025,0.014925373134328358,0.015560318314084023,64.26603748169313,0.0006349451797556648,0.4254132704362945,4.254132704362945
0,USA,14502,1.0,Bud Cauley,150,7.5,4.19,3.5,3.03,16.54,92.88,0.4665,16.0,2.375,67.0,92.87925696594398,95.84664536741244,0.508,0.007,53,0.02645,0.768085,0.768085,0.010766580534022395,0.014925373134328358,0.015264997664629926,65.50934510242804,0.00033962453030156846,0.22754843530205093,2.2754843530205093
0,USA,12965,1.0,Rickie Fowler,150,14.54,7.3,5.84,4.84,35.08,256.41,0.338,25.0,1.078,126.0,256.4102564102564,251.04602510460464,1.034,0.014,112,0.0538,0.44084000000000007,0.44084000000000007,0.0039000039000038995,0.007936507936507936,0.008077465528359851,123.80120923933579,0.00014095759185191528,0.17760656573341294,1.7760656573341294
0,USA,18634,1.0,Maverick McNealy,150,6.32,3.69,3.15,2.75,12.99,76.34,0.169,47.0,1.9,61.0,76.33587786259541,78.63695937090411,4.215,-0.0,32,0.21075,0.7996749999999999,0.7996749999999999,0.013099292638197537,0.01639344262295082,0.016459790878226518,60.75411330546299,6.634825527569721e-05,0.0404724357181756,0.40472435718175603
0,ENG,6093,1.0,Justin Rose,150,8.81,4.82,4.03,3.44,19.23,117.88,0.355,23.0,2.286,67.0,117.8781925343816,101.010101010101,0.278,0.016,52,0.016300000000000002,0.69919,0.69919,0.00848320325755005,0.014925373134328358,0.0135004777287413,74.0714528842998,-0.0014248954055870577,-0.9546799217433293,-9.546799217433293
0,SCO,23323,1.0,Robert MacIntyre,150,4.3,2.7,2.35,2.1,8.27,39.89,0.032,58.0,2.0,46.0,39.89361702127655,47.05882352941176,3.928,0.027,19,0.20045000000000002,0.770185,0.770185,0.0250689395838556,0.021739130434782608,0.019588610005186805,51.05007449406636,-0.002150520429595803,-0.9892393976140692,-9.892393976140692
0,CAN,15556,1.0,Mackenzie Hughes,150,10.72,5.63,4.62,3.93,25.03,194.17,0.036,57.0,0.912,126.0,194.17475728155335,181.81818181818184,1.727,-0.023,73,0.08290000000000002,0.34657,0.34657,0.005150126178091363,0.007936507936507936,0.006975397899422255,143.36099738236095,-0.0009611100370856811,-1.2109986467279583,-12.109986467279583
