Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
J.J Spaun,-,64,MC,36,51,-,-,MC^^,MC,26,-,MC,-,-,-,-,-,41,-,MC,MC,44,MC,-,6300,Further details,125/1,Bet 365,Further details
Charley Hoffman,-,MC,MC,-,69,-,4,11^^,-,-,MC,50,-,-,MC,16,MC,7,-,2,29,-,35,-,6300,Further details,150/1,Bet 365,Further details
Victor Perez,3,-,MC,17,45,-,43,MC^^,-,46,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,125/1,Bet 365,Further details
Patton Kizzire,MC,-,-,MC,WD^,-,23,28^^,24,10,-,-,-,-,-,-,-,-,70,-,-,-,-,38,6300,Further details,140/1,Bet 365,Further details
Gary Woodland,-,72,MC,21,-,MC,64,MC^^,-,38,60,45,-,-,-,61,-,-,-,4,22,-,-,-,6200,Further details,125/1,Bet 365,Further details
Jacob Bridgeman,23,-,MC,21,MC,-,23,19^^,MC,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,140/1,Bet 365,Further details
Dylan Wu,-,19,26,78,58,-,-,28^^,30,16,-,MC,-,-,-,-,-,-,-,-,-,-,MC,25,6200,Further details,140/1,Bet 365,Further details
Carl Yuan,-,MC,5,MC,58,-,MC,MC^^,MC,68,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,200/1,Bet 365,Further details
Sam Ryder,-,16,33,64,MC,-,43,MC^^,MC,26,-,MC,-,-,-,-,-,-,-,-,78,-,MC,-,6200,Further details,140/1,Bet 365,Further details
Nick Hardy,-,MC,MC,57,25,-,MC,28^^,MC,-,-,65,-,-,-,-,-,-,-,-,-,-,35,-,6100,Further details,140/1,Bet 365,Further details
Jhonattan Vegas,-,-,MC,36,MC,-,23,MC^^,MC,-,-,-,-,-,28,-,MC,48,1,1,29,-,53,-,6100,Further details,140/1,Bet 365,Further details
Harry Hall,49,MC,67,28,58,-,-,28^^,MC,40,-,MC,-,-,-,-,-,-,-,-,-,-,-,34,6100,Further details,200/1,Bet 365,Further details
Jorge Campillo,MC,-,49,MC,MC,-,18,39^^,24,4,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,150/1,Bet 365,Further details
Matthias Schmid,10,26,17,21,69,-,11,MC^^,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6100,Further details,140/1,Bet 365,Further details
