,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Matthieu Pavon,3,73.50,-,25,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6900,200/1,Bet 365,Further details,12
Christo Lamprecht,1,73.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,6100,600/1,Bet 365,Further details,MC
Mike Weir,7,74.25,MC,-,-,-,MC,-,MC,-,-,-,51,MC,-,-,-,MC,-,-,-,MC,-,-,-,6000,2000/1,Bet 365,Further details,MC
Lee Hodges,3,74.38,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,55,-,MC,6200,500/1,Bet 365,Further details,MC
Grayson Murray,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,6200,600/1,Bet 365,Further details,51
Fred Couples,6,74.88,38,-,-,-,MC,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,50,-,-,-,6000,2500/1,Bet 365,Further details,MC
Nick Dunlap,2,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,6500,250/1,Bet 365,Further details,MC
Vijay Singh,7,75.06,49,-,-,78,MC,-,-,-,-,-,WD,MC,-,-,-,MC,-,-,-,MC,-,-,-,6000,3000/1,Bet 365,Further details,58
Peter Malnati,2,75.25,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Stewart Hagestad,4,76.30,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,64,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Jose Maria Olazabal,6,76.86,MC,-,-,-,MC,-,-,-,-,-,MC,50,-,-,-,MC,-,-,-,MC,-,-,-,6000,5000/1,Bet 365,Further details,45
Camilo Villegas,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,35
Jake Knapp,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,55
Jasper Stubbs,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Ludvig Aberg,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9100,25/1,Bet 365,Further details,2
Neal Shipley,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,53
Ryo Hisatsune,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Santiago De la Fuente,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1500/1,Bet 365,Further details,MC
