Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Ben Kohles,-,-,52,47,MC,-,MC,-,WD,MC,3,MC,-,-,7,-,-,-,-,-,-,-,-,-,5900,175/1,Bet 365,Further details,MC
Tyler Duncan,-,-,65,34,MC,-,53,-,MC,MC,23,64,-,-,-,-,-,-,-,MC,MC,39,25,MC,5800,200/1,Bet 365,Further details,MC
Evan Harmeling,-,-,-,31^,52^,MC^,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,600/1,Bet 365,Further details,MC
Max Greyserman,-,-,MC,56,MC,-,-,-,WD,47,15,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,200/1,Bet 365,Further details,33
Austin Cook,-,-,-,MC^,57^,11^,-,-,-,-,10,-,-,-,-,-,-,-,-,40,9,MC,MC,MC,5800,350/1,Bet 365,Further details,MC
Justin Suh,-,-,MC,MC,77,-,22,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,45,5800,200/1,Bet 365,Further details,33
Troy Merritt,-,-,24,MC,MC,-,MC,-,58,47,23,MC,-,-,-,-,6,MC,MC,MC,-,8,27,MC,5800,175/1,Bet 365,Further details,MC
Cameron Champ,-,-,MC,MC,MC,-,MC,-,24,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,5700,200/1,Bet 365,Further details,26
Aaron Baddeley,-,-,-,MC,37,-,28,-,24,MC,23,MC,-,-,56,MC,-,-,MC,49,-,MC,-,-,5700,200/1,Bet 365,Further details,17
Charley Hoffman,-,-,42,MC,56,-,2,50,MC,-,-,MC,-,14,75,25,MC,11,MC,MC,18,18,MC,MC,5700,225/1,Bet 365,Further details,MC
Justin Lower,-,-,74,39,43,-,53,-,3,MC,36,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5700,225/1,Bet 365,Further details,WD
Nick Hardy,-,47,42,-,37,47,66,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5700,200/1,Bet 365,Further details,MC
Nicolas Echavarria,-,25,66,65,MC,-,MC,-,24,21,15,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5700,175/1,Bet 365,Further details,MC
Zac Blair,-,-,30,62,73,-,49,-,-,MC,-,54,-,-,-,-,MC,MC,MC,-,-,-,-,10,5600,200/1,Bet 365,Further details,MC
Peter Malnati,-,-,MC,MC,MC,14,MC,-,-,9,-,68,-,-,-,-,-,MC,MC,MC,60,MC,MC,MC,5600,275/1,Bet 365,Further details,1
Joe Highsmith,-,-,MC,34,33,-,-,-,MC,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,250/1,Bet 365,Further details,MC
Jorge Campillo,-,-,32,56,37,MC,5,-,19,53,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,200/1,Bet 365,Further details,49
Rafael Campos,-,-,-,-,20,-,35^,-,38,-,18,-,-,-,-,-,-,-,-,-,-,MC,-,-,5600,225/1,Bet 365,Further details,MC
Ryan Palmer,-,-,MC,MC,-,-,-,-,52,MC,-,-,-,-,30,-,-,42,-,28,-,63,-,-,5600,200/1,Bet 365,Further details,54
Bronson Burgoon,-,-,-,14,50,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,-,-,13,MC,-,5500,225/1,Bet 365,Further details,75
Chandler Phillips,-,-,57,25,76,-,-,-,24,WD,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,300/1,Bet 365,Further details,3
Chad Ramey,-,-,MC,MC,78,-,MC,-,33,35,-,MC,-,-,-,-,-,-,-,-,-,-,MC,27,5500,200/1,Bet 365,Further details,MC
Kevin Streelman,-,-,MC,MC,WD,-,-,-,-,MC,32,MC,-,10,1,38,40,MC,18,MC,MC,MC,7,27,5500,200/1,Bet 365,Further details,26
Carl Yuan,-,-,4,MC,MC,-,WD,-,52,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,63,5500,250/1,Bet 365,Further details,5
David Skinns,-,-,MC,MC,MC,-,-,-,MC,4,67,MC,-,-,MC,-,-,-,-,-,-,-,-,-,5500,275/1,Bet 365,Further details,75
Harry Hall,-,-,42,MC,MC,-,41,-,33,MC,49,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5500,300/1,Bet 365,Further details,67
David Lipsky,-,-,MC,MC,MC,-,MC,-,MC,41,-,42,-,-,-,-,-,-,-,-,-,-,68,36,5400,300/1,Bet 365,Further details,MC
Francesco Molinari,-,-,5,MC,73,-,-,-,MC,MC,-,54,-,-,-,-,40,MC,-,-,-,-,MC,-,5400,300/1,Bet 365,Further details,MC
Harrison Endycott,-,-,-,39,MC,16,42,-,MC,-,42,-,-,-,-,-,-,-,-,-,-,-,-,65,5400,300/1,Bet 365,Further details,MC
Adrien Dumont de Chassart,-,-,MC,MC,75,-,60,-,MC,MC,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,300/1,Bet 365,Further details,MC
Alejandro Tosti,-,-,70,MC,43,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,275/1,Bet 365,Further details,75
Nicholas Lindheim,-,-,-,MC,MC,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,MC,-,-,-,-,5400,250/1,Bet 365,Further details,MC
Robby Shelton IV,-,-,57,MC,25,-,60,-,60,MC,-,MC,-,-,-,-,-,-,-,-,-,MC,-,MC,5400,300/1,Bet 365,Further details,33
Nick Gabrelcik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,5300,250/1,Bet 365,Further details,MC
Rico Hoey,-,-,MC,MC,MC,-,-,-,MC,56,32,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,350/1,Bet 365,Further details,54
Kevin Roy,-,-,-,2^,27^,45^,35^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5300,300/1,Bet 365,Further details,12
Pierceson Coody,-,-,MC,MC,MC,-,-,-,WD,MC,32,-,-,-,-,-,-,-,-,-,-,-,-,MC,5300,400/1,Bet 365,Further details,WD
