Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Alex Smalley,-,MC,MC,MC,-,MC,MC,MC,MC,-,6,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Alexander Bjork,-,-,MC,47,-,-,54,MC,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Christopher Gotterup,MC,-,WD,35,MC,-,61,57,MC,-,MC,11^^,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,200/1,Bet 365,Further details
Ryan Moore,MC,-,60,MC,-,45,5,31,45,-,-,-,-,-,-,MC,-,-,MC,-,69,MC,-,MC,6800,Further details,150/1,Bet 365,Further details
Davis Riley,-,-,MC,62,-,MC,MC,14,MC,-,-,28^^,-,-,-,-,-,-,-,-,29,-,9,MC,6800,Further details,160/1,Bet 365,Further details
Carl Yuan,WD,-,52,MC,-,MC,5,MC,58,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,MC,6800,Further details,175/1,Bet 365,Further details
Patrick Fishburn,-,-,MC,MC,42,-,MC,MC,MC,-,23,4^^,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details
Rico Hoey,-,-,MC,56,32,-,54,MC,14,-,33,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details
Lanto Griffin,MC,-,48,-,-,-,-,57,51,-,36,-,-,-,-,-,-,-,-,MC,-,-,51,-,6700,Further details,200/1,Bet 365,Further details
Joel Dahmen,41,-,-,MC,49,11,49,MC,MC,-,67,28^^,-,-,-,-,-,-,9,16,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Hayden Springer,-,-,38,-,3,-,72,MC,58,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details
Austin Smotherman,MC^,-,52,-,68,-,-,-,9^,-,50,23^^,-,-,-,-,-,-,MC,-,-,-,25,MC,6700,Further details,250/1,Bet 365,Further details
Dylan Wu,MC,-,24,MC,-,19,26,78,58,-,-,28^^,-,-,-,-,-,-,-,-,-,-,MC,MC,6700,Further details,200/1,Bet 365,Further details
Justin Suh,22,-,MC,MC,MC,MC,33,MC,-,-,MC,MC^^,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,160/1,Bet 365,Further details
Brandon Wu,MC,-,13,MC,42,MC,-,MC,MC,-,59,28^^,-,-,-,-,-,-,-,-,-,-,51,23,6600,Further details,200/1,Bet 365,Further details
Patton Kizzire,MC,-,MC,MC,MC,-,-,MC,WD^,-,23,28^^,-,-,-,-,-,-,-,-,-,3,83,30,6600,Further details,200/1,Bet 365,Further details
