Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Andrew Putnam,35,21,-,-,-,-,-,-,4,36,-,MC,-,-,-,-,-,-,-,-,MC,MC,7,MC,7000,90/1,Bet 365,Further details,MC
Scott Stallings,-,54,-,-,5^^,-,-,25,-,-,MC,15,-,MC,MC,MC,MC,MC,-,23,MC,-,36,21,6900,160/1,Bet 365,Further details,23
Russell Knox,27,21,-,-,-,-,-,-,67,54,-,41,-,-,-,-,15,-,MC,MC,10,16,53,33,6900,225/1,Bet 365,Further details,MC
Luke List,57,MC,-,-,-,-,-,11,-,MC,25,-,-,-,MC,-,-,MC,MC,26,MC,25,30,53,6900,160/1,Bet 365,Further details,MC
Mackenzie Hughes,16,MC,-,-,-,-,-,21,MC,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,-,-,6900,200/1,Bet 365,Further details,MC
Cameron Champ,MC,MC,-,-,-,-,-,-,-,-,53,35^,-,-,-,-,-,-,-,-,67,-,MC,-,6900,175/1,Bet 365,Further details,MC
Beau Hossler,MC,21,-,-,-,-,-,-,-,50,MC,11,-,-,-,-,-,-,-,17,39,66,MC,MC,6900,175/1,Bet 365,Further details,14
Sam Ryder,-,MC,-,-,-,-,-,-,MC,MC,4,-,-,-,-,-,-,-,-,-,60,55,57,23,6800,225/1,Bet 365,Further details,20
Kevin Kisner,-,29,-,19,4^^,-,-,-,-,-,-,34,-,55,-,-,MC,MC,-,-,26,-,-,38,6800,200/1,Bet 365,Further details,MC
Ryan Palmer,MC,-,-,-,2^^,-,-,-,31,-,63,MC,-,55,5,48,2,24,MC,MC,60,MC,42,-,6800,200/1,Bet 365,Further details,42
Davis Riley,27,46,-,-,-,-,-,-,-,65,MC,MC,-,-,-,-,-,-,-,-,-,-,58,-,6800,225/1,Bet 365,Further details,MC
David Lipsky,22,WD,-,-,-,-,-,-,4,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,225/1,Bet 365,Further details,MC
Hayden Buckley,-,39,-,-,-,-,-,-,2,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6800,160/1,Bet 365,Further details,29
