Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Martin Laird,-,-,31,59,MC,-,-,-,-,-,-,MC,-,47,25,15,49,9,MC,MC,MC,47,-,62,6300,400/1,Bet 365,Further details,MC
Chandler Phillips,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,25
Parker Coody,-,-,-,-,-,-,-,-,-,-,-,74,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Roger Sloan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,12,MC,40,14,-,6300,500/1,Bet 365,Further details,MC
Paul Barjon,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,10,-,6300,500/1,Bet 365,Further details,39
Andrew Novak,51,-,-,45,73,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6300,400/1,Bet 365,Further details,MC
Carson Young,-,-,9,-,71,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,350/1,Bet 365,Further details,17
Kevin Yu,59,-,MC,30,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6300,400/1,Bet 365,Further details,3
Harrison Endycott,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,6200,400/1,Bet 365,Further details,39
Ryan McCormick,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,1000/1,Bet 365,Further details,MC
Trace Crowe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Wilson Furr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,WD
Chan Kim,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6200,500/1,Bet 365,Further details,14
David Skinns,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6200,750/1,Bet 365,Further details,MC
Jimmy Stanger,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,14
Josh Teater,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,33,-,-,-,-,40,68,40,-,-,6200,500/1,Bet 365,Further details,MC
Pierceson Coody,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,350/1,Bet 365,Further details,MC
