,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,U24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
MinWoo Lee,12,71.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,5,41,22,26,21,7400,50/1,Bet 365,Further details
Patrick Cantlay,26,71.13,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,14,33,22,53,3,9100,40/1,Bet 365,Further details
Cameron Smith,26,71.14,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,4,33,6,63,32,8900,45/1,Bet 365,Further details
Aaron Rai,4,71.25,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,19,-,-,-,MC,-,-,-,-,-,39,-,7300,60/1,Bet 365,Further details
Tom Kim,11,71.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,30,26,26,8300,40/1,Bet 365,Further details
Jordan L Smith,8,71.29,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,47,-,MC,20,41,-,39,-,6500,300/1,Bet 365,Further details
Sahith Theegala,9,71.38,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,40,27,MC,45,12,32,7200,40/1,Bet 365,Further details
Justin Thomas,25,71.38,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,65,MC,MC,MC,8,MC,7400,70/1,Bet 365,Further details
Cameron Young,13,71.43,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,MC,32,8,9,63,67,7500,60/1,Bet 365,Further details
Matthew Fitzpatrick,26,71.43,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,MC,17,41,22,MC,64,8100,60/1,Bet 365,Further details
Chris Kirk,12,71.45,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,29,MC,MC,16,MC,26,6100,400/1,Bet 365,Further details
Laurie Canter,3,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,79,-,-,-,17,-,-,-,6100,500/1,Bet 365,Further details
Masahiro Kawamura,1,71.50,-,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,4000/1,Bet 365,Further details
Ryo Hisatsune,2,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,18,-,5700,500/1,Bet 365,Further details
Yuto Katsuragawa,2,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,-,-,58,-,-,-,-,5300,1000/1,Bet 365,Further details
Russell Henley,19,71.52,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,14,MC,38,23,7,6700,110/1,Bet 365,Further details
Corey Conners,21,71.54,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,12,MC,52,38,26,9,7300,70/1,Bet 365,Further details
Davis Thompson,4,71.60,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,9,6900,100/1,Bet 365,Further details
Jason Day,22,71.61,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,MC,MC,2,30,43,MC,6900,125/1,Bet 365,Further details
Stewart Cink,14,71.61,-,-,24,4,MC,-,-,20,-,-,-,12,30,57,MC,MC,23,MC,MC,-,-,MC,23,-,-,-,5600,750/1,Bet 365,Further details
Sebastian Soderberg,2,71.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,68,-,6300,300/1,Bet 365,Further details
Francesco Molinari,22,71.64,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,MC,MC,MC,-,MC,64,5500,500/1,Bet 365,Further details
Tyrrell Hatton,26,71.66,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,27,20,9,63,26,9500,22/1,Bet 365,Further details
Brian Harman,23,71.68,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,MC,43,1,MC,26,21,7600,66/1,Bet 365,Further details
Harris English,16,71.69,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,MC,8,MC,22,18,41,6300,150/1,Bet 365,Further details
An Byeong-Hun,15,71.71,-,-,-,-,-,-,-,32,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,23,16,43,MC,6700,150/1,Bet 365,Further details
Adam Scott,26,71.72,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,29,MC,33,22,MC,32,6700,55/1,Bet 365,Further details
Austin Eckroat,5,71.75,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,MC,18,74,5700,300/1,Bet 365,Further details
Henrik Stenson,18,71.75,5,6,35,MC,36,48,9,20,MC,MC,MC,38,64,MC,MC,-,MC,-,MC,-,-,-,13,-,-,-,6200,400/1,Bet 365,Further details
Vincent Norrman,2,71.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,5400,1500/1,Bet 365,Further details
Dean Burmester,9,71.78,-,56,-,-,-,-,MC,-,-,-,-,-,59,-,40,-,MC,-,11,-,54,-,-,-,12,69,6700,140/1,Bet 365,Further details
Matt Wallace,17,71.81,-,MC,MC,19,MC,3,12,51,77,43,46,34,55,MC,40,-,-,-,-,-,65,-,MC,-,43,-,6100,225/1,Bet 365,Further details
Robert MacIntyre,14,71.85,-,-,-,-,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,MC,-,71,-,8,MC,7700,30/1,Bet 365,Further details
Keegan Bradley,21,71.86,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,23,29,MC,MC,22,18,32,6600,200/1,Bet 365,Further details
Abraham Ancer,18,71.89,-,-,MC,-,-,16,49,MC,43,56,13,26,8,MC,59,MC,9,-,11,39,MC,54,49,-,-,-,6600,175/1,Bet 365,Further details
Gary Woodland,26,71.95,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,MC,49,55,MC,60,MC,5700,400/1,Bet 365,Further details
David Puig,3,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,MC,55,6100,450/1,Bet 365,Further details
Denny McCarthy,10,72.00,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,20,MC,45,MC,32,6400,275/1,Bet 365,Further details
Joaquin Niemann,20,72.00,MC,-,-,71,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,16,MC,32,MC,22,39,-,7800,55/1,Bet 365,Further details
Tom Mckibbin,1,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,6500,150/1,Bet 365,Further details
Billy Horschel,23,72.01,MC,-,-,35,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,52,MC,43,MC,-,8,41,6500,200/1,Bet 365,Further details
Nicolai Hojgaard,8,72.04,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,53,-,50,-,23,16,68,50,6700,100/1,Bet 365,Further details
Guido Migliozzi,6,72.06,-,-,-,-,-,-,-,-,-,-,-,-,-,4,MC,MC,-,14,MC,-,-,-,64,-,-,-,5800,400/1,Bet 365,Further details
Ryan Fox,18,72.06,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,23,43,52,38,75,56,6800,110/1,Bet 365,Further details
Alexander Noren,19,72.07,MC,25,17,MC,62,54,MC,11,22,17,-,-,55,-,MC,-,MC,MC,-,MC,MC,MC,23,-,12,-,7200,80/1,Bet 365,Further details
Lucas Glover,13,72.10,-,MC,-,-,-,16,MC,20,MC,17,MC,-,-,-,MC,30,23,-,-,-,-,-,-,20,43,MC,6000,400/1,Bet 365,Further details
Joost Luiten,5,72.11,-,-,-,-,-,64,-,32,51,-,-,-,-,-,MC,-,-,-,-,-,-,-,71,-,-,-,5800,600/1,Bet 365,Further details
Shubhankar Sharma,6,72.11,MC,MC,51,MC,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5900,350/1,Bet 365,Further details
Sam Burns,15,72.15,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,32,MC,MC,MC,9,7200,140/1,Bet 365,Further details
Emiliano Grillo,17,72.15,-,MC,MC,31,62,23,58,MC,66,-,-,-,38,-,12,-,-,-,MC,-,MC,MC,6,MC,MC,41,6000,400/1,Bet 365,Further details
Kurt Kitayama,15,72.16,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,MC,60,35,26,MC,6300,275/1,Bet 365,Further details
Tom Hoge,14,72.16,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,MC,MC,-,23,MC,6400,200/1,Bet 365,Further details
Ryosuke Kinoshita,2,72.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,MC,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
Taylor Moore,7,72.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,72,MC,MC,20,12,MC,6200,400/1,Bet 365,Further details
Tiger Woods,18,72.24,32,MC,6,2,1,MC,21,MC,37,MC,38,-,-,-,-,47,WD,-,MC,WD,-,-,-,60,MC,MC,6200,250/1,Bet 365,Further details
Sepp Straka,13,72.25,-,-,-,-,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,46,7,MC,2,16,MC,56,7100,100/1,Bet 365,Further details
Siwoo Kim,25,72.27,24,MC,67,MC,21,MC,MC,MC,13,MC,34,12,MC,40,-,39,60,MC,15,29,MC,39,MC,30,MC,32,6800,110/1,Bet 365,Further details
Romain Langasque,5,72.28,-,-,-,-,-,-,-,63,-,34,-,-,-,-,MC,-,-,-,-,-,-,54,33,-,-,-,6000,200/1,Bet 365,Further details
Max Homa,19,72.31,-,-,-,-,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,43,55,MC,10,3,35,MC,7300,100/1,Bet 365,Further details
Wyndham Clark,11,72.31,-,-,-,-,-,-,-,-,MC,-,-,-,75,MC,-,-,-,MC,76,-,MC,1,33,MC,MC,56,8000,60/1,Bet 365,Further details
Christiaan Bezuidenhout,15,72.32,-,-,-,-,-,-,-,MC,MC,55,38,40,30,31,53,44,MC,-,68,-,MC,-,49,-,MC,32,6600,125/1,Bet 365,Further details
Eric Cole,6,72.33,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,15,39,-,52,MC,MC,6300,400/1,Bet 365,Further details
Adam Hadwin,19,72.38,24,MC,35,MC,-,29,-,57,58,54,MC,-,64,40,MC,-,71,7,-,-,40,59,-,53,60,MC,6300,250/1,Bet 365,Further details
Sungjae Im,20,72.40,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,MC,20,MC,MC,MC,6900,55/1,Bet 365,Further details
Thorbjorn Olesen,12,72.42,-,MC,12,56,21,64,MC,57,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,MC,58,53,-,6200,350/1,Bet 365,Further details
Victor Perez,14,72.42,-,-,-,-,-,-,-,-,22,MC,46,MC,MC,MC,MC,-,-,MC,34,-,12,MC,41,-,MC,MC,6200,200/1,Bet 365,Further details
Akshay Bhatia,4,72.43,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,35,MC,16,7000,90/1,Bet 365,Further details
Zach Johnson,21,72.55,36,12,17,19,58,54,58,MC,MC,8,51,MC,MC,MC,-,MC,MC,-,MC,34,58,-,55,MC,-,-,5500,750/1,Bet 365,Further details
Alexander Bjork,7,72.56,-,-,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,41,-,39,-,5800,500/1,Bet 365,Further details
Richard Mansell,3,72.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,MC,68,-,-,-,-,-,-,-,5900,250/1,Bet 365,Further details
Brendon Todd,12,72.58,-,-,-,-,-,-,MC,-,17,23,MC,46,MC,MC,MC,-,-,-,-,-,MC,-,49,-,78,67,5900,400/1,Bet 365,Further details
Maverick McNealy,4,72.58,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,75,-,-,-,MC,-,-,-,23,-,6000,400/1,Bet 365,Further details
Mackenzie Hughes,16,72.60,-,MC,-,-,-,-,-,-,58,MC,-,40,MC,15,6,50,MC,24,MC,29,MC,49,-,-,MC,MC,5900,350/1,Bet 365,Further details
Matthieu Pavon,6,72.61,-,25,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,12,MC,5,7000,150/1,Bet 365,Further details
Stephan Jaeger,5,72.67,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,50,-,-,MC,76,21,6100,500/1,Bet 365,Further details
Andy Ogletree,3,72.75,-,-,-,-,-,-,-,-,-,MC,34,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5500,2500/1,Bet 365,Further details
Padraig Harrington,13,72.75,-,-,MC,MC,-,MC,-,MC,-,-,-,-,4,-,72,MC,MC,-,MC,-,50,27,64,-,MC,-,6000,350/1,Bet 365,Further details
Thriston Lawrence,5,72.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,62,MC,74,-,MC,-,5700,500/1,Bet 365,Further details
JT Poston,14,72.77,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,40,MC,41,30,MC,32,6400,250/1,Bet 365,Further details
Phil Mickelson,24,72.78,36,48,24,MC,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,2,58,MC,MC,43,MC,MC,6100,350/1,Bet 365,Further details
Adrian Meronk,9,72.83,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,MC,40,MC,23,MC,MC,MC,6500,250/1,Bet 365,Further details
Adam Schenk,8,72.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,MC,12,MC,MC,5500,750/1,Bet 365,Further details
Matthew Southgate,4,72.92,-,MC,67,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,23,-,-,-,6000,300/1,Bet 365,Further details
C.T. Pan,8,73.00,-,-,-,-,-,MC,MC,MC,MC,-,7,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,5500,500/1,Bet 365,Further details
Ryan Van Velzen,1,73.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5400,2000/1,Bet 365,Further details
Nick Taylor,10,73.04,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,MC,MC,MC,MC,5900,400/1,Bet 365,Further details
Benjamin Griffin,3,73.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,WD,-,5900,350/1,Bet 365,Further details
Sam Horsfield,6,73.25,-,-,-,-,-,-,MC,-,-,-,-,-,49,-,67,-,MC,MC,MC,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details
Gordon Sargent,3,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,39,-,-,-,MC,5700,500/1,Bet 365,Further details
Ernie Els,7,73.75,-,MC,MC,-,-,-,MC,32,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,5100,1000/1,Bet 365,Further details
Yannik Paul,3,73.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,69,-,MC,-,-,-,5800,600/1,Bet 365,Further details
Daniel Hillier,3,73.83,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,5600,2500/1,Bet 365,Further details
Rasmus Hojgaard,5,73.93,-,-,-,-,-,-,-,-,-,MC,-,-,79,-,-,-,-,-,-,-,MC,-,MC,-,68,-,6500,150/1,Bet 365,Further details
Keita Nakajima,5,74.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,MC,-,-,-,MC,-,MC,-,6400,350/1,Bet 365,Further details
Rikuya Hoshino,10,74.14,-,MC,-,-,-,-,-,-,-,-,-,-,MC,26,MC,-,60,MC,MC,-,62,-,60,-,-,MC,5800,600/1,Bet 365,Further details
John Catlin,3,74.17,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,-,5900,600/1,Bet 365,Further details
Sean Crocker,2,74.17,-,-,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,5500,600/1,Bet 365,Further details
Sami Valimaki,4,74.30,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,68,-,MC,-,5600,500/1,Bet 365,Further details
Dan Bradbury,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5600,1000/1,Bet 365,Further details
Ewen Ferguson,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6400,200/1,Bet 365,Further details
Nacho Elvira,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5600,2000/1,Bet 365,Further details
Jorge Campillo,7,75.00,-,-,MC,MC,-,MC,-,MC,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,-,5500,600/1,Bet 365,Further details
Kazuma Kobori,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5300,1000/1,Bet 365,Further details
Minkyu Kim,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5200,2000/1,Bet 365,Further details
Alex Cejka,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
Michael Hendry,1,75.50,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Todd Hamilton,1,75.50,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Darren Clarke,5,76.00,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,5000,4000/1,Bet 365,Further details
John Daly,7,76.62,-,-,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,-,-,-,MC,-,WD,-,5000,4000/1,Bet 365,Further details
Santiago De La Fuente,2,76.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,5200,1000/1,Bet 365,Further details
Matteo Manassero,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5400,300/1,Bet 365,Further details
Jasper Stubbs,1,78.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5100,4000/1,Bet 365,Further details
Aguri Iwasaki,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Altin van der Merwe,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2500/1,Bet 365,Further details
Angel Hidalgo Portillo,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1000/1,Bet 365,Further details
Calum Scott,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1500/1,Bet 365,Further details
Charlie Lindh,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Daniel Brown,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,750/1,Bet 365,Further details
Darren Fichardt,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,4000/1,Bet 365,Further details
Denwit David Boriboonsub,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
Dominic Clemons,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,500/1,Bet 365,Further details
Elvis Smylie,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1500/1,Bet 365,Further details
Guntaek Koh,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,2500/1,Bet 365,Further details
Jack McDonald,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Jacob Skov Olesen,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,1000/1,Bet 365,Further details
Jaime Montojo Fernandez,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,4000/1,Bet 365,Further details
Jeunghun Wang,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Joe Dean,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,1000/1,Bet 365,Further details
Justin Leonard,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Liam Nolan,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2000/1,Bet 365,Further details
Luis Masaveu,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2500/1,Bet 365,Further details
Mason Andersen,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,2000/1,Bet 365,Further details
Matthew Dodd-Berry,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,1500/1,Bet 365,Further details
Sam Hutsby,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,1000/1,Bet 365,Further details
Tommy Morrison,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,1500/1,Bet 365,Further details
