Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Austin Smotherman,50,23^^,MC,70,70^,65,-,MC^,54^,MC^,MC^,61,-,-,-,-,-,-,-,54,MC,6800,Further details,150/1,Bet 365,Further details
Angel Hidalgo Portillo,-,56,MC,-,-,22,67,33,-,27,33,-,-,-,-,-,-,-,-,-,30,6800,Further details,125/1,Bet 365,Further details
Ryan McCormick,MC,MC^^,41,4,MC^,-,MC,51^,-,-,31,MC,-,-,-,-,-,-,-,-,-,6800,Further details,160/1,Bet 365,Further details
William Gordon,-,-,-,-,-,-,-,MC^,-,MC^,-,MC,-,-,-,-,-,-,MC,-,-,6800,Further details,125/1,Bet 365,Further details
Wilson Furr,55,MC^^,MC,MC,-,-,MC,-,31^,-,MC,72,-,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details
Alex Goff,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details
Wesley Bryan,2,-,MC,MC,-,MC,MC,-,-,-,67,MC,-,-,-,-,MC,-,-,MC,24,6700,Further details,140/1,Bet 365,Further details
Chez Reavie,33,40^^,MC,32,-,MC,65,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Rafael Cabrera-Bello,MC^,MC,56,-,-,48,7,25,-,29,MC,MC,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Rafael Campos,14,38^^,9,MC,-,MC,MC,-,-,-,MC,MC,-,-,-,-,-,-,20,-,-,6700,Further details,175/1,Bet 365,Further details
Scott Piercy,59,28^^,52,26,-,-,-,36^,MC^,-,66^,MC,-,1,-,-,-,-,-,-,MC,6700,Further details,150/1,Bet 365,Further details
James Nicholas,MC^,28^^,-,-,-,41,25,26^,-,MC,5,MC,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Matthias Schwab,-,42,8,-,-,MC,MC,-,-,MC,10,27,-,-,-,-,-,-,-,-,MC,6600,Further details,200/1,Bet 365,Further details
James Morrison,-,11,56,-,-,34,-,MC,-,15,MC,40,-,-,-,-,-,-,-,-,MC,6600,Further details,150/1,Bet 365,Further details
Kevin Chappell,MC,MC^^,30,MC,-,-,MC,MC^,-,-,-,61,-,-,-,-,-,-,-,21,MC,6600,Further details,175/1,Bet 365,Further details
Callum Tarren,23,11^^,MC,MC,-,70,MC,-,-,-,57,MC,-,-,-,-,-,-,-,-,-,6600,Further details,200/1,Bet 365,Further details
Marco Penge,-,MC,17,-,-,MC,MC,-,-,-,50,MC,-,-,-,-,-,-,-,-,-,6600,Further details,150/1,Bet 365,Further details
Austin Cook,MC,MC^^,20,MC,-,-,MC,MC^,-,-,-,MC,-,6,-,-,-,4,47,27,MC,6600,Further details,150/1,Bet 365,Further details
Sean O'Hair,18,37^^,-,61,-,-,27,MC^,-,-,MC^,MC,-,-,-,-,-,-,-,8,MC,6600,Further details,175/1,Bet 365,Further details
Andrew Wilson,19^,MC^,-,WD^,-,18,MC,-,-,MC,10,20,-,-,-,-,-,-,-,WD,MC,6600,Further details,200/1,Bet 365,Further details
Spencer Cross,-,-,-,-,-,32^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,TBC,Bet 365,Further details
Matthis Besard,-,-,MC,-,-,MC,30,-,-,MC,MC,6,-,-,-,-,-,-,-,-,-,6500,Further details,250/1,Bet 365,Further details
Daan Huizing,-,DQ,-,-,-,MC,22,MC,-,37,MC,44,-,-,-,-,-,-,-,-,MC,6500,Further details,200/1,Bet 365,Further details
James Hahn,63,-,MC,MC,-,-,-,-,-,-,-,52,-,-,-,-,MC,-,5,27,MC,6500,Further details,225/1,Bet 365,Further details
Jason Dufner,-,MC^^,-,-,MC,-,-,-,-,-,MC,-,-,-,-,-,-,18,26,27,24,6500,Further details,175/1,Bet 365,Further details
Adam Long,43,MC^^,-,MC,-,-,MC,4^,MC^,-,MC^,MC,-,-,-,-,-,-,-,-,16,6500,Further details,225/1,Bet 365,Further details
Russell Knox,MC,19^^,-,MC,46^,64^,19^,-,-,MC^,26^,MC,-,-,-,-,-,-,MC,-,33,6500,Further details,175/1,Bet 365,Further details
Harrison Endycott,33,MC^^,52,MC,-,-,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,6500,Further details,175/1,Bet 365,Further details
Ivan Cantero Gutierrez,-,3,23,-,-,MC,20,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,6500,Further details,175/1,Bet 365,Further details
Marcel Schneider,-,3,-,-,-,69,MC,MC,-,15,MC,MC,-,-,-,-,-,-,-,MC,-,6500,Further details,200/1,Bet 365,Further details
Joel Girrbach,-,18,3,-,-,MC,MC,-,-,74,33,52,-,-,-,-,-,-,-,-,-,6400,Further details,225/1,Bet 365,Further details
JeongWeon Ko,-,11,68,-,-,24,34,-,-,MC,MC,64,-,-,-,-,-,-,-,-,MC,6400,Further details,200/1,Bet 365,Further details
MJ Daffue,MC,MC^^,-,-,MC^,MC^,MC^,-,MC^,MC^,56^,-,-,-,-,-,-,-,62,-,16,6400,Further details,200/1,Bet 365,Further details
John Marshall Butler,-,-,-,-,-,-,-,-,-,-,57^,-,-,-,-,-,-,-,-,-,-,6400,Further details,150/1,Bet 365,Further details
David Ravetto,13^,MC^,-,-,-,MC,MC,-,-,37,MC,MC,-,-,-,-,-,-,-,-,9,6400,Further details,225/1,Bet 365,Further details
Tyson Alexander,55,MC^^,52,MC,-,MC,MC,-,-,-,MC,MC,-,-,-,-,MC,-,-,-,33,6400,Further details,200/1,Bet 365,Further details
Martin Trainer,MC,2^^,MC,61,-,MC,MC,-,-,-,MC,MC,-,-,-,-,-,-,MC,MC,62,6400,Further details,275/1,Bet 365,Further details
Francesco Laporta,-,42,MC,-,-,48,MC,-,-,52,MC,MC,-,-,-,-,-,-,-,-,-,6400,Further details,300/1,Bet 365,Further details
