Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Dylan Wu,MC,59,-,-,30,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,MC,6600,150/1,Bet 365,Further details,42
Tyler Duncan,18,-,-,MC^,-,3,-,-,-,-,-,-,-,-,-,-,-,-,MC,57,MC,-,MC,MC,6600,175/1,Bet 365,Further details,65
Camilo Villegas,-,-,-,2,1,58,-,-,-,-,-,50,-,-,-,44,MC,MC,-,-,-,-,MC,-,6500,100/1,Bet 365,Further details,MC
Nate Lashley,42,41,-,10,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,39,-,53,MC,MC,7,6500,200/1,Bet 365,Further details,MC
William Gordon,MC,21,-,15,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,28,6500,150/1,Bet 365,Further details,42
Chad Ramey,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,54,6500,150/1,Bet 365,Further details,MC
Taiga Semikawa,36^,73,-,3^,MC^,2^,10^,1^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67,6500,175/1,Bet 365,Further details,30
Cameron Champ,18,59,-,45,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,73,-,-,-,-,6500,150/1,Bet 365,Further details,MC
Jacob Bridgeman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,150/1,Bet 365,Further details,MC
Matthew NeSmith,42,15,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,MC,-,-,6500,200/1,Bet 365,Further details,80
Aaron Baddeley,-,21,-,-,-,64,-,21,-,-,-,-,-,-,-,-,-,-,MC,-,-,41,-,7,6400,200/1,Bet 365,Further details,NR
Harry Hall,26,21,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,6400,175/1,Bet 365,Further details,42
Joseph Bramlett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,-,20,54,6400,250/1,Bet 365,Further details,52
Callum Tarren,23,31,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6400,175/1,Bet 365,Further details,MC
Chan Kim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6400,200/1,Bet 365,Further details,MC
Charley Hoffman,MC,-,-,MC,45,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,-,-,6400,200/1,Bet 365,Further details,42
Sami Valimaki,41,MC,1,-,26,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,200/1,Bet 365,Further details,MC
Scott Stallings,MC,-,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,6400,175/1,Bet 365,Further details,42
Nicolas Echavarria,MC,-,-,31,76,44,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,12,6300,200/1,Bet 365,Further details,66
Andrew Novak,MC,51,-,-,45,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,12,6300,250/1,Bet 365,Further details,MC
Kevin Yu,MC,59,-,MC,30,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,6300,300/1,Bet 365,Further details,MC
Ben Martin,MC,-,-,MC,27,MC,-,-,-,-,-,-,-,-,38,51,50,36,7,MC,45,-,-,32,6300,250/1,Bet 365,Further details,MC
Joel Dahmen,7,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,22,12,-,MC,-,6300,175/1,Bet 365,Further details,72
Max Greyserman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,TBC,Bet 365,Further details,MC
Pierceson Coody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,200/1,Bet 365,Further details,MC
Kevin Streelman,MC,-,-,-,-,MC,-,-,-,-,-,-,-,26,-,51,-,-,-,-,-,-,-,MC,6300,200/1,Bet 365,Further details,MC
Samuel Stevens,46,59,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,250/1,Bet 365,Further details,24
Carl Yuan,52,-,-,MC,4,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,6200,250/1,Bet 365,Further details,4
Chez Reavie,MC,-,-,72,-,-,-,-,-,-,-,-,-,MC,-,26,42,8,18,3,MC,67,-,41,6200,300/1,Bet 365,Further details,MC
Zac Blair,42,38,-,MC,-,MC,-,-,-,-,-,-,-,-,-,6,3,57,-,-,63,-,-,48,6200,200/1,Bet 365,Further details,30
Zach Johnson,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,8,64,9,6,14,MC,28,62,MC,75,6200,300/1,Bet 365,Further details,MC
Benjamin Silverman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,6200,500/1,Bet 365,Further details,18
Brandt Snedeker,52,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,2,MC,-,16,12,MC,36,-,6200,250/1,Bet 365,Further details,MC
Grayson Murray,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6200,350/1,Bet 365,Further details,1
Justin Lower,MC,41,-,23,20,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,6200,300/1,Bet 365,Further details,74
Lanto Griffin,13,-,-,54,53,MC,-,-,-,-,-,-,-,-,-,-,-,-,58,-,7,41,-,-,6200,200/1,Bet 365,Further details,72
Carson Young,MC,-,-,9,-,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,250/1,Bet 365,Further details,MC
Troy Merritt,64,-,-,65,72,MC,-,-,-,-,-,-,-,-,MC,30,MC,MC,MC,MC,MC,56,-,65,6100,250/1,Bet 365,Further details,24
C.T. Pan,WD,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,6100,350/1,Bet 365,Further details,MC
David Skinns,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6100,1000/1,Bet 365,Further details,MC
Jimmy Stanger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Josh Teater,-,-,-,-,-,MC,-,-,-,-,-,-,-,15,MC,-,-,-,-,MC,-,-,-,-,6100,500/1,Bet 365,Further details,MC
Kevin Kisner,-,-,-,-,-,78,-,-,-,-,-,-,-,-,MC,84,5,4,25,69,4,32,3,-,6100,200/1,Bet 365,Further details,MC
Martin Laird,MC,-,-,31,59,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,350/1,Bet 365,Further details,MC
Paul Barjon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,6100,350/1,Bet 365,Further details,MC
Chandler Phillips,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,250/1,Bet 365,Further details,57
Peter Malnati,MC,-,-,59,37,MC,-,-,-,-,-,-,-,-,38,-,79,27,MC,MC,12,14,MC,MC,6100,400/1,Bet 365,Further details,MC
Robby Shelton IV,MC,4,-,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,25,-,MC,6100,350/1,Bet 365,Further details,57
Benjamin Taylor,28,77,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,4,6000,750/1,Bet 365,Further details,MC
Tyson Alexander,MC,76,-,MC,8,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,6000,1000/1,Bet 365,Further details,WD
Ryan Brehm,MC,-,-,MC,20,MC,-,-,-,-,-,-,-,-,-,-,-,45,-,-,MC,-,-,41,6000,1500/1,Bet 365,Further details,MC
Aguri Iwasaki,1^,73,-,27^,57^,57^,MC^,22^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Hunter Larson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Kensei Hirata,8^,6,-,MC,29^,7^,25^,10^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Rico Hoey,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6000,750/1,Bet 365,Further details,MC
Rintaro Nakano,58^,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Tyler McCumber,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,6000,1000/1,Bet 365,Further details,MC
Blaze Akana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,2500/1,Bet 365,Further details,MC
David Lingmerth,-,73,-,MC,76,MC,-,-,-,-,-,-,-,31,MC,MC,13,49,-,-,-,-,-,MC,6000,750/1,Bet 365,Further details,MC
Yuto Katsuragawa,27^,-,-,-,37^,45^,51^,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,74
Christopher Gotterup,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Joe Highsmith,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,MC
Kevin Dougherty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Mac Meissner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Nicholas Lindheim,28,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,MC,32,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Norman Xiong,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,79
Parker Coody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,74
Patrick Fishburn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Tom Whitney,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Wilson Furr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
