Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Charley Hoffman,69,-,4,11^^,-,-,MC,50,MC,-,-,-,-,MC,-,-,10,64,6200,Further details,110/1,Bet 365,Further details
C.T. Pan,51,-,-,28^^,WD,MC,MC,37,35,-,-,-,-,-,MC,-,MC,-,6200,Further details,125/1,Bet 365,Further details
Max Greyserman,MC,-,40,4^^,MC,40,-,MC,MC,-,21,-,-,-,-,-,-,-,6200,Further details,140/1,Bet 365,Further details
Cameron Champ,MC,-,-,MC^^,MC,-,-,-,MC,-,-,-,-,46,12,MC,20,MC,6200,Further details,110/1,Bet 365,Further details
Joseph Bramlett,MC,-,MC,-,MC,26,-,37,51,-,-,-,-,-,MC,MC,MC,MC,6200,Further details,110/1,Bet 365,Further details
Peter Malnati,-,MC,49,19^^,-,66,MC,37,-,33,MC,70,-,29,MC,MC,73,9,6100,Further details,175/1,Bet 365,Further details
Vincent Whaley,69,-,23,MC^^,41,-,4^,-,33,-,-,-,-,-,MC,58,17,40,6100,Further details,150/1,Bet 365,Further details
David Skinns,MC,-,-,11^^,48,20,-,MC,21,-,-,-,-,-,-,-,MC,-,6100,Further details,125/1,Bet 365,Further details
Gary Woodland,-,MC,64,MC^^,-,38,60,45,51,-,MC,-,-,MC,-,MC,MC,-,6100,Further details,150/1,Bet 365,Further details
Matt Kuchar,MC,-,-,MC^^,MC,34,-,17,MC,33,50,-,-,-,-,-,MC,-,6100,Further details,175/1,Bet 365,Further details
Joel Dahmen,MC,-,67,28^^,62,59,-,56,10,-,-,-,-,-,-,21,MC,MC,6100,Further details,150/1,Bet 365,Further details
Kevin Tway,37^,-,3,11^^,9,43,-,24,68,-,-,-,-,MC,MC,14,MC,47,6000,Further details,175/1,Bet 365,Further details
Tyler Duncan,51,-,MC,-,-,-,-,56,24,-,-,-,-,MC,53,52,44,47,6000,Further details,175/1,Bet 365,Further details
Ben Kohles,78,-,MC,28^^,2,58,26,MC,-,-,56,-,-,-,-,-,MC,-,6000,Further details,275/1,Bet 365,Further details
Benjamin Silverman,81,-,MC,MC^^,MC,16,-,32,35,-,-,-,-,MC,-,-,-,-,6000,Further details,150/1,Bet 365,Further details
Bud Cauley,39,-,MC,-,MC,-,-,-,MC,-,-,-,-,59,-,-,-,-,6000,Further details,150/1,Bet 365,Further details
Jorge Campillo,MC,-,18,39^^,24,4,-,MC,62,12,-,-,-,-,-,-,-,-,6000,Further details,150/1,Bet 365,Further details
Brice Garnett,-,-,18,11^^,MC,-,35,-,MC,-,-,-,-,17,-,MC,MC,47,5900,Further details,175/1,Bet 365,Further details
Carson Young,MC,-,MC,MC^^,30,32,-,MC,14,-,-,-,-,-,-,-,-,52,5900,Further details,150/1,Bet 365,Further details
Martin Laird,51,-,-,MC^^,48,MC,-,37,MC,-,-,-,-,MC,-,MC,-,70,5900,Further details,175/1,Bet 365,Further details
Parker Coody,58,-,6,MC^^,MC,36,-,61,MC,-,-,-,-,-,-,-,-,-,5900,Further details,150/1,Bet 365,Further details
Pierceson Coody,74,-,18,MC^^,MC,54,-,5,35,-,-,-,-,-,-,-,-,-,5900,Further details,175/1,Bet 365,Further details
Sami Valimaki,-,-,-,-,MC,MC,MC,MC,35,-,-,-,-,-,-,-,-,-,5900,Further details,150/1,Bet 365,Further details
Dylan Wu,58,-,-,28^^,30,16,-,MC,MC,-,-,-,-,-,-,-,MC,24,5800,Further details,175/1,Bet 365,Further details
