player_name,SG-OTT,SG-APP,SG-ATG,SG-P,SG-TOT,sg_composite_fit_score
Patrick Cantlay,0.5575,0.1875,0.1875,-0.15,0.72,0.37124999999999997
Patrick Rodgers,0.11,0.0,0.09666666666666668,0.4366666666666667,0.2833333333333333,0.14300000000000002
Peter Malnati,0.0,0.0,0.18,0.77,0.2,0.135
Rickie Fowler,0.5549999999999999,0.11000000000000001,0.27,0.23,1.2,0.48949999999999994
Robert MacIntyre,0.145,0.365,0.16,-0.17000000000000004,0.295,0.21099999999999997
Rory McIlroy,0.835,0.5700000000000001,0.33499999999999996,0.195,2.0700000000000003,0.8885000000000001
Russell Henley,0.1175,0.72,0.25,-0.024999999999999994,1.0225,0.47825
Sahith Theegala,0.1925,0.1625,0.0,0.175,0.4125,0.20650000000000002
Sam Burns,0.17,0.1125,0.02,0.435,0.1525,0.16075
Sam Stevens,0.46,0.25,0.7,0.47,1.65,0.66
Scottie Scheffler,0.44333333333333336,0.7333333333333334,0.38000000000000006,-0.06000000000000002,1.4033333333333333,0.6656666666666666
Seamus Power,0.20500000000000002,0.165,0.4,-0.08000000000000002,0.665,0.276
Sepp Straka,0.22,0.245,0.0825,0.265,0.2875,0.23175
Shane Lowry,0.33,0.19000000000000003,0.13999999999999999,-0.16666666666666666,0.23666666666666666,0.20066666666666672
Si woo Kim,0.36000000000000004,0.013333333333333334,0.27999999999999997,-0.9066666666666667,0.22666666666666668,0.09466666666666668
Stephan Jaeger,0.016666666666666666,0.02333333333333333,0.24333333333333337,-0.38000000000000006,0.13666666666666666,0.02566666666666667
Sungjae Im,0.21250000000000002,0.14250000000000002,0.2275,0.5,1.025,0.38425
Taylor Moore,0.4666666666666666,0.14666666666666667,0.13,0.18333333333333335,0.5433333333333333,0.324
Taylor Pendrith,0.33666666666666667,0.06333333333333334,0.28,-0.7766666666666667,0.38999999999999996,0.14833333333333332
Thomas Detry,0.065,0.0,0.495,0.36,1.085,0.322
Tom Hoge,0.03,0.5599999999999999,0.030000000000000002,0.14250000000000002,0.6375,0.32175
Tom Kim,0.37,0.575,0.39,-0.605,0.685,0.399
Tommy Fleetwood,0.25,0.1425,0.27,0.195,0.6575,0.29575
Tony Finau,0.2725,0.4925,0.1325,-0.019999999999999993,0.845,0.40975
Viktor Hovland,0.675,0.8125,0.0075,0.19,1.32,0.73
Webb Simpson,0.03,0.45,0.43,-0.21,0.71,0.30800000000000005
Will Zalatoris,0.4533333333333333,0.5,0.22666666666666668,-0.46,0.8933333333333332,0.4413333333333333
Wyndham Clark,0.225,0.3125,0.2875,0.425,0.985,0.4295
Xander Schauffele,0.26333333333333336,0.26666666666666666,0.25,0.49666666666666665,1.2033333333333334,0.4743333333333334
