Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Nate Lashley,-,MC,-,-,-,-,-,-,MC,MC,3,-,-,-,-,-,-,-,-,-,3,17,MC,61,6900,150/1,Bet 365,Further details,MC
Sam Ryder,-,13,-,-,-,-,-,-,-,62,MC,31,-,-,-,-,-,-,-,60,55,57,23,20,6900,175/1,Bet 365,Further details,MC
Brandon Wu,30,58,-,-,-,-,-,-,18,MC,-,47,-,-,-,-,-,-,-,-,-,-,-,50,6800,225/1,Bet 365,Further details,MC
Christopher Gotterup,-,-,-,-,-,-,-,-,-,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Doug Ghim,MC,MC,-,-,-,-,-,-,MC,MC,13,-,-,-,-,-,-,-,-,-,-,-,49,MC,6800,175/1,Bet 365,Further details,12
Nick Hardy,45,23,-,MC,-,-,-,47,42,-,37,47,-,-,-,-,-,-,-,-,-,42,-,-,6800,200/1,Bet 365,Further details,66
Vincent Norrman,15,27,-,-,-,-,-,59,MC,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,175/1,Bet 365,Further details,MC
Vincent Whaley,8,13,-,-,-,-,-,-,MC,34,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,6800,200/1,Bet 365,Further details,MC
Greyson Sigg,-,8,-,-,-,-,-,-,66,17,MC,-,-,-,-,-,-,-,-,-,-,-,-,57,6700,250/1,Bet 365,Further details,MC
J.J Spaun,-,13,-,-,-,-,-,-,MC,-,MC,54,-,-,-,-,-,4,-,50,47,-,-,MC,6700,200/1,Bet 365,Further details,MC
Joseph Bramlett,-,-,-,-,-,-,-,-,52,MC,25,-,-,-,-,-,-,-,-,-,-,-,53,-,6700,225/1,Bet 365,Further details,MC
Lee Hodges,-,-,-,-,-,-,-,57,-,MC,MC,58,-,-,-,-,-,-,-,-,-,-,-,MC,6700,225/1,Bet 365,Further details,MC
Scott Stallings,-,MC,-,-,-,-,-,-,42,MC,25,-,-,MC,MC,MC,MC,-,23,MC,-,36,21,23,6700,175/1,Bet 365,Further details,MC
Seamus Power,-,-,-,-,-,-,-,50,74,-,MC,31,-,-,-,-,-,-,-,MC,-,-,MC,20,6700,250/1,Bet 365,Further details,66
Victor Perez,33,8,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,225/1,Bet 365,Further details,MC
Ben Kohles,-,5,-,-,-,-,-,-,52,47,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,MC
Ben Martin,27,MC,-,-,-,-,-,-,MC,56,37,-,-,-,-,40,MC,MC,67,-,-,-,-,-,6600,300/1,Bet 365,Further details,MC
Cameron Champ,-,58,-,-,-,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,67,-,MC,-,MC,6600,275/1,Bet 365,Further details,MC
Dylan Wu,30,MC,-,-,-,-,-,-,42,MC,50,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,300/1,Bet 365,Further details,MC
Grayson Murray,-,MC,-,-,-,-,-,-,1,MC,-,66,-,-,-,-,-,36,70,59,55,42,-,-,6600,275/1,Bet 365,Further details,MC
Justin Suh,-,64,-,-,-,-,-,-,MC,MC,77,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,22
Samuel Stevens,-,MC,-,-,-,-,-,-,24,65,43,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,28
Charley Hoffman,45,13,-,-,-,-,-,-,42,MC,56,-,-,MC,61,53,51,24,26,20,40,MC,67,14,6500,300/1,Bet 365,Further details,2
Jhonattan Vegas,22^,-,MC,17,-,-,-,-,MC,MC,MC,-,-,MC,48,46,-,-,-,10,-,-,-,23,6500,250/1,Bet 365,Further details,22
Matthias Schmid,3,MC,-,17,4,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,MC
Maverick Mcnealy,-,58,-,-,-,-,-,-,57,MC,37,39,-,-,-,-,-,-,-,-,-,-,-,WD,6500,275/1,Bet 365,Further details,6
