Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Jim Herman,-,-,-,MC,WD,46,-,-,-,-,-,-,-,57,-,MC,MC,78,84,10,MC,43,MC,32,MC,6100,500/1,Bet 365,Further details,MC
Kyle Stanley,-,-,-,-,-,-,-,-,-,-,-,-,-,68,23,67,-,-,13,36,10,22,MC,MC,27,6100,400/1,Bet 365,Further details,MC
Jimmy Walker,-,-,-,-,MC,-,-,-,-,-,-,-,-,4,MC,26,1,1,13,MC,MC,51,45,MC,65,6100,600/1,Bet 365,Further details,MC
K.J. Choi,-,2^,-,16^,28^,-,-,-,-,-,-,-,-,MC,38,MC,20,44,50,MC,MC,-,-,71,-,6100,750/1,Bet 365,Further details,MC
Brandon Matthews,-,-,MC,WD,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Scott Harrington,-,-,29,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,6100,600/1,Bet 365,Further details,MC
Max Mcgreevy,-,-,8,MC,67,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,500/1,Bet 365,Further details,MC
Richy Werenski,-,-,23,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,49,MC,-,-,MC,MC,6100,500/1,Bet 365,Further details,MC
Augusto Nunez,-,-,67,MC,MC,MC,-,5^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,41
Kohei Okada,-,28^,-,-,41^,-,37^,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,MC
Trevor Cone,-,-,MC,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,600/1,Bet 365,Further details,MC
Brent Grant,-,-,35,MC,MC,54,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,-,MC,6000,500/1,Bet 365,Further details,MC
Anders Albertson,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,67
Blaze Akana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Jesse Mueller,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Michael Castillo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Parker McLachlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,MC,-,-,MC,MC,MC,6000,1500/1,Bet 365,Further details,MC
Carson Young,-,-,MC,53,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Kyle Westmoreland,-,-,MC,MC,27,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,600/1,Bet 365,Further details,MC
Nicolas Echavarria,-,-,23,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,12
Tano Goya,-,-,44,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,600/1,Bet 365,Further details,MC
Trevor Werbylo,-,-,59,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Dylan Wu,-,-,49,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,TBC,Bet 365,Further details,MC
Martin Trainer,-,-,MC,-,-,54,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,73,MC,47,MC,-,TBC,Bet 365,Further details,NR
Jonathan Byrd,-,-,35,-,-,MC,-,-,-,-,-,-,-,34,MC,-,MC,-,-,-,25,-,-,-,-,-,TBC,Bet 365,Further details,MC
Bill Haas,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,13,MC,-,-,MC,MC,-,TBC,Bet 365,Further details,NR
Hank Lebioda,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,MC,MC,MC,-,TBC,Bet 365,Further details,NR
Satoshi Kodaira,16,12^,-,24^,48^,4^,5^,5^,-,-,-,-,-,-,-,-,-,-,81,49,MC,MC,66,56,12,-,TBC,Bet 365,Further details,NR
Cameron Percy,-,-,35,-,-,MC,-,MC,-,-,-,-,-,-,-,59,-,MC,-,80,-,-,MC,-,MC,-,TBC,Bet 365,Further details,NR
Charley Hoffman,-,-,29,42,MC,MC,-,-,2^^,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,-,-,TBC,Bet 365,Further details,NR
