,Events,Av Score,M17,U17,O17,P17,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Gabe Reynolds,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
J.J. Killeen,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,MC
Jeremy Wells,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Jesse Droemer,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
John Somers,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,2500/1,Bet 365,Further details,MC
Josh Speight,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Matt Cahill,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Nicolas Echavarria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,MC
Ockie Strydom,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2000/1,Bet 365,Further details,MC
Russell Grove,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,2500/1,Bet 365,Further details,MC
Steve Holmes,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,Further details,MC
Steven Alker,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
