Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Fabrizio Zanotti,MC,23,-,-,65,MC,-,-,-,50,32,37,-,-,-,-,-,-,-,-,-,-,-,MC,6900,Further details,150/1,Bet 365,Further details
Roger Sloan,MC^^,MC,40,-,-,MC,-,-,-,31,61,53,-,-,-,282,-,-,-,7,41,6,MC,-,6900,Further details,150/1,Bet 365,Further details
Aaron Baddeley,-,41,MC,-,-,MC,-,-,-,72,-,59,-,MC,MC,147,17,64,26,-,MC,23,MC,MC,6900,Further details,150/1,Bet 365,Further details
Peter Malnati,19^^,-,66,MC,37,-,33,MC,70,74,MC,-,-,-,MC,-,-,27,MC,-,41,-,-,MC,6900,Further details,125/1,Bet 365,Further details
Joe Highsmith,MC^^,MC,MC,-,-,MC,-,-,MC^,57,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6900,Further details,125/1,Bet 365,Further details
Kevin Dougherty,MC^^,30,MC,-,-,MC,-,-,-,MC,46,MC,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Callum Tarren,11^^,MC,MC,-,70,MC,-,-,-,57,MC,21,-,-,-,-,-,-,-,-,-,-,22,-,6800,Further details,110/1,Bet 365,Further details
Andrea Pavan,MC,35,-,-,24,51,-,-,4,5,MC,31,-,-,-,-,-,-,-,25,-,-,MC,-,6800,Further details,125/1,Bet 365,Further details
Tom Vaillant,7,56,-,-,41,18,-,-,29,33,MC,37,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,140/1,Bet 365,Further details
Cameron Champ,MC^^,MC,-,-,-,MC,-,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,17,6800,Further details,110/1,Bet 365,Further details
Carl Yuan,MC^^,MC,68,-,MC,WD,-,-,-,20,MC,MC,-,-,-,-,-,-,-,-,-,-,-,34,6800,Further details,125/1,Bet 365,Further details
Justin Suh,MC^^,MC,50,-,MC,MC,-,-,-,MC,73,MC,-,-,-,-,-,-,-,MC,21,MC,-,34,6800,Further details,125/1,Bet 365,Further details
Jayden Trey Schaper,-,-,-,-,41,13,MC,-,44,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Trace Crowe,MC^^,MC,32,-,22^,27,42^,-,-,MC,44,MC,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,140/1,Bet 365,Further details
Adrien Saddier,MC,50,-,-,13,MC,12,-,-,42,MC,16,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,175/1,Bet 365,Further details
Ryan McCormick,MC^^,41,4,MC^,-,MC,51^,-,-,31,MC,31,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Wesley Bryan,-,MC,MC,-,MC,MC,-,-,-,67,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,31,6700,Further details,200/1,Bet 365,Further details
Andrew Johnston,-,-,-,-,-,MC,-,-,MC,33,32,MC,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,160/1,Bet 365,Further details
Dylan Frittelli,MC,67,-,-,MC,20,29,-,MC,33,52,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,200/1,Bet 365,Further details
Kelly Kraft,11^^,13,MC,-,-,42,-,-,-,MC,MC,MC,-,-,-,-,66,-,-,MC,-,-,31,MC,6700,Further details,175/1,Bet 365,Further details
Ryan Palmer,19^^,MC,-,-,MC,35,-,-,-,34^,75,MC,-,-,-,-,-,9,26,7,-,-,-,MC,6700,Further details,175/1,Bet 365,Further details
Paul Waring,MC,3,-,-,10,MC,33,-,68,-,MC,WD,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details
Marcus Kinhult,MC,56,-,-,MC,-,MC,-,2,63,-,55,-,-,-,-,-,-,-,-,-,-,-,20,6600,Further details,175/1,Bet 365,Further details
