player_name,sg_total,sg_ott,sg_app,sg_arg,sg_putt,driving_dist,driving_acc
Victor Perez,0.264,0.121,0.126,-0.105,0.123,0.954,0.014
Cameron Young,0.264,0.241,-0.091,0.023,0.091,13.468,-0.056
Niklas Norgaard,0.258,0.57,-0.218,-0.315,0.221,19.276,-0.045
Justin Rose,0.255,0.006,0.148,0.048,0.053,-0.153,0.011
Henrik Norlander,0.252,-0.074,0.518,-0.087,-0.105,-6.846,0.046
Peter Uihlein,0.224,-0.313,0.223,0.225,0.089,14.06,-0.146
Sam Ryder,0.218,-0.106,0.051,-0.045,0.318,-5.496,0.027
Chris Kirk,0.21,0.169,0.229,0.067,-0.254,-0.703,0.02
Charl Schwartzel,0.207,-0.327,0.058,0.16,0.316,-2.992,-0.021
Ryan Fox,0.203,-0.026,0.195,0.039,-0.005,7.547,-0.069
Greyson Sigg,0.188,0.094,0.298,0.076,-0.28,-7.21,0.045
Anirban Lahiri,0.177,0.17,0.034,0.145,-0.172,-4.741,0.046
Jake Knapp,0.175,0.066,0.011,-0.083,0.181,10.851,-0.065
Joost Luiten,0.165,0.295,0.171,-0.192,-0.109,-5.77,0.066
Kevin Roy,0.162,0.26,0.159,-0.031,-0.226,4.664,0.005
Cam Davis,0.153,-0.158,0.163,0.159,-0.009,3.708,-0.024
Jacques Kruyswijk,0.137,0.02,-0.226,0.182,0.161,-0.305,-0.011
Alejandro Tosti,0.121,0.336,0.032,0.009,-0.255,13.963,-0.056
Emiliano Grillo,0.115,0.253,0.013,-0.288,0.137,-3.161,0.055
Matt Kuchar,0.114,-0.28,-0.029,0.214,0.208,-13.33,0.045
Andrew Putnam,0.113,-0.55,0.27,0.236,0.158,-19.458,0.066
Haotong Li,0.106,0.09,0.324,-0.274,-0.034,10.866,-0.056
Chandler Phillips,0.095,-0.022,0.032,0.014,0.072,-4.797,0.035
Nico Echavarria,0.095,-0.16,-0.024,-0.108,0.386,-3.954,0.011
Hayden Springer,0.089,0.047,-0.011,-0.016,0.069,8.501,-0.046
Chris Gotterup,0.081,0.225,-0.013,-0.061,-0.071,16.12,-0.082
Pierceson Coody,0.064,0.261,-0.254,-0.127,0.184,9.387,-0.024
Carson Young,0.064,0.307,0.03,-0.244,-0.029,-5.612,0.073
Brandon Stone,0.063,0.234,-0.098,-0.168,0.096,5.903,-0.025
Mac Meissner,0.062,-0.286,0.176,0.136,0.036,-0.957,-0.012
Sami Valimaki,0.062,-0.139,0.113,-0.184,0.272,-0.517,0.004
Justin Lower,0.055,-0.117,0.068,-0.124,0.227,-4.528,0.001
Joseph Bramlett,0.052,0.242,0.154,0.089,-0.433,11.041,-0.042
Beau Hossler,0.043,-0.386,-0.252,0.281,0.4,0.931,-0.039
Grayson Murray,0.041,0.159,0.041,-0.051,-0.108,5.824,-0.007
Adam Hadwin,0.023,-0.09,-0.026,0.144,-0.005,-2.133,0.009
Charley Hoffman,0.02,0.197,0.239,0.006,-0.421,2.963,-0.004
Matti Schmid,0.017,0.163,0.016,-0.262,0.101,7.791,-0.015
Vince Whaley,0.014,-0.167,-0.304,0.14,0.345,5.272,-0.068
Dustin Johnson,0.014,0.317,-0.059,-0.046,-0.198,8.311,-0.006
Adrian Meronk,0.011,0.067,-0.198,-0.149,0.291,5.788,-0.037
Francesco Laporta,0.005,0.135,0.041,-0.031,-0.14,-6.668,0.062
John Parry,0.003,-0.06,0.115,0.057,-0.109,-9.031,0.035
Adam Svensson,0.001,-0.021,0.074,0.147,-0.199,-6.658,0.042
C.T. Pan,0.0,-0.065,-0.019,0.185,-0.101,-6.49,0.042
Ewen Ferguson,-0.007,0.25,-0.004,-0.143,-0.11,-5.165,0.081
Erik Van Rooyen,-0.019,0.06,-0.032,-0.032,-0.015,5.015,-0.02
Ugo Coussaud,-0.021,0.329,-0.416,-0.092,0.159,9.246,-0.03
Brandon Robinson-Thompson,-0.035,0.012,-0.229,0.017,0.166,2.751,-0.005
