Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Lucas Glover,11,-,25,20,33,-,-,16,43,12,-,MC,-,MC,MC,MC,MC,MC,MC,MC,17,-,-,-,6400,Further details,200/1,Bet 365,Further details
Nick Taylor,64,-,-,MC,49,10^^,-,43,MC,-,MC,27,-,-,-,-,-,-,-,43,-,-,MC,MC,6400,Further details,300/1,Bet 365,Further details
Tiger Woods,-,-,-,60,-,-,-,-,MC,-,-,-,-,32,-,MC,-,-,MC,21,MC,-,-,-,6400,Further details,225/1,Bet 365,Further details
Adrian Meronk,-,-,17^^,MC,-,26^^,10^^,-,MC,-,-,2^^,-,-,-,-,-,-,-,-,-,MC,-,MC,6300,Further details,175/1,Bet 365,Further details
Cameron Davis,-,21,-,12,49,-,-,38,MC,56,-,50,-,-,-,-,-,-,-,-,-,-,-,MC,6300,Further details,250/1,Bet 365,Further details
Eric Cole,33,-,MC,52,33,MC^^,-,68,MC,MC,MC,45,-,-,-,-,-,-,-,-,-,MC,-,39,6300,Further details,250/1,Bet 365,Further details
Erik van Rooyen,-,-,MC,55,33,-,-,4,53,-,42,-,-,-,-,-,-,-,-,43,23,MC,MC,-,6300,Further details,200/1,Bet 365,Further details
Gary Woodland,MC,21,-,MC,64,MC^^,-,38,60,45,51,-,-,-,52,MC,-,50,36,1,MC,50,10,49,6300,Further details,300/1,Bet 365,Further details
Adam Hadwin,5,-,-,53,42,10^^,-,52,60,-,MC,3,-,MC,-,-,-,60,MC,-,54,40,7,59,6200,Further details,125/1,Bet 365,Further details
Chris Kirk,-,-,-,16,10,-,-,43,MC,MC,-,MC,-,-,28,75,MC,-,-,-,-,-,-,MC,6200,Further details,250/1,Bet 365,Further details
Christiaan Bezuidenhout,9,-,25,-,28,3,-,16,MC,17,-,4,-,-,-,-,-,-,-,-,55,31,-,-,6200,Further details,110/1,Bet 365,Further details
Mackenzie Hughes,3,14,-,-,39,-,41,6,MC,-,7,MC,-,MC,-,-,-,-,MC,-,MC,15,24,49,6200,Further details,225/1,Bet 365,Further details
Stephan Jaeger,-,1,-,MC,18,-,20,21,76,-,-,MC,-,-,-,MC,-,60,-,-,34,-,-,-,6200,Further details,200/1,Bet 365,Further details
Tom McKibbin,MC,-,-,-,-,7,23,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,250/1,Bet 365,Further details
Davis Thompson,MC,21,45,-,18,23^^,MC,2,-,17,MC,27,-,-,-,-,-,-,-,-,MC,-,-,MC,6100,Further details,300/1,Bet 365,Further details
Emiliano Grillo,-,-,-,MC,64,-,-,64,MC,64,-,27,-,-,-,-,54,MC,MC,58,-,-,-,MC,6100,Further details,400/1,Bet 365,Further details
Phil Mickelson,-,-,47^^,43,-,38^^,22^^,-,MC,-,-,37^^,-,2,28,64,MC,-,48,52,MC,62,MC,MC,6100,Further details,300/1,Bet 365,Further details
Seamus Power,26,-,MC,-,12,-,MC,16,-,-,MC,27,-,-,-,-,-,-,-,-,-,-,12,MC,6100,Further details,300/1,Bet 365,Further details
Taylor Pendrith,MC,36,MC,-,11,11^^,1,10,MC,-,21,33,-,-,-,-,-,-,-,-,23,MC,-,MC,6100,Further details,300/1,Bet 365,Further details
Victor Perez,MC,17,45,-,43,MC^^,-,46,MC,50,3,12,-,-,-,-,-,-,-,-,MC,MC,MC,MC,6100,Further details,200/1,Bet 365,Further details
Beau Hossler,MC,57,78,-,-,MC^^,52,4,MC,MC,14,-,-,-,-,58,-,-,-,-,-,-,53,-,6000,Further details,300/1,Bet 365,Further details
Brendon Todd,33,-,5,-,58,-,-,60,78,50,-,MC,-,-,17,MC,-,-,-,MC,23,MC,-,-,6000,Further details,200/1,Bet 365,Further details
Jake Knapp,-,MC,-,55,62,-,8,58,MC,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,6000,Further details,350/1,Bet 365,Further details
Mark Hubbard,-,31,25,-,36,3^^,52,-,26,65,42,-,-,-,-,-,-,-,-,-,MC,-,-,-,6000,Further details,350/1,Bet 365,Further details
Matthieu Pavon,5,-,-,12,49,30,-,67,MC,-,-,MC,-,-,-,-,-,-,25,MC,-,-,-,MC,6000,Further details,300/1,Bet 365,Further details
Webb Simpson,54,-,45,-,42,-,-,24,-,50,-,-,-,32,45,46,MC,35,10,16,8,MC,MC,-,6000,Further details,350/1,Bet 365,Further details
Adam Schenk,33,-,5,12,49,-,13,64,MC,WD,-,MC,-,-,-,-,-,-,-,-,-,-,24,MC,5900,Further details,300/1,Bet 365,Further details
Adam Svensson,49,57,51,-,44,-,-,47,43,24,51,27,-,-,-,-,-,-,-,-,-,-,-,60,5900,Further details,350/1,Bet 365,Further details
David Puig,-,-,39^^,-,5^,40^^,27^^,-,MC,-,-,3^^,-,-,-,-,-,-,-,-,-,-,-,39,5900,Further details,250/1,Bet 365,Further details
Matt Kuchar,49,-,MC,-,-,MC^^,MC,34,-,17,MC,33,-,28,12,12,46,16,MC,16,MC,MC,-,MC,5900,Further details,350/1,Bet 365,Further details
Seonghyeon Kim,61,45,14,-,36,MC^^,4,50,63,61,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,Further details,400/1,Bet 365,Further details
Takumi Kanaya,-,1^,-,-,-,11,6^,-,MC,15^,-,4^,-,-,-,-,-,-,-,-,MC,-,-,-,5900,Further details,500/1,Bet 365,Further details
Greyson Sigg,45,45,MC,-,9,8^^,MC,13,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,62,-,-,5800,Further details,400/1,Bet 365,Further details
