Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2014,2015,2016,2017,2018,2019,2020*,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Patrick Rodgers,MC,MC,74,WD,-,5,-,-,29,MC,45,-,-,-,40,MC,67,8,-,MC,18,MC,MC,30,6500,Further details,150/1,Bet 365,Further details
Davis Riley,MC,MC,14,MC,-,-,28^^,30,66,-,1,-,-,-,-,-,-,-,-,-,-,-,13,54,6400,Further details,200/1,Bet 365,Further details
Nick Taylor,26,64,-,-,MC,49,10^^,-,43,MC,-,MC,-,-,MC,-,49,-,-,48,MC,42,-,-,6400,Further details,225/1,Bet 365,Further details
Davis Thompson,MC,MC,21,45,-,18,23^^,MC,2,-,17,MC,-,-,-,-,-,-,-,-,-,-,-,56,6400,Further details,TBC,Bet 365,Further details
Seamus Power,64,26,-,MC,-,12,-,MC,16,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,41,6300,Further details,250/1,Bet 365,Further details
Nick Dunlap,MC,-,11,-,MC,69,-,30,24,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,250/1,Bet 365,Further details
Cameron Davis,MC,-,21,-,12,49,-,-,38,MC,56,-,-,-,-,-,-,MC,-,MC,-,MC,53,MC,6300,Further details,250/1,Bet 365,Further details
Jake Knapp,45,-,MC,-,55,62,-,8,58,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,200/1,Bet 365,Further details
Christopher Gotterup,-,61,57,MC,-,MC,11^^,24,1,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6200,Further details,300/1,Bet 365,Further details
Brendon Todd,MC,33,-,5,-,58,-,-,60,78,50,-,-,8,17,MC,-,-,-,-,22,53,-,WD,6200,Further details,300/1,Bet 365,Further details
Brandt Snedeker,-,MC,MC,72,-,-,40^^,48,MC,-,MC,MC,-,-,-,-,-,-,-,MC,-,-,60,41,6100,Further details,2500/1,Bet 365,Further details
Emiliano Grillo,54,-,-,-,MC,64,-,-,64,MC,64,-,-,-,-,11,40,23,9,MC,MC,MC,32,48,6100,Further details,350/1,Bet 365,Further details
Matt Kuchar,MC,49,-,MC,-,-,MC^^,MC,34,-,17,MC,-,15,26,4,4,13,MC,39,32,-,45,62,6100,Further details,350/1,Bet 365,Further details
Matthieu Pavon,MC,5,-,-,12,49,30,-,67,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,250/1,Bet 365,Further details
Jackson Koivun,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,250/1,Bet 365,Further details
Peter Malnati,68,1,36,-,MC,49,19^^,-,66,MC,37,-,-,-,-,MC,-,-,17,65,-,MC,MC,MC,6000,Further details,600/1,Bet 365,Further details
