Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New  Account  Offer,2024 Result
Aaron Baddeley,-,-,-,64,-,21,-,-,-,-,-,MC,-,6,74,MC,8,MC,MC,-,64,MC,-,MC,6300,350/1,Bet 365,Further details,37
Martin Laird,-,31,59,MC,-,-,-,-,-,-,MC,MC,-,60,37,7,8,74,MC,43,55,MC,46,MC,6300,400/1,Bet 365,Further details,MC
Andrew Novak,-,-,45,73,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,70,69,6200,600/1,Bet 365,Further details,MC
Brandt Snedeker,-,WD,-,-,-,-,-,-,-,-,MC,MC,-,2,MC,19,1,9,45,62,3,32,MC,-,6200,400/1,Bet 365,Further details,78
David Lipsky,-,MC,13,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,56,-,6200,400/1,Bet 365,Further details,MC
Hayden Springer,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,33
Mac Meissner,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Rico Hoey,-,-,-,-,-,MC,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Roger Sloan,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,64,-,-,-,MC,MC,53,-,-,6200,400/1,Bet 365,Further details,MC
Ryan McCormick,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,Further details,MC
Hayden Buckley,-,59,-,MC,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6200,400/1,Bet 365,Further details,MC
Paul Barjon,-,-,-,-,-,-,-,-,-,-,MC,39,-,-,-,-,-,-,-,-,-,-,MC,-,6100,1000/1,Bet 365,Further details,MC
"Blaine Hale, Jr.",-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
David Skinns,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,6100,1000/1,Bet 365,Further details,MC
Josh Teater,-,-,-,MC,-,-,-,-,-,-,MC,MC,-,2,MC,-,-,-,-,MC,MC,-,-,-,6100,500/1,Bet 365,Further details,MC
Kevin Dougherty,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,50
Pierceson Coody,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,MC
Tom Whitney,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,13
Trace Crowe,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,Further details,25
Wilson Furr,-,-,-,-,-,-,-,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,MC
Tyson Alexander,-,MC,8,MC,-,-,-,-,-,-,WD,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6100,2000/1,Bet 365,Further details,56
Cameron Sisk,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Marcus Byrd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Rafael Campos,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6000,1000/1,Bet 365,Further details,20
