Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Lucas Glover,-,-,16,43,12,-,MC,MC,44,-,23,MC,-,MC,MC,-,-,-,-,-,20,MC,-,-,6000,Further details,400/1,Bet 365,Further details
Maverick McNealy,MC^^,41,-,23,17,7,-,-,-,44,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,6000,Further details,400/1,Bet 365,Further details
Shubhankar Sharma,MC,56,-,-,41,51,59,-,44,5,-,39,-,-,-,-,-,-,-,51,51,-,-,8,5900,Further details,350/1,Bet 365,Further details
Brendon Todd,-,-,60,78,50,-,MC,67,36,MC,12,46,-,-,-,39,12,-,-,-,-,MC,-,49,5900,Further details,400/1,Bet 365,Further details
Mackenzie Hughes,-,41,6,MC,-,7,MC,MC,36,-,-,46,-,-,-,-,-,-,-,-,-,6,MC,-,5900,Further details,350/1,Bet 365,Further details
John Catlin,36^,MC^,-,-,MC^,-,24^^,-,7^^,-,2^,23^^,-,-,-,-,-,-,-,-,-,MC,MC,-,5900,Further details,600/1,Bet 365,Further details
Benjamin Griffin,MC^^,13,16,WD,MC,2,MC,-,67,31,5,39,-,-,-,-,-,-,-,-,-,-,-,MC,5900,Further details,350/1,Bet 365,Further details
Nick Taylor,10^^,-,43,MC,-,MC,27,MC,42,-,-,57,-,-,-,-,-,-,-,-,-,-,-,MC,5900,Further details,400/1,Bet 365,Further details
Matthew Jordan,MC,MC,-,-,5,13,12,-,-,MC,MC,26,-,-,-,-,-,-,-,-,-,-,MC,10,5800,Further details,300/1,Bet 365,Further details
Alexander Bjork,-,MC,54,39,-,-,12,-,-,-,-,MC,-,-,-,-,-,-,MC,MC,MC,-,MC,41,5800,Further details,500/1,Bet 365,Further details
Rikuya Hoshino,-,-,-,-,-,-,-,MC,10,29,6,MC,-,-,-,-,-,-,-,-,-,MC,MC,60,5800,Further details,600/1,Bet 365,Further details
Guido Migliozzi,MC,2,-,-,24,8,-,-,1,22,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,64,5800,Further details,400/1,Bet 365,Further details
Joost Luiten,60,13,-,-,MC,-,33,-,15,-,52,MC,-,45,-,MC,MC,MC,44,-,32,MC,-,71,5800,Further details,600/1,Bet 365,Further details
Yannik Paul,36,11,-,-,MC,30,39,-,-,MC,MC,26,-,-,-,-,-,-,-,-,-,-,-,MC,5800,Further details,600/1,Bet 365,Further details
Marcel Siem,-,-,-,-,MC,MC,51,-,-,1,MC,62,-,MC,MC,-,MC,-,-,-,-,15,-,41,5700,Further details,600/1,Bet 365,Further details
Gary Woodland,MC^^,-,38,60,45,51,-,MC,-,MC,-,67,-,34,-,39,58,12,70,67,MC,MC,MC,55,5700,Further details,400/1,Bet 365,Further details
