Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Ben Kohles,2,58,26,MC,-,-,56,-,20,52,46,-,-,-,-,-,MC,-,6800,Further details,175/1,Bet 365,Further details
Lanto Griffin,MC,66,-,MC^,51,-,-,-,MC,MC,10,40,-,-,-,MC,-,MC,6800,Further details,175/1,Bet 365,Further details
Joel Dahmen,62,59,-,56,10,-,-,-,25,46,MC,MC,-,-,-,67,-,MC,6800,Further details,150/1,Bet 365,Further details
Matthew NeSmith,MC,54,-,24,MC,-,-,-,MC,75,2,MC,-,-,MC,MC,72,MC,6800,Further details,175/1,Bet 365,Further details
Justin Suh,MC,50,-,MC,MC,-,-,-,MC,73,MC,11,-,58,-,-,-,43,6700,Further details,175/1,Bet 365,Further details
Seung-yul Noh,59,32,36^,MC^,-,MC^,17^,31^,68^,MC,6,24,-,-,WD,-,38,69,6700,Further details,175/1,Bet 365,Further details
Joseph Bramlett,MC,26,-,37,51,-,-,-,MC,MC,MC,44,-,-,MC,65,MC,-,6700,Further details,175/1,Bet 365,Further details
Christopher Gotterup,24,1,MC,MC,-,MC,-,61,67,MC,MC,-,-,-,-,-,31,-,6700,Further details,175/1,Bet 365,Further details
Davis Riley,30,66,-,1,-,MC,-,48,57,MC,MC,-,-,-,-,-,MC,-,6700,Further details,175/1,Bet 365,Further details
Adam Schenk,13,64,MC,WD,-,MC,MC,55,MC,MC,-,MC,-,MC,41,51,54,-,6700,Further details,225/1,Bet 365,Further details
Jacob Bridgeman,MC,46,-,-,14,MC^,-,-,31,MC,MC,MC,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
KyoungHoon Lee,59,-,WD,32,MC,-,-,-,MC,MC,WD,WD,-,MC,66,6,-,MC,6700,Further details,175/1,Bet 365,Further details
Aaron Baddeley,41,MC,-,-,MC,-,-,-,72,-,59,MC,-,-,23,51,49,7,6600,Further details,250/1,Bet 365,Further details
Callum Tarren,MC,MC,-,70,MC,-,-,-,57,MC,21,MC,-,-,-,-,7,13,6600,Further details,175/1,Bet 365,Further details
Garrick Higgo,MC,MC,-,MC,42,-,-,-,MC,MC,63,MC,-,-,-,-,MC,13,6600,Further details,225/1,Bet 365,Further details
Nick Hardy,MC,-,-,65,42,-,-,-,52,MC,59,MC,-,-,-,-,58,13,6600,Further details,150/1,Bet 365,Further details
Chad Ramey,MC,MC,-,MC,24,-,-,-,MC,MC,45,13,-,-,-,-,-,53,6600,Further details,200/1,Bet 365,Further details
Bud Cauley,MC,-,-,-,MC,-,-,-,52,61,-,-,-,34,-,-,-,-,6600,Further details,200/1,Bet 365,Further details
Luke List,30,-,MC,MC,MC,-,-,MC,67,MC,MC,MC,-,MC,32,58,-,-,6600,Further details,175/1,Bet 365,Further details
