Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Hayden Buckley,52,-,-,-,-,-,-,-,MC,64,72,-,-,-,-,-,-,-,-,-,-,-,-,59,7000,100/1,Bet 365,Further details,59
Kevin Streelman,-,-,-,-,-,56,-,-,MC,MC,-,-,-,-,-,-,34,4,20,MC,MC,32,MC,MC,7000,100/1,Bet 365,Further details,NR
Martin Laird,-,-,-,-,-,19,-,-,56,MC,-,-,-,-,-,-,40,13,-,MC,MC,-,22,15,7000,125/1,Bet 365,Further details,31
Ryan Moore,-,-,-,-,-,45,-,-,MC,13,-,-,-,-,23,-,-,-,6,MC,-,-,MC,48,7000,125/1,Bet 365,Further details,38
Robby Shelton IV,-,-,-,-,-,19,-,-,MC,MC,4,-,-,-,-,-,-,-,-,-,6,MC,-,MC,6900,90/1,Bet 365,Further details,59
Zac Blair,-,-,-,-,-,52,-,-,MC,42,38,-,-,-,-,23,10,42,55,-,14,-,-,MC,6900,175/1,Bet 365,Further details,MC
Adam Long,-,-,-,-,-,MC,-,-,35,35,-,-,-,-,-,-,-,-,-,-,2,3,22,MC,6900,125/1,Bet 365,Further details,23
Austin Smotherman,-,-,-,-,-,MC,-,-,MC,35,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6900,150/1,Bet 365,Further details,23
MJ Daffue,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,66,6900,90/1,Bet 365,Further details,38
Stewart Cink,-,16^,-,-,-,MC,7^,-,-,MC,-,-,-,-,-,-,MC,15,MC,-,-,-,-,-,6900,125/1,Bet 365,Further details,MC
Justin Lower,-,-,-,-,-,45,-,-,MC,MC,41,-,-,-,-,-,-,-,-,-,-,-,-,56,6800,150/1,Bet 365,Further details,23
Ben Martin,-,-,-,-,-,MC,-,-,16,MC,-,-,-,-,31,MC,-,42,MC,-,20,-,-,MC,6800,125/1,Bet 365,Further details,MC
Carl Yuan,-,-,-,-,-,68,-,-,6,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,160/1,Bet 365,Further details,MC
Kelly Kraft,-,-,-,-,-,25,-,-,16,23,-,-,-,-,-,-,68,-,-,38,-,52,WD,-,6800,200/1,Bet 365,Further details,71
Marty Dou Zecheng,-,-,-,-,-,MC,-,-,12,MC,-,-,-,-,-,-,-,-,WD,-,-,-,-,MC,6800,150/1,Bet 365,Further details,MC
Ryan Palmer,-,-,-,-,-,MC,-,-,68,MC,-,-,-,-,60,-,-,-,-,-,-,-,27,MC,6800,125/1,Bet 365,Further details,5
Ryo Ishikawa,-,-,16^,19^,11^,6^,-,MC^,-,2^,4,-,-,-,-,-,-,50,-,-,-,-,-,-,6700,225/1,Bet 365,Further details,MC
Carson Young,-,-,-,-,-,19,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,53,6700,140/1,Bet 365,Further details,9
Chez Reavie,-,-,-,-,-,66,-,-,MC,MC,-,-,-,-,-,-,74,4,14,26,26,MC,33,WD,6700,140/1,Bet 365,Further details,72
Jimmy Walker,-,-,-,-,-,30,-,-,43,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6700,200/1,Bet 365,Further details,MC
Patton Kizzire,-,-,-,-,-,56,-,-,MC,46,-,-,-,-,-,-,58,-,1,55,58,32,56,10,6700,160/1,Bet 365,Further details,15
Peter Malnati,-,-,-,-,-,11,-,-,51,MC,-,-,-,-,15,-,10,MC,MC,MC,58,MC,MC,-,6700,150/1,Bet 365,Further details,59
Russell Knox,-,-,-,-,-,30,-,-,28,MC,-,-,-,30,31,37,2,3,9,-,33,23,MC,48,6700,250/1,Bet 365,Further details,69
Kensei Hirata,-,-,24^,28^,9^,33^,26^,23^,39^,8^,6,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,175/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,-,-,65,52,-,-,-,-,-,-,-,-,-,-,-,-,56,-,6600,275/1,Bet 365,Further details,WD
Charley Hoffman,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,69,31,1,MC,MC,MC,MC,MC,46,MC,42,6600,200/1,Bet 365,Further details,MC
Harrison Endycott,-,-,-,-,-,MC,-,-,28,56,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6600,300/1,Bet 365,Further details,MC
Kramer Hickok,-,-,-,-,-,MC,-,-,35,MC,-,-,-,-,-,-,-,-,-,29,MC,-,MC,MC,6600,200/1,Bet 365,Further details,15
Ryan Gerard,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,MC
Scott Piercy,-,-,-,-,-,MC,-,-,MC,42,-,-,-,-,WD,16,-,4,-,6,26,40,40,32,6600,200/1,Bet 365,Further details,23
Benjamin Taylor,-,-,-,-,-,30,-,-,73,28,77,-,-,-,-,-,-,-,-,-,MC,65,-,59,6500,300/1,Bet 365,Further details,MC
Brice Garnett,-,-,-,-,-,52,-,-,MC,-,-,-,-,-,MC,6,7,-,25,5,11,32,MC,-,6500,250/1,Bet 365,Further details,MC
Cameron Percy,-,-,-,-,-,MC,-,-,43,-,-,-,-,-,-,MC,-,-,-,-,-,WD,-,-,6500,300/1,Bet 365,Further details,59
Doc Redman,-,-,-,-,-,MC,-,-,56,66,-,-,-,-,-,-,-,-,-,-,MC,-,45,-,6500,200/1,Bet 365,Further details,MC
Isaiah Salinda,MC^,MC^,MC^,-,-,16^,MC^,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,250/1,Bet 365,Further details,MC
James Hahn,-,-,-,-,-,45,-,-,-,68,-,-,-,-,MC,-,-,-,-,29,58,-,27,MC,6500,275/1,Bet 365,Further details,45
Robert Streb,-,-,-,-,-,MC,-,-,35,MC,-,-,-,-,-,37,-,-,-,MC,14,-,-,42,6500,250/1,Bet 365,Further details,MC
David Lingmerth,-,-,-,-,-,-,-,-,-,-,73,-,-,-,MC,MC,-,-,WD,-,-,-,-,8,6400,250/1,Bet 365,Further details,MC
Jason Dufner,-,-,-,-,-,19,-,-,MC,66,-,-,-,-,-,-,40,-,-,21,-,52,-,MC,6400,350/1,Bet 365,Further details,45
Kevin Tway,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,MC,MC,-,-,71,-,-,-,-,56,MC,6400,300/1,Bet 365,Further details,54
Matthias Schwab,-,-,-,-,-,11,-,-,MC,63,-,-,-,-,-,-,-,-,-,-,-,-,-,21,6400,350/1,Bet 365,Further details,MC
Preston Summerhays,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,350/1,Bet 365,Further details,MC
Scott Harrington,-,-,-,-,-,30,-,-,35,MC,-,-,-,-,-,-,-,-,-,-,72,MC,-,-,6400,350/1,Bet 365,Further details,MC
Tano Goya,-,-,-,-,-,MC,-,-,MC,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,31
Augusto Nunez,-,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6300,300/1,Bet 365,Further details,MC
Austin Cook,-,-,-,-,-,56,-,-,68,MC,-,-,-,-,-,-,-,-,50,-,MC,63,-,27,6300,500/1,Bet 365,Further details,10
Camilo Villegas,MC^,45^,43^,-,-,MC^,37^,-,MC,-,-,-,-,-,36,MC,29,28,50,-,-,32,MC,-,6300,600/1,Bet 365,Further details,2
