Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 Odds,Bookmaker,New Account Offer
Seonghyeon Kim,-,-,-,MC^,MC,-,-,MC,64,51,46,-,-,-,-,-,-,-,-,-,-,-,MC,-,125/1,Bet 365,Further details
Tom Hoge,46,13,29,-,7,-,-,-,-,MC,56,-,-,-,44,63,-,61,MC,MC,3,56,MC,-,33/1,Bet 365,Further details
Adam Schenk,-,-,-,-,MC,-,-,MC,-,46,67,-,-,-,-,-,-,34,48,MC,MC,MC,-,-,125/1,Bet 365,Further details
Patrick Rodgers,33,-,-,-,37,-,-,MC,11,-,67,-,-,-,37,10,MC,14,MC,58,17,MC,27,-,40/1,Bet 365,Further details
David Skinns,-,-,-,-,44,-,-,37,MC,66,76,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
Aaron Baddeley,-,-,-,-,50,-,-,MC,MC,MC,-,-,-,-,37,46,-,74,-,26,MC,-,MC,-,400/1,Bet 365,Further details
Adrien Dumont de Chassart,-,-,-,-,MC,-,-,55,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350/1,Bet 365,Further details
Alejandro Tosti,-,-,-,-,MC,-,-,MC,43,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
Alex Smalley,-,-,-,-,MC,-,-,5,25,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75/1,Bet 365,Further details
Andrew Walker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Austin Hitt,9^,MC^,-,-,MC^,MC^,-,33^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Bill Haas,-,24^,-,-,MC,-,-,55,-,-,-,-,-,-,-,-,-,-,60,-,-,45,-,-,TBC,Bet 365,Further details
"Blaine Hale, Jr.",-,-,-,-,37,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500/1,Bet 365,Further details
Bud Cauley,-,-,-,-,32,-,-,5,MC,34,-,-,-,MC,-,-,MC,-,29,-,-,-,-,-,66/1,Bet 365,Further details
Daniel Berger,-,-,-,-,MC,-,-,7,35,39,-,-,-,-,51,-,-,-,-,-,23,-,-,-,40/1,Bet 365,Further details
Danny Willett,MC,-,MC,-,MC,48,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,27,21,-,350/1,Bet 365,Further details
Dylan Wu,-,-,-,-,MC,-,-,MC,69,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Emilio Gonzalez,30^,19^,-,-,3^,MC^,-,20^,-,-,-,18^,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Erik Barnes,-,-,-,-,WD,-,-,MC,60,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,600/1,Bet 365,Further details
Garrick Higgo,-,-,-,-,26,-,-,MC,MC,54,-,-,-,-,-,-,-,-,-,-,-,64,MC,-,250/1,Bet 365,Further details
Harris English,61,-,-,-,MC,-,-,MC,6,9,-,-,-,1,37,MC,MC,MC,68,5,5,-,32,-,30/1,Bet 365,Further details
Hayden Springer,-,-,-,-,MC,-,-,8,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Jacob Bridgeman,-,-,-,-,MC,-,-,11,46,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50/1,Bet 365,Further details
Joe Highsmith,-,-,-,-,13,-,-,55,6,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60/1,Bet 365,Further details
Joseph Bramlett,-,-,-,-,MC,-,-,63,21,52,-,-,-,-,-,-,-,-,-,-,MC,MC,63,-,75/1,Bet 365,Further details
Josh Teater,-,-,-,-,61,-,-,MC,MC,-,-,-,-,23,-,-,-,-,48,-,-,-,-,-,750/1,Bet 365,Further details
Kevin Chappell,38,-,-,-,26,-,-,-,MC,MC,-,-,-,-,-,-,-,MC,41,58,-,-,-,-,200/1,Bet 365,Further details
Kevin Dougherty,-,-,-,-,64,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Kevin Streelman,-,-,-,-,MC,-,-,42,3,MC,-,-,-,-,-,34,4,20,MC,MC,32,MC,MC,-,110/1,Bet 365,Further details
Luke Donald,MC,-,MC,-,45,48,-,-,-,-,-,-,-,-,-,-,MC,-,-,72,MC,MC,-,-,300/1,Bet 365,Further details
Mark Geddes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Matthew NeSmith,-,-,-,-,MC,-,-,48,MC,MC,-,-,-,-,-,-,MC,-,-,48,-,-,-,-,150/1,Bet 365,Further details
Neal Shipley,MC^,2^,3^,23^,13,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50/1,Bet 365,Further details
Norman Xiong,-,-,-,-,MC,-,-,MC,63,29,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,150/1,Bet 365,Further details
Omar Morales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Paul Barjon,-,-,-,-,MC,-,-,33,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600/1,Bet 365,Further details
Pierceson Coody,-,-,-,-,58,-,-,MC,MC,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80/1,Bet 365,Further details
Rafael Campos,-,-,-,-,13,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,66,52,-,-,-,300/1,Bet 365,Further details
Roger Sloan,-,-,-,-,37,-,-,61,61,MC,-,-,-,-,56,-,-,-,MC,MC,MC,MC,-,-,175/1,Bet 365,Further details
Ryan McCormick,-,-,-,-,MC,-,-,MC,MC,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300/1,Bet 365,Further details
Sean O'Hair,-,MC^,-,-,MC,-,-,-,MC,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,TBC,Bet 365,Further details
Seung-yul Noh,59^,46^,-,-,12^,MC^,-,18^,MC,-,-,-,-,55,-,40,MC,-,-,-,-,-,-,-,90/1,Bet 365,Further details
Tim Wilkinson,-,-,-,-,MC,-,-,MC,MC,-,-,-,-,10,29,34,MC,55,-,-,MC,-,-,-,1500/1,Bet 365,Further details
Tom Whitney,-,-,-,-,47,-,-,MC,11,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275/1,Bet 365,Further details
Trace Crowe,-,-,-,-,MC,-,-,42,54,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100/1,Bet 365,Further details
Trey Mullinax,MC^,-,-,-,MC,-,-,42,25,MC,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,150/1,Bet 365,Further details
Wesley Bryan,-,-,-,-,13,-,-,37,21,-,-,-,-,-,-,-,42,-,MC,-,MC,-,-,-,100/1,Bet 365,Further details
William McGirt,-,-,-,-,MC,-,-,-,-,-,-,-,-,45,MC,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Wilson Furr,-,-,-,-,13,-,-,MC,46,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200/1,Bet 365,Further details
