Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Kevin Chappell,-,21^,49,-,MC,-,23,-,-,MC,33,-,-,-,-,-,-,MC,-,15,16,6100,Further details,100/1,Bet 365,Further details
Henrik Norlander,-,-,20^,-,13,-,15,-,-,MC,MC^,-,-,-,-,-,-,MC,-,-,22,6100,Further details,100/1,Bet 365,Further details
Brandon Wu,-,47,MC,-,13,MC,42,MC,-,MC,MC,-,-,-,-,-,-,-,MC,28,-,6100,Further details,90/1,Bet 365,Further details
Jorge Campillo,37,MC,5,-,19,53,MC,-,49,MC,MC,-,-,-,-,-,-,-,-,-,-,6100,Further details,100/1,Bet 365,Further details
Kevin Dougherty,50,-,-,-,38,MC,MC,-,45,45,MC,-,-,-,-,-,-,-,-,-,-,6100,Further details,80/1,Bet 365,Further details
Chez Reavie,MC,-,MC,-,MC,-,-,MC,12,MC,33,-,-,-,-,-,-,-,-,-,-,6000,Further details,125/1,Bet 365,Further details
Francesco Molinari,73,-,-,-,MC,MC,-,54,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,100/1,Bet 365,Further details
Nicolas Echavarria,MC,-,MC,-,24,21,15,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,6000,Further details,100/1,Bet 365,Further details
Ryan Palmer,-,-,-,-,52,MC,-,-,54,74,MC,-,-,-,-,-,-,-,-,-,-,6000,Further details,125/1,Bet 365,Further details
Troy Merritt,MC,-,MC,-,58,47,23,MC,MC,-,MC,-,-,-,-,35,-,-,34,-,-,6000,Further details,110/1,Bet 365,Further details
Bill Haas,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,44,24,5900,Further details,450/1,Bet 365,Further details
Paul Haley II,-,65^,-,-,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,35,5900,Further details,600/1,Bet 365,Further details
Sunghoon Kang,MC,MC,42,-,-,MC^,MC,-,MC,MC,MC^,-,-,-,-,-,-,-,-,MC,38,5900,Further details,TBC,Bet 365,Further details
David Lipsky,MC,-,MC,-,MC,41,-,42,MC,MC,58,-,-,-,-,-,22,-,-,7,-,5900,Further details,100/1,Bet 365,Further details
Matthew NeSmith,MC,-,71,-,MC,MC,-,26,MC,MC,MC,-,-,-,-,-,-,41,-,-,-,5900,Further details,125/1,Bet 365,Further details
Tyson Alexander,56,-,53,-,MC,16,-,MC,MC,64,14,-,-,-,-,-,-,-,-,-,26,5800,Further details,125/1,Bet 365,Further details
Kevin Tway,-,-,MC^,-,-,-,32,-,MC,-,37^,-,-,11,-,28,-,41,-,-,38,5800,Further details,125/1,Bet 365,Further details
Rafael Campos,20,-,35^,-,38,-,18,-,MC,MC,MC,-,-,MC,3,MC,MC,MC,2,28,38,5800,Further details,100/1,Bet 365,Further details
Ben Kohles,MC,-,MC,-,WD,MC,3,MC,MC,-,78,-,-,MC,41,-,-,-,-,28,-,5800,Further details,125/1,Bet 365,Further details
Roger Sloan,MC,-,-,-,MC,-,55,-,49,45,MC,-,-,MC,68,-,MC,MC,22,MC,-,5800,Further details,125/1,Bet 365,Further details
Jonathan Byrd,-,16^,20^,-,-,-,MC,-,-,-,-,-,-,-,30,54,4,28,63,36,16,5700,Further details,200/1,Bet 365,Further details
Scott Piercy,MC^,MC^,MC^,-,MC,-,42,-,-,-,32^,-,-,-,-,60,-,-,-,-,29,5700,Further details,125/1,Bet 365,Further details
Erik Compton,MC^,11^,MC^,-,-,MC^,47^,-,-,-,MC^,-,-,-,30,-,-,-,-,-,29,5700,Further details,750/1,Bet 365,Further details
Cody Gribble,MC^,69^,MC^,-,-,-,23,-,-,MC,-,-,-,MC,-,-,-,-,-,-,50,5700,Further details,400/1,Bet 365,Further details
Harrison Endycott,MC,16,42,-,MC,-,42,-,MC,64,MC,-,-,-,-,-,-,-,-,-,58,5700,Further details,150/1,Bet 365,Further details
Hayden Buckley,MC,77,28,-,-,MC,-,MC,61,MC,MC,-,-,-,-,-,-,-,-,13,-,5700,Further details,150/1,Bet 365,Further details
Austin Cook,57^,11^,-,-,-,-,10,-,MC,53,37^,-,-,41,MC,-,-,-,-,58,13,5600,Further details,150/1,Bet 365,Further details
Sean O'Hair,MC^,5^,MC^,-,-,-,61,-,-,-,MC^,-,-,-,-,-,-,14,-,50,29,5600,Further details,250/1,Bet 365,Further details
D.A. Points,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,-,-,62,38,5600,Further details,2500/1,Bet 365,Further details
Harry Higgs,16^,MC^,MC^,-,-,-,MC,-,-,-,MC^,-,-,-,-,-,-,-,-,-,38,5600,Further details,300/1,Bet 365,Further details
Tom Whitney,13,-,-,-,MC,MC,61,-,33,MC,75,-,-,-,38,-,-,-,-,-,-,5600,Further details,150/1,Bet 365,Further details
Wilson Furr,MC,-,-,-,38,-,MC,-,MC,36,MC,-,-,-,-,-,-,-,-,-,-,5600,Further details,100/1,Bet 365,Further details
Pierceson Coody,MC,-,-,-,WD,MC,32,-,WD,57,74,-,-,-,-,-,-,-,-,-,-,5500,Further details,150/1,Bet 365,Further details
James Hahn,-,-,-,-,33,-,MC,-,-,72,-,-,-,-,-,-,-,6,-,-,-,5500,Further details,175/1,Bet 365,Further details
Marty Dou Zecheng,-,MC^,MC^,-,MC,-,32,-,-,-,-,-,-,-,16,MC,-,-,-,-,-,5500,Further details,150/1,Bet 365,Further details
Adrien Dumont de Chassart,75,-,60,-,MC,MC,6,-,MC,81,MC,-,-,-,-,-,-,-,-,-,-,5500,Further details,150/1,Bet 365,Further details
Callum Tarren,MC,-,MC,-,MC,MC,-,MC,72,69,MC,-,-,-,-,-,-,-,-,MC,-,5500,Further details,175/1,Bet 365,Further details
Patton Kizzire,-,-,MC,-,MC,MC,MC,-,-,MC,WD^,-,-,-,-,-,-,41,-,-,-,5500,Further details,150/1,Bet 365,Further details
Adam Long,MC,45^,59^,-,-,-,MC,-,-,64,MC,-,-,MC,8,-,-,5,-,-,MC,5500,Further details,175/1,Bet 365,Further details
Jason Dufner,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,28,58,5400,Further details,300/1,Bet 365,Further details
Russell Knox,27^,MC^,MC^,-,-,-,MC,-,-,-,25^,-,-,-,-,-,-,-,-,-,58,5400,Further details,225/1,Bet 365,Further details
Josh Teater,MC,-,-,-,MC,-,61,-,MC,MC,58,-,-,11,41,-,MC,MC,34,-,-,5400,Further details,200/1,Bet 365,Further details
Patrick Fishburn,MC,-,-,-,MC,MC,42,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,5400,Further details,200/1,Bet 365,Further details
Paul Barjon,MC,-,-,-,MC,MC,MC,-,MC,MC,MC,-,-,-,MC,-,-,-,MC,MC,-,5400,Further details,250/1,Bet 365,Further details
Richy Werenski,MC^,52^,3^,-,-,-,18,-,MC,MC,MC^,-,-,33,-,45,-,-,-,-,MC,5400,Further details,200/1,Bet 365,Further details
Herman Wibe Sekne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,Further details,TBC,Bet 365,Further details
George McNeill,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,13,7,41,MC,MC,62,5300,Further details,2000/1,Bet 365,Further details
Sangmoon Bae,-,-,-,9^,MC^,-,61,-,-,-,-,-,-,-,-,-,59,28,67,-,72,5300,Further details,400/1,Bet 365,Further details
Ryan McCormick,MC,-,-,-,38,-,58,-,MC,MC,82,-,-,-,-,-,-,-,-,-,-,5300,Further details,250/1,Bet 365,Further details
Jim Herman,MC^,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,61,-,-,-,-,5300,Further details,600/1,Bet 365,Further details
Trace Crowe,25,-,-,-,60,-,MC,-,MC,MC,WD,-,-,-,-,-,-,-,-,-,-,5300,Further details,250/1,Bet 365,Further details
Ryan Brehm,20,-,MC,-,MC,MC,55,-,72,53,MC,-,-,41,-,35,-,33,34,-,MC,5300,Further details,250/1,Bet 365,Further details
Brian Stuard,-,-,-,-,-,-,68,-,-,-,MC^,-,-,-,-,-,MC,33,69,7,MC,5300,Further details,750/1,Bet 365,Further details
Ryan Armour,38^,MC^,-,-,-,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,15,-,5200,Further details,400/1,Bet 365,Further details
Jimmy Walker,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,5200,Further details,350/1,Bet 365,Further details
Raul Pereda,MC,-,-,-,MC,MC^,42,-,MC,78,MC,-,-,-,-,-,-,-,-,-,-,5200,Further details,500/1,Bet 365,Further details
Scott Gutschewski,MC,-,-,-,MC,-,MC,-,MC,69,MC,-,-,-,16,-,-,-,-,57,-,5200,Further details,450/1,Bet 365,Further details
Wesley Bryan,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,15,MC,5200,Further details,300/1,Bet 365,Further details
Tommy Gainey,16^,52^,MC^,-,-,MC^,32,-,-,-,14^,-,-,-,MC,22,MC,73,-,MC,MC,5200,Further details,350/1,Bet 365,Further details
William Mcgirt,-,-,-,-,-,-,MC,-,-,-,MC^,-,-,-,-,-,-,-,-,-,MC,5200,Further details,350/1,Bet 365,Further details
Braden Shattuck,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,1500/1,Bet 365,Further details
Chase Johnson,-,-,-,51,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,500/1,Bet 365,Further details
Joe Deraney,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,750/1,Bet 365,Further details
Nick Watney,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5100,Further details,2500/1,Bet 365,Further details
Robert Streb,-,52^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,21,-,-,-,5100,Further details,TBC,Bet 365,Further details
Benjamin Taylor,64,-,MC,-,MC,MC,-,MC,MC,MC,MC,-,-,-,49,-,-,MC,54,-,-,5100,Further details,750/1,Bet 365,Further details
Justin Hicks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,1250/1,Bet 365,Further details
Thomas Longbella,-,-,-,-,-,MC^,MC^,-,-,10^,-,-,-,-,-,-,-,-,-,-,MC,5100,Further details,1500/1,Bet 365,Further details
Brandon Berry,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2000/1,Bet 365,Further details
Guillermo Pumarol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,MC,-,65,MC,MC,-,5000,Further details,3000/1,Bet 365,Further details
Julio Santos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,73,69,MC,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Ryan Celano,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
"Blaine Hale, Jr.",MC,-,-,-,MC,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,5000,Further details,1500/1,Bet 365,Further details
Kyle Stanley,20^,MC^,MC^,-,-,MC^,61,-,-,-,MC^,-,-,-,-,-,-,28,-,MC,-,5000,Further details,1000/1,Bet 365,Further details
Hiram Silfa,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,MC,MC,5000,Further details,4000/1,Bet 365,Further details
Juan Jose Guerra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,MC,5000,Further details,1500/1,Bet 365,Further details
Jeff Overton,-,-,-,-,-,MC,MC,-,-,-,MC^,-,-,-,-,-,-,-,-,-,MC,5000,Further details,2500/1,Bet 365,Further details
Philip Knowles,WD^,16^,-,-,-,-,-,-,-,-,3^,-,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Andrew Landry,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,60,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Fabian Gomez,38^,-,-,-,-,MC^,44^,-,-,-,MC^,-,-,-,-,22,MC,41,56,MC,MC,-,Further details,250/1,Bet 365,Further details
