Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Camilo Villegas,-,-,-,-,-,-,-,64^,MC,MC,MC^,-,-,MC,MC,41,16,14,MC,68,-,MC,8,MC,6200,400/1,Bet 365,Further details,MC
Chris Stroud,-,-,-,-,-,-,-,-,-,MC,-,-,-,9,13,12,WD,MC,-,33,-,MC,-,MC,6200,350/1,Bet 365,Further details,MC
Richy Werenski,-,-,-,-,-,-,MC,MC,MC,20,MC,-,-,-,-,-,-,-,MC,MC,78,17,MC,MC,6200,500/1,Bet 365,Further details,MC
Kelly Kraft,-,-,-,-,-,-,61,-,MC,MC,63,MC,-,-,-,-,-,-,MC,8,MC,-,MC,MC,6200,500/1,Bet 365,Further details,55
Brett Drewitt,-,-,-,-,-,-,-,4^,MC^,8^,3^,-,-,-,-,-,-,-,MC,-,-,-,-,55,6200,TBC,Bet 365,Further details,29
Ryan Gerard,-,-,-,-,-,-,-,MC^,MC^,41^,3^,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,TBC,Bet 365,Further details,4
Bill Haas,-,-,-,-,-,-,-,MC,MC,WD,-,-,-,-,-,-,-,-,-,-,51,-,-,25,6100,600/1,Bet 365,Further details,71
William McGirt,-,-,-,-,-,-,-,-,MC,MC,-,-,-,62,MC,71,22,8,MC,33,-,-,60,66,6100,600/1,Bet 365,Further details,29
Cody Gribble,-,-,-,-,-,-,-,MC^,MC,70,MC^,-,-,-,-,-,-,-,70,MC,MC,-,-,-,6100,500/1,Bet 365,Further details,79
Jonathan Byrd,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,400/1,Bet 365,Further details,MC
Kevin Roy,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,29
Trevor Cone,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,74
Jim Herman,-,-,-,-,-,-,MC,-,MC,-,66,-,-,-,-,-,7,MC,27,-,MC,MC,53,MC,6100,400/1,Bet 365,Further details,14
Michael Gligic,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,6100,1000/1,Bet 365,Further details,MC
Brian Gay,-,-,-,-,-,-,-,-,-,WD,MC,38^,-,MC,51,-,-,-,60,MC,20,MC,46,42,6100,500/1,Bet 365,Further details,MC
Ryan Brehm,-,-,-,-,-,35,41,MC,MC,MC,MC,MC,-,-,-,-,-,-,69,-,-,-,-,-,6100,750/1,Bet 365,Further details,14
Greg Chalmers,7,MC,-,-,-,-,-,-,-,70,-,-,-,12,51,MC,-,-,57,17,-,MC,-,-,6100,1000/1,Bet 365,Further details,MC
Arjun Atwal,-,-,-,-,-,-,-,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,MC,-,-,6000,1000/1,Bet 365,Further details,MC
Ben Crane,-,-,-,-,-,-,-,-,MC,MC,-,-,-,30,64,69,68,MC,62,74,MC,-,-,-,6000,1000/1,Bet 365,Further details,MC
Brandon Matthews,-,-,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,55
Carson Young,-,-,-,-,-,-,MC,MC,MC,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,29
Tyler Collet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Kyle Stanley,-,-,-,-,-,-,MC,-,MC,WD,MC^,-,-,MC,18,MC,-,43,MC,-,MC,MC,-,MC,6000,500/1,Bet 365,Further details,60
Marcus Byrd,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,MC
Max Mcgreevy,-,-,-,-,-,-,MC,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,MC
Curtis Thompson,-,-,-,-,-,-,-,MC^,68^,MC^,28^,-,-,-,-,-,-,-,-,-,-,-,-,55,6000,TBC,Bet 365,Further details,MC
Geoff Ogilvy,18,MC,-,-,-,-,-,-,MC^,74,-,-,-,-,2,MC,-,MC,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,80
Andrew Kozan,-,-,-,-,-,-,-,59^,MC^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,30,6000,500/1,Bet 365,Further details,MC
Anders Albertson,-,-,-,-,-,-,67,62,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,6000,1000/1,Bet 365,Further details,63
Parker Coody,-,-,-,-,-,-,-,MC^,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Trace Crowe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,63
Vaughn Taylor,-,-,-,-,-,-,-,-,-,-,-,-,-,18,25,-,-,-,MC,59,59,42,MC,55,-,TBC,Bet 365,Further details,NR
Bo Van Pelt,-,-,-,-,-,-,-,-,MC^,MC,-,-,-,-,-,MC,MC,-,-,-,-,MC,MC,-,-,TBC,Bet 365,Further details,NR
Kevin Chappell,-,-,-,-,-,-,-,MC,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,13,-,-,TBC,Bet 365,Further details,29
Robert Garrigus,-,-,-,-,-,-,-,MC^,MC,MC,-,-,-,30,-,MC,31,-,MC,MC,-,-,-,-,-,TBC,Bet 365,Further details,NR
Tommy Gainey,-,-,-,-,-,-,-,MC^,MC^,MC,-,-,-,WD,MC,MC,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
Grayson Murray,-,-,-,-,-,-,-,37^,WD^,MC,-,-,-,-,-,-,-,-,MC,MC,68,53,MC,MC,-,TBC,Bet 365,Further details,MC
Wesley Bryan,-,-,-,-,-,-,-,MC,-,MC,MC^,-,-,-,-,-,-,-,4,MC,-,-,MC,MC,-,TBC,Bet 365,Further details,NR
