Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024,2025 Odds,Bookmaker,New Account Offer
Danny Walker,-,MC,MC,42,-,-,-,13,-,64,6,MC,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Matt McCarty,53,65,MC,MC,-,MC,-,63,48,-,20,16,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Max Mcgreevy,-,MC,MC,WD,-,MC,-,25,4,40,20,54,-,-,-,-,-,-,-,-,-,19,67,-,90/1,Bet 365,Further details
Minwoo Lee,-,-,17,-,17,12,48,-,11,MC,20,-,-,-,-,-,-,-,-,-,-,-,-,-,33/1,Bet 365,Further details
Harris English,-,MC,43,1,73,-,24,-,-,MC,30,-,-,50,-,-,57,61,MC,4,-,-,39,-,80/1,Bet 365,Further details
Ryan Gerard,-,37,51,15,-,-,-,17,25,MC,42,57,-,-,-,-,-,-,-,-,-,-,-,-,110/1,Bet 365,Further details
Jesper Svensson,-,10,MC,MC,-,63,-,49,32,-,42,64,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Camilo Villegas,-,MC,7,MC,-,44,-,-,MC,MC,54,70,-,-,43,-,MC,-,MC,-,MC,-,-,-,750/1,Bet 365,Further details
Charley Hoffman,-,59,5,25,-,MC,-,MC,25,-,54,-,-,20,37,11,33,23,-,-,29,-,MC,-,150/1,Bet 365,Further details
Will Chandler,-,-,MC,MC,-,6,-,MC,MC,MC,61,69,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Austin Eckroat,15,MC,-,MC,13,MC,MC,-,MC,34,61,-,-,-,-,-,-,-,-,-,-,-,MC,-,100/1,Bet 365,Further details
Sungjae Im,3,-,MC,4,33,57,MC,-,MC,19,61,-,-,-,-,-,-,-,-,-,50,19,-,-,33/1,Bet 365,Further details
Trey Mullinax,-,-,18,MC,-,32,-,MC,MC,16,61,-,-,-,-,-,-,MC,-,-,-,MC,4,-,200/1,Bet 365,Further details
Emiliano Grillo,-,MC,MC,WD,-,76,-,65,MC,-,67,22,-,-,-,-,-,-,3,-,MC,-,-,-,250/1,Bet 365,Further details
Isaiah Salinda,-,MC,MC,42,-,-,-,3,39,45,68,-,-,-,-,-,-,-,-,-,50,-,-,-,125/1,Bet 365,Further details
Sami Valimaki,-,-,MC,15,-,MC,-,34,48,-,69,36,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
C.T. Pan,-,21,-,-,-,57,-,68,MC,-,69,57,-,-,-,-,-,MC,MC,-,58,MC,-,-,250/1,Bet 365,Further details
Rickie Fowler,-,-,21,-,53,WD,39,-,18,-,71,-,-,-,6,71,10,3,43,-,-,-,-,-,90/1,Bet 365,Further details
Jeremy Paul,-,45,64,MC,-,-,-,25,MC,16,-,22,-,-,-,-,-,-,-,-,-,-,-,-,125/1,Bet 365,Further details
Steven Fisk,-,MC,MC,63,-,MC,-,17,MC,4,-,28,-,-,-,-,-,-,-,-,-,-,-,-,150/1,Bet 365,Further details
Kaito Onishi,-,MC,MC,MC,-,-,-,MC,-,MC,-,42,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Noah Goodwin,-,MC,MC,63,-,-,-,49,-,12,-,42,-,-,-,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Danny Willett,-,-,MC,9,-,-,-,-,MC,45,-,47,-,-,-,MC,-,-,-,-,WD,MC,WD,-,500/1,Bet 365,Further details
Kevin Velo,-,MC,MC,MC,-,-,-,MC,MC,40,-,57,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
John Pak,-,MC,MC,56,-,-,-,17,-,MC,-,64,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Braden Thornberry,-,MC,MC,-,-,-,-,MC,MC,MC,-,70,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Mason Andersen,-,MC,MC,MC,-,-,-,65,MC,26,-,70,-,-,-,-,-,-,-,-,-,-,-,-,1500/1,Bet 365,Further details
Antoine Rozner,-,-,MC,48,-,4,-,55,62,59,-,76,-,-,-,-,-,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Anders Albertson,-,-,MC,MC,-,-,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,WD,-,TBC,Bet 365,Further details
Brandon Matthews,-,-,-,-,MC^,MC^,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details
Carlos Sainz Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Francesco Molinari,-,-,MC,MC,-,-,-,49,65,-,-,-,-,-,-,57,-,-,-,-,15,WD,47,-,750/1,Bet 365,Further details
Kyle Westmoreland,-,76^,-,MC^,MC^,1^,-,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,27,-,400/1,Bet 365,Further details
Lee Hodges,-,10,34,9,33,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,MC,-,90/1,Bet 365,Further details
Noah Kent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2000/1,Bet 365,Further details
Paul Waring,-,-,MC,WD,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Vince Covello,-,65^,-,MC^,-,-,-,MC,-,54,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,4000/1,Bet 365,Further details
Wesley Bryan,-,-,MC,25,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Ben Martin,-,59,MC,-,40^,MC,-,45,MC,-,-,MC,-,-,MC,-,52,MC,-,-,-,-,MC,-,450/1,Bet 365,Further details
Cristobal Del Solar,-,70,MC,66,-,-,-,MC,MC,54,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,2500/1,Bet 365,Further details
Harry Higgs,-,MC,34,63,-,-,-,74,MC,26,-,MC,-,-,-,-,-,-,-,MC,-,50,-,-,500/1,Bet 365,Further details
Kevin Tway,-,53^,-,52,-,-,-,-,-,68,-,MC,-,-,-,-,-,-,32,-,MC,2,43,-,TBC,Bet 365,Further details
Matteo Manassero,-,-,43,25,-,-,-,68,MC,45,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,400/1,Bet 365,Further details
Matthew Riedel,-,-,51,MC,-,-,-,MC,65,26,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,750/1,Bet 365,Further details
Michael Thorbjornsen,-,-,MC,MC,-,74,-,MC,39,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
