Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Max Mcgreevy,MC,MC,MC,MC,33,MC,MC,50,MC,-,63,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6100,750/1,Bet 365,Further details,MC
D.J. Trahan,-,-,-,-,44,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6100,750/1,Bet 365,Further details,MC
Derek Ernst,-,-,-,-,21,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,MC,6100,1000/1,Bet 365,Further details,60
Jonas Blixt,20,7^,-,MC,64,-,-,MC,-,-,-,MC^^,-,29,-,-,-,-,-,-,-,-,MC,6100,500/1,Bet 365,Further details,72
Brian Davis,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,MC
George McNeill,-,-,-,-,61,-,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Omar Morales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Steve Jurgensen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Ted Potter Jr.,MC,-,-,-,59,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,TBC,Bet 365,Further details,MC
Zach Bauchou,-,118^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Boo Weekley,-,-,-,-,MC,-,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,6000,2000/1,Bet 365,Further details,MC
Kevin Stadler,-,-,-,-,54,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Jose Cristobal Islas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,MC,6000,2000/1,Bet 365,Further details,MC
Arjun Atwal,MC,-,-,MC,MC,-,-,MC,-,-,-,11^,-,-,-,-,-,-,-,-,-,-,MC,6000,1000/1,Bet 365,Further details,MC
Robert Garrigus,MC,-,-,-,MC,-,-,MC,-,-,-,MC^^,-,-,-,-,-,-,-,-,-,-,42,-,TBC,Bet 365,Further details,NR
Tommy Gainey,MC,-,-,-,MC,-,-,MC,MC^,-,-,12^,-,-,-,-,-,-,-,-,-,-,51,-,TBC,Bet 365,Further details,MC
Paul Goydos,-,57^,13^,-,19^,-,25^,10^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
J.J. Henry,-,-,-,-,MC,-,-,MC,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details,NR
David Hearn,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,NR
Johnson Wagner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,NR
Richard S. Johnson,-,-,-,-,64,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,MC
Mark Hensby,-,2^,18^,-,3^,-,37^,-,-,-,-,1^,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,NR
Bo Van Pelt,MC,-,-,-,MC,-,-,MC,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,NR
