Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jake Knapp,55,62,-,8,58,MC,-,-,MC,MC,48,31,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Chandler Phillips,-,55,19^^,MC,50,-,12,10,-,-,-,67,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details
Luke List,39,-,19^^,30,-,MC,MC,MC,-,-,MC,67,-,-,MC,-,-,56,68,-,-,4,-,-,7100,Further details,100/1,Bet 365,Further details
Dylan Wu,-,-,28^^,30,16,-,MC,MC,-,-,-,10,-,-,-,-,-,-,-,-,-,-,43,MC,7100,Further details,110/1,Bet 365,Further details
Joseph Bramlett,-,MC,-,MC,26,-,37,51,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,MC,7100,Further details,90/1,Bet 365,Further details
Nick Hardy,-,MC,28^^,MC,-,-,65,42,-,-,-,52,-,-,-,-,-,-,55,43,-,-,30,21,7000,Further details,125/1,Bet 365,Further details
Zach Johnson,MC,-,19^^,20,-,-,45,MC,-,-,-,63,-,1,2,2,3,34,5,16,37,34,60,35,7000,Further details,100/1,Bet 365,Further details
Hayden Springer,-,MC,MC^^,MC,MC,-,MC,MC,-,54^,-,10,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,110/1,Bet 365,Further details
Bud Cauley,-,MC,-,MC,-,-,-,MC,-,-,-,52,-,72,MC,52,-,8,12,-,18,-,-,-,7000,Further details,100/1,Bet 365,Further details
C.T. Pan,-,-,28^^,WD,MC,MC,37,35,-,-,-,MC,-,-,-,-,-,-,-,34,-,MC,24,-,7000,Further details,110/1,Bet 365,Further details
Chan Kim,-,6,28^^,MC,40,-,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Mac Meissner,-,MC,23^^,MC,13,-,5,57,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
