Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Michael Thompson,MC,-,-,-,-,-,-,31,MC,37,-,MC,-,17,MC,-,MC,-,-,-,7,MC,MC,-,6300,350/1,Bet 365,Further details,45
Troy Merritt,MC,-,-,-,-,-,-,65,MC,-,MC,MC,-,-,-,-,MC,11,MC,41,-,MC,MC,MC,6300,400/1,Bet 365,Further details,MC
Chesson Hadley,MC,-,-,-,-,-,-,MC,MC,-,MC,23,-,-,-,MC,MC,-,-,-,-,-,-,MC,6200,400/1,Bet 365,Further details,MC
Kevin Tway,MC,-,-,-,-,-,-,54,54,18,MC,32,-,-,-,-,-,-,MC,MC,MC,MC,-,48,6200,350/1,Bet 365,Further details,40
Keita Nakajima,MC^,8^,-,-,-,-,-,54,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,Further details,MC
Luke Donald,-,-,-,-,-,-,-,-,38,MC,MC,-,-,56,16,-,MC,45,17,37,-,-,-,-,6200,400/1,Bet 365,Further details,40
Lee Hodges,MC,-,-,-,-,-,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,39,6200,350/1,Bet 365,Further details,18
Kevin Streelman,35,-,-,-,-,-,-,MC,-,61,63,MC,-,56,27,35,MC,-,MC,41,MC,-,52,-,6200,400/1,Bet 365,Further details,50
Mark Hubbard,-,-,-,-,-,-,-,MC,MC,-,20,MC,-,-,-,-,-,54,69,-,-,-,MC,-,6200,500/1,Bet 365,Further details,MC
Scott Piercy,MC,-,-,-,-,-,-,MC,41,31,MC,WD,-,MC,61,77,MC,-,MC,-,-,17,64,61,6200,400/1,Bet 365,Further details,50
Lucas Glover,-,-,-,-,-,-,-,MC,MC,-,MC,39,-,-,MC,MC,MC,MC,-,MC,-,-,MC,-,6100,600/1,Bet 365,Further details,MC
Kelly Kraft,MC,-,-,-,-,-,-,61,-,MC,MC,63,-,-,-,-,-,-,MC,63,9,-,-,-,6100,600/1,Bet 365,Further details,MC
Yeongsu Kim,-,-,MC^,-,-,-,-,-,-,-,28^,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Doc Redman,64,-,-,-,-,-,-,31,-,MC,41,MC,-,-,-,-,-,-,-,-,-,-,MC,61,6100,750/1,Bet 365,Further details,MC
Chad Ramey,MC,-,-,-,-,-,38,54,-,-,70,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,1500/1,Bet 365,Further details,MC
Matthias Schwab,62,-,-,-,-,-,-,MC,26,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,500/1,Bet 365,Further details,50
Ryan Brehm,MC,-,-,-,-,-,35,41,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,2000/1,Bet 365,Further details,MC
Doug Ghim,-,-,-,-,-,-,-,-,MC,MC,WD,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,600/1,Bet 365,Further details,62
Marcus Byrd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,2500/1,Bet 365,Further details,MC
Nick Watney,MC,-,-,-,-,-,-,-,MC,MC,MC,MC,-,34,-,-,22,-,28,-,-,MC,-,55,6000,1000/1,Bet 365,Further details,MC
Austin Smotherman,MC,-,-,-,-,-,-,67,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
J.B. Holmes,-,-,-,-,-,-,-,-,-,MC,MC,MC,-,8,MC,52,22,11,34,60,1,51,57,-,6000,500/1,Bet 365,Further details,67
Max McGreevy,MC,-,-,-,-,-,-,MC,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,Further details,MC
Tyler Duncan,MC,-,-,54^,-,-,-,MC,41,MC,-,MC,-,-,-,-,-,-,-,MC,MC,64,38,-,6000,1250/1,Bet 365,Further details,33
Kramer Hickok,-,-,-,-,-,-,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,64,-,-,MC,6000,750/1,Bet 365,Further details,29
Robert Streb,MC,-,-,-,-,-,-,MC,MC,MC,-,MC,-,-,MC,-,MC,MC,MC,MC,MC,-,MC,MC,6000,1500/1,Bet 365,Further details,MC
