Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Keith Mitchell,-,-,-,-,-,30,9,MC,54,17,-,19,-,-,-,-,-,-,MC,1,MC,53,9,-,9000,40/1,Bet 365,Further details,9
Denny McCarthy,-,-,-,-,43,24,-,-,26,22,39,-,-,-,-,-,-,-,MC,MC,MC,3,30,MC,8900,50/1,Bet 365,Further details,MC
Stephan Jaeger,-,-,-,-,-,18,52,3,71,-,-,3,-,-,-,-,-,-,MC,78,-,-,48,14,8800,45/1,Bet 365,Further details,MC
Matthieu Pavon,-,-,MC,-,-,7,39,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8700,45/1,Bet 365,Further details,28
Sepp Straka,2,-,-,-,12,-,-,MC,26,-,MC,-,-,-,-,-,-,-,-,MC,27,33,1,5,8600,40/1,Bet 365,Further details,MC
Rasmus Hojgaard,-,-,-,-,-,11,11,2,8,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8500,45/1,Bet 365,Further details,MC
Jake Knapp,-,-,-,-,-,70,MC,3,-,28,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8400,50/1,Bet 365,Further details,4
Beau Hossler,-,-,-,-,-,-,47,6,14,41,24,-,-,-,-,-,-,-,-,-,38,60,16,-,8300,50/1,Bet 365,Further details,28
Alexander Noren,-,-,-,-,-,42,25,-,26,53,-,-,-,MC,-,-,-,-,3,MC,-,46,5,-,8200,50/1,Bet 365,Further details,9
Luke List,-,-,-,-,22,66,-,50,26,MC,2,-,-,MC,-,-,10,52,2,MC,MC,MC,-,-,8100,40/1,Bet 365,Further details,MC
Justin Rose,8,-,-,-,40,57,-,56,11,-,-,-,-,4,-,MC,-,-,-,-,MC,-,-,-,8000,50/1,Bet 365,Further details,64
Tom Hoge,-,-,-,-,38,MC,17,56,6,17,8,-,-,-,-,-,37,-,MC,MC,MC,MC,-,-,7900,50/1,Bet 365,Further details,28
Taylor Pendrith,-,-,-,-,-,10,MC,9,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,25,42,7800,60/1,Bet 365,Further details,MC
Adam Svensson,-,-,-,-,33,30,-,MC,47,MC,10,-,-,-,-,-,-,-,-,59,-,-,9,49,7700,50/1,Bet 365,Further details,MC
Thorbjorn Olesen,-,-,-,-,-,8,21,1,-,-,-,46,-,-,MC,-,-,-,-,-,-,-,-,-,7700,50/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,17,3,-,-,-,-,2,MC,20,28,24,-,-,-,-,-,-,-,-,-,-,-,25,42,7600,66/1,Bet 365,Further details,MC
Brendon Todd,-,-,-,-,33,30,-,-,58,22,31,-,-,-,MC,-,MC,-,-,-,-,-,48,-,7600,66/1,Bet 365,Further details,MC
Mark Hubbard,-,-,-,-,-,57,47,20,4,53,-,48,-,-,-,-,65,MC,-,-,11,46,15,42,7500,80/1,Bet 365,Further details,64
Rickie Fowler,17,-,-,-,56,-,MC,-,47,MC,35,-,-,13,24,41,6,1,MC,2,MC,65,42,-,7500,50/1,Bet 365,Further details,41
Ryan Fox,-,-,-,-,-,14,31,MC,-,41,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7400,80/1,Bet 365,Further details,35
Erik van Rooyen,-,32,-,-,22,52,25,-,20,MC,-,8,-,-,-,-,-,-,-,-,MC,60,-,MC,7400,66/1,Bet 365,Further details,2
Ryo Hisatsune,8,-,-,-,-,30,11,33,-,MC,-,48,-,-,-,-,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,MC
Taylor Montgomery,-,-,-,-,-,13,61,13,39,39,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7300,80/1,Bet 365,Further details,60
Matt Wallace,-,-,-,-,40,52,MC,MC,-,53,-,33,-,-,-,-,-,-,-,20,MC,MC,-,29,7200,90/1,Bet 365,Further details,MC
Adam Schenk,-,-,-,-,29,-,MC,25,47,17,MC,-,-,-,-,-,-,-,29,30,MC,36,MC,42,7200,90/1,Bet 365,Further details,56
Maverick McNealy,-,-,-,-,-,57,MC,37,39,6,-,13,-,-,-,-,-,-,-,-,11,MC,-,-,7100,100/1,Bet 365,Further details,41
Lucas Glover,12,-,-,-,29,MC,-,-,58,-,35,-,-,4,MC,MC,MC,21,17,4,MC,19,30,-,7100,66/1,Bet 365,Further details,35
Billy Horschel,-,-,-,-,-,18,MC,MC,-,41,-,-,-,46,MC,MC,8,4,MC,16,42,-,16,42,7000,66/1,Bet 365,Further details,9
