Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Benjamin Taylor,MC,MC^^,8,MC,-,69,MC,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,6600,275/1,Bet 365,Further details,MC
Brice Garnett,-,MC^^,33,-,77,-,-,-,68,-,-,47,-,-,-,45,MC,MC,-,MC,37,MC,MC,6600,350/1,Bet 365,Further details,MC
Lanto Griffin,MC,-,66,MC,-,-,-,64,MC,-,MC,MC,-,-,-,-,-,-,-,60,-,-,MC,6600,225/1,Bet 365,Further details,51
Kramer Hickok,72,MC^^,-,40,MC,-,21,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,MC,WD,62,6500,300/1,Bet 365,Further details,69
Brent Grant,-,MC^^,MC,MC,83,-,-,-,52,MC,21^,MC,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,MC
Harrison Endycott,-,MC^^,MC,59,50,-,MC,-,12,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6500,300/1,Bet 365,Further details,66
Nicolas Echavarria,MC,-,66,MC,-,MC,-,MC,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6500,275/1,Bet 365,Further details,MC
Sunghoon Kang,-,MC^^,MC,-,14,-,-,-,57,12^,WD^,-,-,MC,-,-,-,14,-,MC,-,MC,MC,6500,400/1,Bet 365,Further details,MC
Cameron Percy,-,MC^^,60,-,MC,-,-,-,52,-,-,MC,-,-,MC,-,62,MC,12,MC,-,11,MC,6500,250/1,Bet 365,Further details,MC
Doc Redman,MC,26^^,MC,MC,30,-,-,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,37,MC,MC,6500,275/1,Bet 365,Further details,MC
Sean O'Hair,-,7^^,MC,-,50,-,-,-,MC,-,-,MC,-,MC,MC,68,-,MC,77,MC,-,11,MC,6500,225/1,Bet 365,Further details,MC
Andrew Landry,MC,MC^^,-,MC,MC,-,-,-,57,-,67,64,-,-,-,-,-,8,-,55,3,64,WD,6500,275/1,Bet 365,Further details,61
Kelly Kraft,MC,MC^^,MC,MC,79,-,-,-,MC,-,38,40,-,-,-,-,-,5,64,63,66,-,24,6400,400/1,Bet 365,Further details,MC
Hank Lebioda,-,34^^,MC,-,-,-,MC^,-,MC,MC,-,64,-,-,-,-,-,-,-,-,MC,8,43,6400,400/1,Bet 365,Further details,MC
Robby Shelton IV,-,MC^^,MC,MC,43,-,29,MC,MC,-,MC,70,-,-,-,-,-,27,-,-,-,MC,-,6400,175/1,Bet 365,Further details,MC
Tano Goya,-,MC^^,60,-,50,-,MC^,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,26
Robert Streb,MC,13^^,-,MC,67,-,-,-,MC,-,MC,56,-,-,22,37,14,MC,74,MC,MC,MC,MC,6400,400/1,Bet 365,Further details,42
Richy Werenski,MC,MC^^,46,MC,11,-,MC,-,65,-,MC,MC,-,-,-,-,-,-,25,23,47,MC,MC,6400,400/1,Bet 365,Further details,42
Ryan Armour,-,MC^^,MC,56,50,-,-,-,MC,MC,-,MC,-,-,-,-,60,-,MC,-,MC,MC,MC,6400,400/1,Bet 365,Further details,MC
Trey Mullinax,MC,MC^^,-,47,MC,MC,-,MC,-,-,MC,MC,-,-,-,-,-,-,19,MC,MC,-,MC,6400,175/1,Bet 365,Further details,MC
Tyler Duncan,MC,34^^,-,MC,MC,-,MC,-,MC,-,MC,47,-,-,-,-,-,-,-,12,26,MC,WD,6400,175/1,Bet 365,Further details,61
Matthias Schwab,MC,9^^,MC,MC,MC,-,70,-,MC,-,MC,83,-,-,-,-,-,-,-,-,-,-,16,6300,350/1,Bet 365,Further details,MC
Trevor Cone,-,MC^^,70,MC,23,-,MC^,MC^,68,-,-,40,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Paul Haley II,-,MC^^,MC,MC,MC,-,5,-,MC,MC,MC,83,-,-,MC,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,MC
Cody Gribble,-,MC^^,55,-,MC,-,63,-,34,-,-,MC,-,-,-,-,-,-,MC,34,MC,-,-,6300,400/1,Bet 365,Further details,42
Kevin Roy,MC^,MC^^,18,-,MC,-,MC^,63^,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,Further details,31
Ross Steelman,-,-,-,-,-,-,-,-,-,43^,58^,MC,-,-,-,-,-,-,-,-,-,-,-,6300,500/1,Bet 365,Further details,MC
Scott Harrington,-,MC^^,MC,-,50,-,-,37^,MC,-,-,MC,-,-,-,-,-,-,-,-,-,41,-,6300,600/1,Bet 365,Further details,MC
Chris Stroud,-,MC^^,MC,-,50,-,-,-,MC,-,-,MC,-,68,-,59,5,MC,19,30,4,-,MC,6300,350/1,Bet 365,Further details,63
David Lingmerth,-,MC^^,-,47,-,MC,MC,MC,WD,-,MC,MC,-,-,-,MC,-,-,-,72,MC,MC,MC,6300,400/1,Bet 365,Further details,MC
Michael Gligic,71^,13^^,39,-,MC,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,MC,10,6200,500/1,Bet 365,Further details,MC
Austin Cook,-,MC^^,39,MC,MC,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,34,67,MC,16,6200,400/1,Bet 365,Further details,MC
Martin Trainer,-,9^^,MC,-,MC,-,-,-,72,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,63,6200,500/1,Bet 365,Further details,MC
Kyle Westmoreland,-,MC^^,MC,-,MC,-,MC,5^,MC,-,-,78,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,MC
Brandon Matthews,-,7^^,MC,-,MC,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,Further details,68
Ryan Brehm,MC,-,-,-,64,-,-,-,MC,-,MC,81,-,-,-,-,-,-,MC,-,-,MC,MC,6200,800/1,Bet 365,Further details,MC
Greg Chalmers,-,MC^^,MC,-,70,-,-,-,-,-,-,-,-,-,MC,37,69,-,25,-,-,68,MC,6200,800/1,Bet 365,Further details,MC
Brandt Snedeker,-,-,-,-,-,-,-,41,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,6200,400/1,Bet 365,Further details,MC
Jason Dufner,MC,MC^^,-,MC,MC,-,-,MC,52,-,MC,MC,-,-,-,-,-,-,-,-,MC,18,MC,6200,600/1,Bet 365,Further details,31
Derek Ernst,-,MC^^,60,-,MC,-,-,-,MC,-,-,-,-,-,MC,63,MC,34,-,-,-,-,51,6100,1500/1,Bet 365,Further details,MC
Geoff Ogilvy,-,MC^^,39,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,16,MC,-,-,-,-,6100,1000/1,Bet 365,Further details,42
Jim Herman,67,MC^^,-,MC,70,-,-,-,MC,-,MC,-,-,-,10,MC,MC,-,-,-,MC,28,-,6100,600/1,Bet 365,Further details,63
Trevor Werbylo,-,MC^^,30,-,MC,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,Further details,MC
Tyson Alexander,-,MC^^,MC,MC,MC,-,MC,-,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6100,800/1,Bet 365,Further details,MC
