Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Nate Lashley,MC,MC,13,-,21,39,-,MC,38^^,MC,-,-,-,-,-,-,-,-,-,69,MC,32,MC,MC,6800,Further details,140/1,Bet 365,Further details
Seonghyeon Kim,67,MC,MC,61,45,14,-,36,MC^^,4,50,63,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,125/1,Bet 365,Further details
Alex Smalley,MC,-,MC,MC,MC,MC,-,6,MC^^,13,20,MC,-,-,-,-,-,-,-,-,-,-,27,40,6700,Further details,125/1,Bet 365,Further details
Victor Perez,16,3,-,MC,17,45,-,43,MC^^,-,46,MC,-,-,-,-,-,-,-,-,MC,-,-,-,6700,Further details,125/1,Bet 365,Further details
Gary Woodland,MC,-,72,MC,21,-,MC,64,MC^^,-,38,60,-,-,-,-,-,-,-,-,9,14,MC,-,6600,Further details,150/1,Bet 365,Further details
Chesson Hadley,35,-,MC,MC,MC,MC,-,-,8^^,MC,10,-,-,-,121,24,MC,-,20,31,23,-,-,-,6600,Further details,150/1,Bet 365,Further details
Charley Hoffman,-,-,MC,MC,-,69,-,4,11^^,-,-,MC,-,18,51,10,42,24,52,13,MC,3,66,-,6600,Further details,150/1,Bet 365,Further details
Michael Kim,MC,23,MC,33,64,MC,-,14,11^^,MC,20,-,-,-,-,-,MC,41,-,MC,-,-,-,6,6500,Further details,150/1,Bet 365,Further details
C.T. Pan,28,51,42,-,-,51,-,-,28^^,WD,MC,MC,-,-,-,-,-,MC,20,3,MC,32,52,-,6500,Further details,150/1,Bet 365,Further details
Kyounghoon Lee,4,-,MC,9,31,MC,-,40,11^^,59,-,WD,-,-,-,-,-,-,-,64,MC,-,MC,57,6500,Further details,150/1,Bet 365,Further details
Adam Svensson,MC,MC,MC,49,57,51,-,44,-,-,47,43,-,-,-,-,-,-,-,-,-,-,40,-,6400,Further details,140/1,Bet 365,Further details
Harry Hall,MC,49,MC,67,28,58,-,-,28^^,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,3,6400,Further details,225/1,Bet 365,Further details
Justin Lower,MC,36,MC,WD,28,25,-,4,28^^,24,MC,-,-,-,-,-,-,-,-,-,-,-,-,57,6400,Further details,175/1,Bet 365,Further details
Alejandro Tosti,MC,MC,-,75,2,MC,-,33,MC^^,MC,63,73,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,150/1,Bet 365,Further details
Andrew Novak,9,-,MC,17,53,58,-,-,23^^,30,54,-,-,-,-,-,-,-,-,-,-,-,-,40,6300,Further details,150/1,Bet 365,Further details
Chan Kim,28,61,68,67,53,14,-,6,28^^,MC,40,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,150/1,Bet 365,Further details
Matthias Schmid,MC,10,26,17,21,69,-,11,MC^^,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,160/1,Bet 365,Further details
J.J Spaun,-,-,64,MC,36,51,-,-,MC^^,MC,26,-,-,-,-,-,-,WD,MC,-,-,-,WD,63,6200,Further details,175/1,Bet 365,Further details
Jorge Campillo,53,MC,-,49,MC,MC,-,18,39^^,24,4,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,175/1,Bet 365,Further details
