am,country,datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,player_name,primary_tour
0,HKG,307,24298,-0.600381095587324,410,Taichi Kho,ASA
0,SCO,308,9586,-0.603761453565532,302,Martin Laird,PGA
0,USA,309,29197,-0.605847769726782,501,Michael Brennan,PTA
0,KOR,310,16162,-0.606097341423203,368,Seung-taek Lee,KFT
0,USA,311,13127,-0.607581133281071,291,Kevin Tway,PGA
0,PAR,312,9842,-0.611011413463194,314,Fabrizio Zanotti,EURO
0,DEN,313,15680,-0.612547874114044,258,Jeff Winther,EURO
0,USA,314,14140,-0.617936562906359,188,Harry Higgs,PGA
0,ESP,315,19635,-0.625151069736459,264,Ivan Cantero Gutierrez,EURO
0,SWE,316,21875,-0.625229693270443,212,Tim Widing,KFT
0,NZL,317,24369,-0.625870306050906,334,Kazuma Kobori,EURO
1,USA,318,26953,-0.628536546042068,501,Ian Gilligan,AM
0,USA,319,23610,-0.631776685930289,303,Sean Crocker,EURO
0,RSA,320,11955,-0.632539729046191,287,Dylan Frittelli,EURO
0,FRA,321,26213,-0.632819214839595,341,Jeong Weon Ko,EURO
1,RSA,322,27947,-0.635882535837557,501,Christian Maas,AM
0,GER,323,6950,-0.639667596149209,225,Marcel Siem,EURO
0,AUT,324,21677,-0.6411947804229,346,Maximilian Steinlechner,CHA
0,JPN,325,20448,-0.643411287431182,248,Yuto Katsuragawa,EURO
0,USA,326,23542,-0.643599948373958,432,Cameron Champ,PGA
1,USA,327,31188,-0.646044106886961,501,Brendan Valdes,AM
1,USA,328,31955,-0.650638642161134,501,Jackson Van Paris,AM
0,JPN,329,28268,-0.658960988996094,390,Kota Kaneko,JPN
0,USA,330,13305,-0.669526059959856,360,Kevin Chappell,PGA
0,SWE,331,25475,-0.669580924043958,436,Pontus Nyholm,KFT
0,USA,332,15852,-0.670333888638124,473,Kelly Kraft,PGA
0,SWE,333,5994,-0.673364949534926,501,Henrik Stenson,LIV
0,ITA,334,7655,-0.676841253018802,473,Francesco Molinari,PGA
0,RSA,335,25889,-0.679858054255372,310,Wilco Nienaber,EURO
0,JPN,336,19681,-0.680873759198525,327,Taiga Semikawa,JPN
0,CHN,337,16757,-0.684371362563686,497,Zecheng Dou,KFT
0,RSA,338,26947,-0.684711644764809,316,Casey Jarvis,EURO
0,RSA,339,18174,-0.684993748816786,419,JC Ritchie,CHA
0,USA,340,30767,-0.686247254155536,423,Nick Gabrelcik,KFT
0,USA,341,16433,-0.686354218919599,315,Matt NeSmith,PGA
0,RSA,342,25890,-0.688128583622969,469,Yurav Premlall,AFR
0,NOR,343,17747,-0.697907341752141,358,Andreas Halvorsen,CHA
0,TPE,344,16563,-0.701818280167979,270,Chieh-Po Lee,ASA
1,USA,345,32064,-0.70237911475425,501,Miles Russell,AM
0,USA,346,27820,-0.702946411827076,233,John Pak,PGA
0,USA,347,18059,-0.704134907673406,496,Julian Suri,KFT
0,USA,348,25919,-0.704287700260891,501,Matthew Wolff,LIV
0,USA,349,25213,-0.705835460646479,367,Brandon Wu,PGA
0,USA,350,30892,-0.708563096429523,443,Matthew Riedel,PGA
0,USA,351,24956,-0.710775337146728,455,Chandler Blanchet,KFT
0,GER,352,19898,-0.711152068415141,240,Yannik Paul,EURO
0,USA,353,31251,-0.716843670675046,323,Trey Winstead,KFT
1,USA,354,32593,-0.717668217832178,501,Tommy Morrison,AM
0,USA,355,26660,-0.71772942789589,349,Will Gordon,PGA
0,CAN,356,15596,-0.723138747447359,340,Aaron Cockerill,EURO
0,DEN,357,25611,-0.723909545186151,501,Jacob Skov Olesen,EURO
0,USA,358,32312,-0.724137550820947,359,Cole Sherwood,KFT
0,FRA,359,12213,-0.727040664178787,395,Benjamin Hebert,EURO
0,IND,360,17081,-0.730385585307502,275,Shubhankar Sharma,EURO
0,USA,361,20353,-0.730433655043244,468,Tom Whitney,KFT
0,USA,362,18662,-0.731087454110465,269,Ollie Schniederjans,KFT
0,FRA,363,28157,-0.731598076226749,352,Tom Vaillant,EURO
0,ESP,364,24127,-0.731911527069787,202,Angel Hidalgo,EURO
0,ENG,365,19948,-0.733265502636637,501,Ben Taylor,PGA
0,ENG,366,16497,-0.73589653041021,152,Joe Dean,EURO
0,ARG,367,8571,-0.735967686869139,478,Fabian Gomez,KFT
0,USA,368,30621,-0.739861373733556,374,Joe Weiler,KFT
0,AUS,369,19224,-0.746392608545827,208,David Micheluzzi,EURO
0,JPN,370,15056,-0.753139109947751,425,Mikumu Horikawa,JPN
0,SWE,371,22535,-0.75443774727981,286,Vincent Norrman,PGA
0,ESP,372,9133,-0.755050983226917,250,Pablo Larrazabal,EURO
0,USA,373,22986,-0.762054605906131,491,Shad Tuten,KFT
0,USA,374,8085,-0.76320333962092,305,Josh Teater,KFT
0,GER,375,22231,-0.766379341493855,424,Nicolai Von Dellingshausen,EURO
0,USA,376,17280,-0.768866095534398,501,T.J. Vogel,KFT
0,ARG,377,16796,-0.768884943995252,501,Augusto Nunez,KFT
0,JPN,378,14209,-0.771065721075823,463,Jinichiro Kozuma,ASA
0,AUT,379,13089,-0.771271290046139,398,Lukas Nemecz,EURO
0,SWE,380,18514,-0.771336068501774,279,Marcus Kinhult,EURO
0,ENG,381,12426,-0.771996588447739,132,Paul Waring,EURO
0,USA,382,27780,-0.784478240104175,285,Trace Crowe,PGA
0,USA,383,27420,-0.787012386546908,210,Taylor Dickson,KFT
0,USA,384,7961,-0.78848204853995,384,Chez Reavie,PGA
0,KOR,385,16160,-0.789322851975425,363,Younghan Song,JPN
0,ENG,386,29971,-0.790499818493721,201,Dan Bradbury,EURO
0,USA,387,23599,-0.798153172345891,268,Kyle Westmoreland,KFT
0,COL,388,9171,-0.799230164240062,246,Camilo Villegas,PGA
0,FIN,389,13139,-0.801036331421595,387,Tapio Pulkkanen,EURO
0,USA,390,21880,-0.801462459430637,397,Trevor Cone,KFT
0,SCO,391,23708,-0.801959879364101,442,Sandy Scott,KFT
0,USA,392,24354,-0.802231178554401,378,Norman Xiong,PGA
0,ITA,393,20844,-0.804779760164588,402,Stefano Mazzoli,ASA
0,IRL,394,5716,-0.805413933422351,430,Padraig Harrington,CHAMP
0,RSA,395,26000,-0.805846287164118,388,Ian Snyman,ASA
