,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
Hideki Matsuyama,23,71.16,19,16,MC,35,32,16,21,MC,22,17,13,1,23,26,-,14,60,4,68,16,29,32,13,38,8600,45/1,Bet 365,Further details
Tony Finau,24,71.26,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,MC,55,8300,55/1,Bet 365,Further details
Shane Lowry,23,71.27,-,MC,MC,12,MC,8,28,1,66,43,25,21,4,65,12,3,23,MC,21,16,12,20,MC,43,8400,80/1,Bet 365,Further details
Patrick Cantlay,24,71.28,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,14,33,22,10000,33/1,Bet 365,Further details
Chris Kirk,10,71.31,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,29,MC,MC,16,6900,175/1,Bet 365,Further details
Cameron Young,11,71.32,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,MC,32,8,9,9000,40/1,Bet 365,Further details
Matthew Fitzpatrick,24,71.36,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,MC,17,41,22,8900,55/1,Bet 365,Further details
MinWoo Lee,10,71.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,5,41,22,7700,66/1,Bet 365,Further details
Nate Lashley,4,71.42,-,-,-,-,-,-,28,MC,37,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Justin Thomas,23,71.46,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,65,MC,MC,MC,9300,33/1,Bet 365,Further details
Bryson DeChambeau,23,71.48,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,20,60,6,9600,25/1,Bet 365,Further details
Andrew Svoboda,1,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5200,2500/1,Bet 365,Further details
Francesco Molinari,20,71.50,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,MC,MC,MC,-,5500,600/1,Bet 365,Further details
Vincent Norrman,1,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,5300,500/1,Bet 365,Further details
Tom Kim,9,71.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,30,7800,110/1,Bet 365,Further details
Jason Day,20,71.67,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,MC,MC,2,30,7900,55/1,Bet 365,Further details
Adam Scott,24,71.70,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,29,MC,33,22,7300,110/1,Bet 365,Further details
Jordan L Smith,7,71.70,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,47,-,MC,20,41,-,5500,300/1,Bet 365,Further details
Charley Hoffman,11,71.73,12,20,17,MC,29,54,-,51,-,-,-,-,17,57,MC,-,-,-,-,-,-,49,-,-,5400,500/1,Bet 365,Further details
Tyrrell Hatton,24,71.73,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,27,20,9,8200,50/1,Bet 365,Further details
Patrick Rodgers,5,71.80,-,41,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,31,-,-,29,32,-,-,5600,300/1,Bet 365,Further details
Corey Conners,19,71.83,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,12,MC,52,38,7600,80/1,Bet 365,Further details
Russell Henley,17,71.84,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,14,MC,38,7300,90/1,Bet 365,Further details
Andrew Putnam,11,71.86,-,-,-,59,-,78,43,32,MC,WD,MC,-,-,-,-,-,-,31,-,-,MC,43,55,-,5600,300/1,Bet 365,Further details
Austin Eckroat,3,71.88,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,MC,5700,300/1,Bet 365,Further details
Sahith Theegala,7,71.88,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,40,27,MC,45,8100,60/1,Bet 365,Further details
Talor Gooch,10,71.88,-,-,-,-,-,-,-,-,MC,-,-,-,44,-,33,14,20,MC,34,34,MC,-,MC,-,7600,80/1,Bet 365,Further details
Brian Harman,21,71.88,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,MC,43,1,MC,7500,110/1,Bet 365,Further details
Harris English,14,71.94,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,MC,8,MC,22,6500,150/1,Bet 365,Further details
Denny McCarthy,8,71.97,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,20,MC,45,6300,150/1,Bet 365,Further details
Gary Woodland,24,71.97,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,MC,49,55,MC,6000,350/1,Bet 365,Further details
Matt Wallace,16,71.98,-,MC,MC,19,MC,3,12,51,77,43,46,34,55,MC,40,-,-,-,-,-,65,-,MC,-,5700,350/1,Bet 365,Further details
Christopher Gotterup,1,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,-,-,-,-,-,-,-,250/1,Bet 365,Further details
Keith Mitchell,11,72.00,-,-,-,-,43,MC,MC,MC,43,-,-,-,-,-,MC,-,34,-,MC,53,58,20,-,-,6600,150/1,Bet 365,Further details
Ryan Fox,16,72.04,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,23,43,52,38,6400,200/1,Bet 365,Further details
Dean Burmester,7,72.08,-,56,-,-,-,-,MC,-,-,-,-,-,59,-,40,-,MC,-,11,-,54,-,-,-,7000,110/1,Bet 365,Further details
Tiger Woods,16,72.10,32,MC,6,2,1,MC,21,MC,37,MC,38,-,-,-,-,47,WD,-,MC,WD,-,-,-,60,6800,200/1,Bet 365,Further details
Keegan Bradley,19,72.12,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,23,29,MC,MC,22,7100,175/1,Bet 365,Further details
Lucas Glover,11,72.15,-,MC,-,-,-,16,MC,20,MC,17,MC,-,-,-,MC,30,23,-,-,-,-,-,-,20,6100,200/1,Bet 365,Further details
Victor Perez,12,72.15,-,-,-,-,-,-,-,-,22,MC,46,MC,MC,MC,MC,-,-,MC,34,-,12,MC,41,-,5700,300/1,Bet 365,Further details
Robert MacIntyre,12,72.15,-,-,-,-,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,MC,-,71,-,5900,225/1,Bet 365,Further details
Wyndham Clark,9,72.15,-,-,-,-,-,-,-,-,MC,-,-,-,75,MC,-,-,-,MC,76,-,MC,1,33,MC,9500,35/1,Bet 365,Further details
Joaquin Niemann,19,72.17,MC,-,-,71,-,MC,-,MC,MC,23,-,40,30,31,59,35,23,47,53,16,MC,32,MC,22,9400,35/1,Bet 365,Further details
Emiliano Grillo,15,72.17,-,MC,MC,31,62,23,58,MC,66,-,-,-,38,-,12,-,-,-,MC,-,MC,MC,6,MC,5600,350/1,Bet 365,Further details
Sepp Straka,11,72.18,-,-,-,-,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,46,7,MC,2,16,7500,80/1,Bet 365,Further details
Thriston Lawrence,4,72.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-,62,MC,74,-,5500,500/1,Bet 365,Further details
Thomas Detry,7,72.23,-,-,-,-,-,-,-,-,-,49,-,-,MC,MC,MC,-,-,-,34,-,40,-,13,-,6200,200/1,Bet 365,Further details
Billy Horschel,21,72.25,MC,-,-,35,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,52,MC,43,MC,-,6200,150/1,Bet 365,Further details
Taylor Pendrith,4,72.25,-,-,-,-,-,-,-,-,-,23,-,-,-,MC,-,-,-,-,-,-,29,MC,-,-,6000,225/1,Bet 365,Further details
Siwoo Kim,23,72.26,24,MC,67,MC,21,MC,MC,MC,13,MC,34,12,MC,40,-,39,60,MC,15,29,MC,39,MC,30,7700,90/1,Bet 365,Further details
Alexander Noren,18,72.30,MC,25,17,MC,62,54,MC,11,22,17,-,-,55,-,MC,-,MC,MC,-,MC,MC,MC,23,-,7200,110/1,Bet 365,Further details
Sungjae Im,18,72.30,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,MC,20,MC,7900,60/1,Bet 365,Further details
Nicolai Hojgaard,6,72.30,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,53,-,50,-,23,16,7400,150/1,Bet 365,Further details
Beau Hossler,6,72.32,-,-,75,MC,-,36,-,-,-,-,-,-,-,-,-,-,69,53,-,-,40,-,-,-,5800,275/1,Bet 365,Further details
Andy Ogletree,2,72.33,-,-,-,-,-,-,-,-,-,MC,34,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,500/1,Bet 365,Further details
Sam Burns,13,72.33,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,32,MC,MC,8500,75/1,Bet 365,Further details
Brendon Todd,10,72.36,-,-,-,-,-,-,MC,-,17,23,MC,46,MC,MC,MC,-,-,-,-,-,MC,-,49,-,5700,275/1,Bet 365,Further details
Aaron Rai,3,72.38,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,19,-,-,-,MC,-,-,-,-,-,6700,150/1,Bet 365,Further details
Adrian Otaegui,6,72.38,-,-,-,65,-,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,55,-,5700,300/1,Bet 365,Further details
Luke List,13,72.39,-,MC,39,MC,-,6,MC,MC,51,-,-,-,-,-,-,MC,41,MC,MC,-,-,MC,-,38,5600,300/1,Bet 365,Further details
Eric Cole,4,72.43,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,15,39,-,52,6400,175/1,Bet 365,Further details
Christiaan Bezuidenhout,13,72.43,-,-,-,-,-,-,-,MC,MC,55,38,40,30,31,53,44,MC,-,68,-,MC,-,49,-,6600,125/1,Bet 365,Further details
Mackenzie Hughes,14,72.43,-,MC,-,-,-,-,-,-,58,MC,-,40,MC,15,6,50,MC,24,MC,29,MC,49,-,-,5800,175/1,Bet 365,Further details
Kurt Kitayama,13,72.45,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,MC,60,35,6500,175/1,Bet 365,Further details
Tom Hoge,12,72.45,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,MC,MC,-,6400,225/1,Bet 365,Further details
Cameron Davis,7,72.46,-,-,39,-,-,-,-,-,-,-,-,-,59,-,-,46,48,-,-,-,4,MC,-,12,6600,125/1,Bet 365,Further details
Adam Hadwin,17,72.50,24,MC,35,MC,-,29,-,57,58,54,MC,-,64,40,MC,-,71,7,-,-,40,59,-,53,6300,200/1,Bet 365,Further details
An Byeong-Hun,1,72.50,-,-,-,-,-,-,-,32,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,23,16,7800,66/1,Bet 365,Further details
Max Homa,17,72.54,-,-,-,-,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,43,55,MC,10,3,9700,28/1,Bet 365,Further details
Padraig Harrington,12,72.56,-,-,MC,MC,-,MC,-,MC,-,-,-,-,4,-,72,MC,MC,-,MC,-,50,27,64,-,5400,600/1,Bet 365,Further details
Erik van Rooyen,14,72.59,-,-,17,-,-,8,43,20,51,23,WD,-,MC,MC,MC,MC,MC,MC,-,-,-,-,-,55,5700,275/1,Bet 365,Further details
Phil Mickelson,22,72.64,36,48,24,MC,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,2,58,MC,MC,43,6100,250/1,Bet 365,Further details
Lucas Herbert,14,72.64,-,MC,51,-,-,71,-,-,MC,31,-,-,71,-,MC,MC,13,MC,15,-,40,MC,MC,-,6000,200/1,Bet 365,Further details
Adrian Meronk,7,72.65,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,MC,40,MC,23,MC,6700,175/1,Bet 365,Further details
Adam Schenk,6,72.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,MC,12,7000,150/1,Bet 365,Further details
Thorbjorn Olesen,11,72.74,-,MC,12,56,21,64,MC,57,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,MC,58,5500,275/1,Bet 365,Further details
Sebastian Soderberg,1,72.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,5700,300/1,Bet 365,Further details
Jason Dufner,9,72.83,MC,25,51,MC,-,MC,35,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,5200,2000/1,Bet 365,Further details
JT Poston,12,72.84,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,40,MC,41,30,6500,150/1,Bet 365,Further details
Martin Kaymer,14,72.89,48,MC,MC,42,51,MC,35,-,MC,MC,-,-,MC,26,MC,-,MC,-,-,-,-,MC,-,-,5400,600/1,Bet 365,Further details
Taylor Moore,5,73.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,72,MC,MC,20,6200,200/1,Bet 365,Further details
Jimmy Walker,16,73.02,20,56,MC,42,36,23,MC,MC,MC,MC,60,MC,64,70,MC,-,-,-,-,-,MC,-,-,-,5300,2500/1,Bet 365,Further details
Matthieu Pavon,4,73.08,-,25,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,12,6800,200/1,Bet 365,Further details
Taylor Montgomery,4,73.08,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,MC,-,-,65,MC,-,-,5300,400/1,Bet 365,Further details
Nick Taylor,8,73.10,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,MC,MC,6100,225/1,Bet 365,Further details
KyoungHoon Lee,11,73.17,-,-,-,-,-,-,MC,-,-,-,-,-,MC,MC,-,MC,41,37,MC,23,29,MC,MC,-,5600,300/1,Bet 365,Further details
Luke Donald,2,73.17,-,-,-,-,-,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5200,1500/1,Bet 365,Further details
Benjamin Griffin,2,73.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,5700,300/1,Bet 365,Further details
C.T. Pan,7,73.25,-,-,-,-,-,MC,MC,MC,MC,-,7,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Adam Svensson,3,73.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,40,60,-,-,5500,400/1,Bet 365,Further details
Mark Hubbard,3,73.30,-,-,-,-,-,-,-,-,51,MC,-,-,-,-,-,-,-,-,-,-,75,-,-,-,5600,350/1,Bet 365,Further details
Stephan Jaeger,3,73.40,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,50,-,-,MC,7100,110/1,Bet 365,Further details
Akshay Bhatia,2,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,35,7200,125/1,Bet 365,Further details
Alexander Bjork,6,73.50,-,-,MC,MC,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,41,-,5400,400/1,Bet 365,Further details
Camilo Villegas,1,73.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,5300,750/1,Bet 365,Further details
Matt Dobyns,1,73.50,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Keita Nakajima,4,74.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,MC,-,-,-,MC,-,5900,300/1,Bet 365,Further details
Rich Beem,5,74.25,-,-,-,MC,-,80,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Takumi Kanaya,9,74.35,-,-,-,-,58,-,-,MC,-,MC,-,-,MC,-,MC,MC,MC,-,MC,-,-,-,MC,-,5600,400/1,Bet 365,Further details
Grayson Murray,2,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,-,-,-,-,-,51,5300,600/1,Bet 365,Further details
Michael Block,4,74.50,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,15,-,-,-,5200,1500/1,Bet 365,Further details
Lee Hodges,4,74.60,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,55,-,MC,MC,5500,400/1,Bet 365,Further details
Maverick McNealy,3,74.63,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,75,-,-,-,MC,-,-,-,5900,275/1,Bet 365,Further details
Sam Ryder,2,74.75,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,-,-,-,TBC,Bet 365,Further details
Doug Ghim,2,74.83,50,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,300/1,Bet 365,Further details
Brad Marek,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,-,-,-,-,5100,2500/1,Bet 365,Further details
Sami Valimaki,3,75.13,-,-,-,-,-,-,-,-,-,MC,-,-,MC,-,-,-,-,-,-,-,-,-,68,-,5300,500/1,Bet 365,Further details
Nick Dunlap,3,75.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,5800,250/1,Bet 365,Further details
Jake Knapp,1,75.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,6300,175/1,Bet 365,Further details
Rasmus Hojgaard,4,75.30,-,-,-,-,-,-,-,-,-,MC,-,-,79,-,-,-,-,-,-,-,MC,-,MC,-,5700,350/1,Bet 365,Further details
Y.E. Yang,5,75.30,-,-,-,MC,-,MC,-,-,-,-,-,-,DQ,-,-,-,MC,-,-,-,MC,-,-,-,5200,2500/1,Bet 365,Further details
Peter Malnati,3,75.83,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,5400,500/1,Bet 365,Further details
Braden Shattuck,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5000,2500/1,Bet 365,Further details
Jeremy Wells,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5000,4000/1,Bet 365,Further details
Jesse Mueller,2,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Kyle Mendoza,1,76.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
John Daly,6,76.17,-,-,-,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,-,-,-,MC,-,5000,4000/1,Bet 365,Further details
Shaun Micheel,6,76.83,-,-,-,MC,-,MC,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,MC,-,-,-,5100,4000/1,Bet 365,Further details
Zac Blair,1,77.50,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1500/1,Bet 365,Further details
Wyatt Worthington II,2,77.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,5000,4000/1,Bet 365,Further details
John Somers,1,78.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5000,4000/1,Bet 365,Further details
Ryo Hisatsune,1,78.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5600,400/1,Bet 365,Further details
Jared Jones,1,78.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Josh Speight,1,78.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5000,4000/1,Bet 365,Further details
Tyler Collet,2,80.00,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,-,-,-,-,-,-,5200,4000/1,Bet 365,Further details
Zac Oakley,1,81.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Larkin Gross,1,82.00,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Alejandro Tosti,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,500/1,Bet 365,Further details
Ben Kohles,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,500/1,Bet 365,Further details
Ben Polland,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,4000/1,Bet 365,Further details
Carl Yuan,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TBC,Bet 365,Further details
Evan Bowser,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,4000/1,Bet 365,Further details
Jeff Kellen,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Jesper Svensson,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,500/1,Bet 365,Further details
Josh Bevell,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,4000/1,Bet 365,Further details
Kazuma Kobori,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,600/1,Bet 365,Further details
Preston Cole,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Ryan Van Velzen,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,600/1,Bet 365,Further details
Seonghyeon Kim,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225/1,Bet 365,Further details
Tim Widing,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,400/1,Bet 365,Further details
Tracy Phillips,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
