Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer,2024 Result
Alvaro Ortiz Becerra,-,-,1^,-,-,-,-,MC^,MC^,36^,MC^,-,-,-,MC,-,-,-,21,MC,1,42,MC,5200,500/1,Bet 365,Further details,13
Benjamin Taylor,-,-,-,-,-,-,MC,MC,64,-,MC,-,-,-,-,-,-,-,-,-,-,-,8,5100,600/1,Bet 365,Further details,MC
Sebastian Vazquez,-,-,MC^,-,-,-,-,29^,-,-,-,-,-,-,15,19,12,1,-,9,-,-,55,5100,600/1,Bet 365,Further details,MC
Matt Atkins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,600/1,Bet 365,Further details,MC
Rodolfo Cazaubon,-,-,20^,-,-,-,-,32^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,750/1,Bet 365,Further details,MC
Ryan Brehm,-,-,-,-,-,-,MC,MC,20,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5100,600/1,Bet 365,Further details,MC
Raul Pereda,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,MC,MC,42,19,19,-,60,5000,1500/1,Bet 365,Further details,MC
Austin Wylie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details,MC
Ben Sigel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details,MC
Jose Antonio Safa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,5000,2500/1,Bet 365,Further details,MC
Renato Naula,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details,MC
J.B. Holmes,-,-,-,-,-,-,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,5000,2000/1,Bet 365,Further details,MC
Austin Smotherman,-,-,-,-,-,-,-,-,4^,-,MC^,-,-,-,-,-,-,-,1,-,-,67,5,-,TBC,Bet 365,Further details,52
Jimmy Walker,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,TBC,Bet 365,Further details,NR
Adam Long,-,-,-,-,-,-,-,MC,MC,45^,59^,-,-,23,-,-,-,-,-,-,-,15,18,-,TBC,Bet 365,Further details,NR
Marty Dou Zecheng,-,-,-,-,-,-,-,-,-,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,49,-,TBC,Bet 365,Further details,MC
Kramer Hickok,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,TBC,Bet 365,Further details,NR
Russell Knox,-,-,-,-,-,-,-,-,27^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,MC,-,-,TBC,Bet 365,Further details,NR
Harry Higgs,-,-,-,-,-,-,-,14^,16^,MC^,MC^,-,-,-,-,-,MC,-,3,-,-,-,MC,-,TBC,Bet 365,Further details,NR
Matthias Schwab,-,52,11,-,-,-,-,MC,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,TBC,Bet 365,Further details,23
