Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Jake Knapp,MC,-,-,MC,MC,48,31,52,-,24,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Rico Hoey,-,-,MC,-,MC,-,6,26,2,8,67,-,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details
Kyounghoon Lee,WD,32,MC,-,-,-,MC,MC,WD,WD,9,-,-,-,-,-,-,-,-,MC,MC,24,61,MC,7000,Further details,125/1,Bet 365,Further details
Thorbjorn Olesen,53,-,27,-,-,-,MC,61,39,43,-,14,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,110/1,Bet 365,Further details
Adam Schenk,MC,WD,-,MC,MC,55,MC,MC,-,MC,59,-,-,-,-,-,-,-,MC,MC,51,MC,MC,64,6900,Further details,125/1,Bet 365,Further details
Ben Kohles,26,MC,-,-,56,-,20,52,46,-,24,-,-,MC,-,-,-,-,-,-,-,-,54,-,6900,Further details,110/1,Bet 365,Further details
Benjamin Silverman,-,32,35,-,-,-,17,18,31,40,53,-,-,-,-,-,-,-,MC,MC,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Chan Kim,-,MC,MC,-,-,-,MC,12,10,29,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,90/1,Bet 365,Further details
Hayden Springer,-,MC,MC,-,54^,-,10,7,37,MC,59,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,140/1,Bet 365,Further details
Pierceson Coody,-,5,35,-,-,-,63,30,2,-,72,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,150/1,Bet 365,Further details
Beau Hossler,MC,MC,14,-,MC,-,31,61,-,MC,MC,-,-,-,-,-,-,-,-,MC,MC,65,-,MC,6900,Further details,110/1,Bet 365,Further details
Nick Taylor,MC,-,MC,27,MC,42,-,-,57,MC,-,30,-,-,-,MC,MC,50,8,MC,-,10,81,-,6800,Further details,125/1,Bet 365,Further details
Kevin Yu,-,61,42,-,-,-,31,20,MC,MC,73,52,-,-,-,-,-,-,-,-,-,-,-,MC,6800,Further details,140/1,Bet 365,Further details
Michael Kim,-,MC,14,-,-,-,52,MC,MC,24,MC,-,-,-,-,-,75,64,-,MC,MC,65,-,5,6800,Further details,125/1,Bet 365,Further details
Chesson Hadley,-,MC,51,-,MC,-,MC,32,MC,24,MC,-,-,MC,MC,MC,57,MC,45,53,51,15,8,33,6800,Further details,175/1,Bet 365,Further details
Daniel Berger,-,45,MC,-,21,-,MC,MC,MC,WD,MC,-,-,-,-,MC,-,-,MC,39,-,-,-,-,6800,Further details,140/1,Bet 365,Further details
Jacob Bridgeman,-,-,14,MC^,-,-,31,MC,MC,MC,19,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Lee Hodges,12,12,-,45,-,31,MC,77,46,-,MC,-,-,-,-,-,-,-,-,-,-,-,47,-,6800,Further details,125/1,Bet 365,Further details
Ryo Hisatsune,18,MC,35,-,-,-,31,52,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,150/1,Bet 365,Further details
Charley Hoffman,MC,50,MC,-,-,-,MC,-,57,8,59,-,-,-,-,-,-,-,-,MC,MC,-,68,12,6700,Further details,175/1,Bet 365,Further details
Matthew NeSmith,-,24,MC,-,-,-,MC,75,2,MC,9,-,-,-,-,-,-,-,-,-,42,MC,36,62,6700,Further details,200/1,Bet 365,Further details
Chandler Phillips,-,12,10,-,-,-,67,44,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details
David Skinns,-,MC,21,-,-,-,17,MC,MC,-,24,-,-,-,-,-,-,-,-,-,-,-,80,-,6700,Further details,175/1,Bet 365,Further details
Jorge Campillo,-,MC,62,12,-,-,MC,MC,26,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,175/1,Bet 365,Further details
Cameron Champ,-,-,MC,-,-,-,MC,MC,MC,50,12,-,-,-,-,-,-,-,-,MC,-,-,MC,MC,6700,Further details,175/1,Bet 365,Further details
Justin Lower,-,MC,MC,-,50,-,25,73,67,-,33,-,-,-,-,-,-,-,-,-,-,-,36,MC,6700,Further details,175/1,Bet 365,Further details
Justin Suh,-,MC,MC,-,-,-,MC,73,MC,11,19,-,-,-,-,-,-,-,-,-,-,-,-,MC,6700,Further details,200/1,Bet 365,Further details
Gary Woodland,60,45,51,-,MC,-,MC,-,67,50,37,-,-,-,-,-,-,-,-,-,-,MC,-,27,6600,Further details,200/1,Bet 365,Further details
Nate Lashley,-,MC,42,-,-,-,25,MC,-,38,MC,-,-,-,-,-,-,-,-,-,77,73,-,51,6600,Further details,200/1,Bet 365,Further details
Joel Dahmen,-,56,10,-,-,-,25,46,MC,MC,MC,-,-,-,-,-,-,42,-,53,-,MC,81,64,6600,Further details,150/1,Bet 365,Further details
Carson Young,-,MC,14,-,-,-,MC,5,MC,MC,71,-,-,-,-,-,-,-,-,-,-,-,-,67,6600,Further details,175/1,Bet 365,Further details
Brice Garnett,35,-,MC,-,-,-,MC,34,MC,-,33,-,-,-,32,MC,20,-,20,6,MC,51,MC,MC,6600,Further details,175/1,Bet 365,Further details
Chad Ramey,-,MC,24,-,-,-,MC,MC,45,13,24,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,Further details,225/1,Bet 365,Further details
Davis Riley,-,1,-,MC,-,48,57,MC,MC,-,46,-,-,-,-,-,-,-,-,-,-,-,13,MC,6600,Further details,175/1,Bet 365,Further details
Seonghyeon Kim,63,61,MC,-,56,-,MC,34,55,17,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6600,Further details,150/1,Bet 365,Further details
Nick Hardy,-,65,42,-,-,-,52,MC,59,MC,46,-,-,-,-,-,-,-,-,-,-,-,MC,27,6500,Further details,250/1,Bet 365,Further details
Sam Ryder,-,MC,MC,-,-,-,MC,34,25,38,MC,-,-,-,-,-,-,-,45,60,MC,35,61,38,6500,Further details,175/1,Bet 365,Further details
Tyler Duncan,-,56,24,-,-,-,MC,MC,MC,MC,53,-,-,-,-,-,-,-,MC,39,13,57,MC,38,6500,Further details,250/1,Bet 365,Further details
Dylan Wu,-,MC,MC,-,-,-,10,MC,31,MC,53,-,-,-,-,-,-,-,-,-,-,-,MC,51,6500,Further details,175/1,Bet 365,Further details
Hayden Buckley,-,5,MC,-,-,-,44,34,59,7,MC,-,-,-,-,-,-,-,-,-,-,-,WD,-,6500,Further details,200/1,Bet 365,Further details
Joseph Bramlett,-,37,51,-,-,-,MC,MC,MC,44,37,-,-,-,-,-,-,-,-,-,MC,MC,68,-,6500,Further details,225/1,Bet 365,Further details
Vincent Whaley,4^,-,33,-,-,-,57,MC,MC,2,-,-,-,-,-,-,-,-,-,-,37,MC,MC,-,6500,Further details,250/1,Bet 365,Further details
Ryan Moore,-,69,60,-,-,-,44,MC,21,MC,MC,-,-,-,-,10,53,24,6,-,MC,MC,21,MC,6500,Further details,225/1,Bet 365,Further details
Zach Johnson,-,45,MC,-,-,-,63,26,-,MC,53,-,-,5,-,-,-,-,-,53,7,MC,36,MC,6500,Further details,250/1,Bet 365,Further details
Alejandro Tosti,73,17,-,-,-,-,WD,MC,MC,53,MC,18,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,200/1,Bet 365,Further details
Troy Merritt,-,45,MC,-,-,-,17,MC,59,MC,MC,-,-,-,51,-,74,28,-,MC,59,-,-,58,6400,Further details,250/1,Bet 365,Further details
