Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
David Micheluzzi,21,-,67,MC,-,MC,-,-,-,MC,17,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,750/1,Bet 365,Further details,MC
Gunner Wiebe,MC,MC,70,22^,MC,MC,-,-,MC,2,69,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,2500/1,Bet 365,Further details,MC
Christo Lamprecht,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,1500/1,Bet 365,Further details,74
Kyle Barker,-,48^,-,20^,2^,7^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,2500/1,Bet 365,Further details,MC
Taichi Kho,5^,MC^,-,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,2500/1,Bet 365,Further details,MC
Tiger Christensen,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,2500/1,Bet 365,Further details,MC
Darren Clarke,23^,24^,9^,-,5^,-,22^,-,5^,32^,-,30^,-,1,MC,21,26,MC,30,MC,MC,MC,MC,MC,5600,2000/1,Bet 365,Further details,MC
Marco Penge,MC^,MC^,MC,DQ^,38^,4^,-,MC^,MC^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,MC,5600,2500/1,Bet 365,Further details,MC
Oliver Farr,MC^,MC^,-,MC^,MC^,-,MC^,MC^,-,2^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,MC,5600,2500/1,Bet 365,Further details,MC
Brandon Robinson Thompson,7^,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1000/1,Bet 365,Further details,59
Graeme Robertson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,4000/1,Bet 365,Further details,MC
Kazuki Yasumori,-,-,12^,29^,3^,24^,42^,-,MC^,30^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,4000/1,Bet 365,Further details,MC
Kensei Hirata,MC^,-,-,MC^,1^,43^,5^,26^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,2500/1,Bet 365,Further details,MC
Martin Rohwer,-,25^,-,8^,17^,3^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,2500/1,Bet 365,Further details,MC
Mateo Fernandez de Oliveira,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,2500/1,Bet 365,Further details,MC
Zack Fischer,MC^,-,-,MC^,MC^,MC^,-,53^,58^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,2000/1,Bet 365,Further details,76
Alex Fitzpatrick,MC^,-,MC,3^,MC,59,42^,-,36^,40^,4^,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,750/1,Bet 365,Further details,17
Connor McKinney,-,-,-,MC^,MC^,19^,MC^,5^,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1500/1,Bet 365,Further details,MC
Michael Stewart,15^,MC^,-,MC^,14^,MC^,MC^,-,25^,MC^,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,4000/1,Bet 365,Further details,52
John Daly,74^,-,65^,-,-,-,-,-,75^,-,-,53^,-,MC,81,-,MC,MC,MC,MC,-,-,-,MC,5500,4000/1,Bet 365,Further details,MC
