Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
An Byeong-Hun,-,-,-,-,12,41,63,37,-,-,21,WD,-,-,-,-,-,MC,-,30,26,MC,-,6700,250/1,Bet 365,Further details,35
Trey Mullinax,5^^,-,-,28,-,-,31,WD,61,62,-,8,-,-,-,-,-,-,-,MC,MC,-,-,6600,300/1,Bet 365,Further details,MC
Adam Svensson,-,-,-,37,41,-,MC,-,MC,9,49,24,-,-,-,-,-,-,-,-,-,-,-,6600,200/1,Bet 365,Further details,13
Justin Suh,-,-,-,-,41,54,20,WD,-,40,5,24,-,-,-,-,-,-,-,-,-,-,-,6600,160/1,Bet 365,Further details,6
Robby Shelton IV,-,-,-,-,MC,6,67,20,-,-,21,39,-,-,-,-,-,-,-,-,-,MC,-,6600,275/1,Bet 365,Further details,MC
Aaron Rai,-,-,-,-,61,MC,52,-,42,29,MC,53,-,-,-,-,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details,19
Davis Thompson,-,-,-,-,54,2,69,-,MC,MC,-,53,-,-,-,-,-,-,-,-,-,-,-,6600,350/1,Bet 365,Further details,68
Beau Hossler,-,-,-,-,-,50,MC,11,14,MC,-,MC,-,-,-,-,-,-,-,46,MC,MC,MC,6600,250/1,Bet 365,Further details,MC
Davis Riley,-,-,-,-,-,65,MC,MC,MC,-,29,8,-,-,-,-,-,-,-,-,-,-,-,6500,125/1,Bet 365,Further details,MC
Adam Schenk,-,-,-,-,67,MC,20,37,23,50,42,31,-,-,-,-,-,-,-,-,-,MC,MC,6500,350/1,Bet 365,Further details,MC
Greyson Sigg,-,-,-,-,48,MC,-,55,57,MC,MC,61,-,-,-,-,-,-,-,-,-,-,-,6500,600/1,Bet 365,Further details,MC
Mackenzie Hughes,-,-,-,21,MC,-,-,-,MC,50,-,61,-,-,-,-,-,-,16,57,-,MC,MC,6500,225/1,Bet 365,Further details,MC
Russell Knox,-,-,-,-,67,54,-,41,MC,MC,MC,-,-,-,-,34,17,19,MC,MC,35,67,6,6500,250/1,Bet 365,Further details,MC
Lanto Griffin,-,-,-,-,-,66^,37,58,-,MC,-,-,-,-,-,-,-,-,-,-,-,35,MC,6500,300/1,Bet 365,Further details,NR
Stephan Jaeger,-,-,-,-,27,36,53,-,MC,40,14,-,-,-,-,-,-,-,-,-,-,-,MC,6500,250/1,Bet 365,Further details,44
