Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,2024 Result
Camilo Villegas,62,-,-,MC,-,-,67,MC,MC,WD,-,MC,-,-,-,MC,-,-,-,-,-,-,-,-,6100,750/1,Bet 365,35
Christo Lamprecht,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,600/1,Bet 365,MC
Jasper Stubbs,-,MC^,MC^,MC^,-,-,69^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,2500/1,Bet 365,MC
Santiago De la Fuente,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1500/1,Bet 365,MC
Zach Johnson,25,-,-,60,-,-,21,-,-,MC,-,MC,-,35,MC,9,MC,MC,36,58,51,MC,MC,34,6100,750/1,Bet 365,MC
Fred Couples,37^,-,-,-,21^,-,-,43^,-,WD^,-,-,-,13,20,MC,-,18,38,MC,MC,MC,MC,50,6000,2500/1,Bet 365,MC
Jose Maria Olazabal,-,-,-,-,-,27^,-,-,-,15^,26^,-,-,50,34,MC,-,MC,MC,MC,MC,50,MC,MC,6000,5000/1,Bet 365,45
Mike Weir,18^,-,-,-,41^,-,-,27^,-,42^,14^,-,-,MC,44,MC,MC,MC,MC,MC,51,MC,MC,MC,6000,2000/1,Bet 365,MC
Neal Shipley,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1500/1,Bet 365,53
Stewart Hagestad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,MC,-,6000,1000/1,Bet 365,MC
Vijay Singh,16^,-,-,-,-,-,-,-,-,27^,39^,-,-,38,37,53,MC,MC,49,MC,WD,MC,MC,MC,6000,3000/1,Bet 365,58
