Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Cody Gribble,21,-,73,-,-,-,-,-,-,MC,-,-,-,-,-,-,1,MC,MC,-,-,MC,30,43,6300,Further details,400/1,Bet 365,Further details
Rafael Campos,MC,MC,MC,30,MC,-,-,-,-,13,-,-,-,-,-,-,-,-,-,61,-,-,-,-,6300,Further details,275/1,Bet 365,Further details
Wilson Furr,MC,MC,MC,-,MC,-,-,-,-,13,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,6300,Further details,225/1,Bet 365,Further details
Adrien Dumont de Chassart,MC,-,MC,40,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,275/1,Bet 365,Further details
Bill Haas,64,MC,MC,-,MC,-,24^,-,-,MC,-,-,-,-,-,-,-,-,14,54,35,MC,-,-,6300,Further details,500/1,Bet 365,Further details
Norman Xiong,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,26,-,-,-,-,-,6300,Further details,275/1,Bet 365,Further details
Carl Yuan,MC,MC,-,56,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6,6200,Further details,225/1,Bet 365,Further details
Callum Tarren,21,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,13,43,6200,Further details,400/1,Bet 365,Further details
Brandt Snedeker,53,MC,MC,-,MC,12,-,-,-,26,-,-,-,-,-,-,-,-,-,45,17,MC,-,65,6200,Further details,300/1,Bet 365,Further details
Benjamin Taylor,6,50,MC,-,52,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,39,73,6200,Further details,600/1,Bet 365,Further details
Tom Whitney,MC,MC,MC,-,MC,-,-,-,-,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,500/1,Bet 365,Further details
Camilo Villegas,MC,MC,-,WD,MC,-,-,-,-,MC,-,-,-,-,-,-,26,-,-,-,23,MC,-,MC,6200,Further details,500/1,Bet 365,Further details
William Gordon,MC,49,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,MC,53,-,30,MC,6200,Further details,300/1,Bet 365,Further details
"Blaine Hale, Jr.",MC,MC,MC,-,MC,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Hunter Logan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,500/1,Bet 365,Further details
Anders Albertson,-,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,5,-,-,-,MC,-,6100,Further details,1000/1,Bet 365,Further details
Paul Barjon,67,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,39,-,-,6100,Further details,1000/1,Bet 365,Further details
Ryan McCormick,31,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,600/1,Bet 365,Further details
Ryan Armour,-,-,-,-,-,65^,-,-,-,-,-,-,-,-,MC,-,MC,1,54,MC,46,MC,13,MC,6100,Further details,750/1,Bet 365,Further details
Ryan Brehm,MC,56,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,18,-,-,MC,-,-,MC,MC,6100,Further details,750/1,Bet 365,Further details
Tyson Alexander,MC,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,Further details,1000/1,Bet 365,Further details
J.B. Holmes,-,-,-,-,MC,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,65,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Josh Teater,MC,MC,MC,-,MC,-,-,-,-,61,-,-,-,-,35,-,-,-,MC,MC,-,-,-,-,6000,Further details,1000/1,Bet 365,Further details
Reed Hughes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,4000/1,Bet 365,Further details
Philip Knowles,-,-,-,MC^,MC^,13^,MC^,-,-,MC,MC^,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,Further details,750/1,Bet 365,Further details
Raul Pereda,MC,MC,MC,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Scott Gutschewski,MC,64,MC,-,21^,30^,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,6000,Further details,750/1,Bet 365,Further details
Tim Wilkinson,-,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,33,MC,-,72,MC,MC,-,-,-,6000,Further details,2500/1,Bet 365,Further details
Erik Barnes,MC,MC,MC,-,-,-,-,-,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,45,-,6000,Further details,2000/1,Bet 365,Further details
Kelly Kraft,MC,MC,33,-,-,-,-,-,-,MC,-,-,-,-,-,33,MC,-,-,-,46,MC,-,16,-,Further details,TBC,Bet 365,Further details
Kevin Chappell,25,17,67,-,-,38,-,-,-,26,-,-,-,-,-,-,-,-,-,-,23,MC,-,28,-,Further details,TBC,Bet 365,Further details
Lanto Griffin,10,40,44,-,-,-,-,-,-,61,-,-,-,-,-,-,-,MC,-,11,-,MC,-,28,-,Further details,TBC,Bet 365,Further details
Austin Cook,MC,MC,MC,-,MC^,WD^,MC^,-,-,MC,-,-,-,-,-,MC,MC,25,-,MC,MC,67,MC,68,-,Further details,TBC,Bet 365,Further details
Ryan Palmer,MC,MC,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,Further details,TBC,Bet 365,Further details
James Hahn,64,-,MC,-,-,-,-,-,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,Further details,TBC,Bet 365,Further details
Scott Piercy,MC,61,37,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,57,MC,19,MC,-,Further details,TBC,Bet 365,Further details
Seung-yul Noh,6,24,WD,-,5^,59^,46^,-,-,12^,MC^,-,-,14,-,20,8,-,-,-,-,MC,-,MC,-,Further details,TBC,Bet 365,Further details
Martin Trainer,MC,MC,MC,-,45,MC^,-,-,-,MC,-,-,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,-,Further details,TBC,Bet 365,Further details
Sean O'Hair,MC,33,MC,-,MC^,-,MC^,-,-,MC,-,-,-,WD,61,-,-,-,MC,-,MC,-,-,MC,-,Further details,TBC,Bet 365,Further details
