Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Benjamin Taylor,-,MC,46,6,50,MC,-,52,-,-,-,-,-,-,-,-,-,-,-,MC,36,-,25,30,6400,Further details,150/1,Bet 365,Further details
David Lipsky,-,WD,61,37,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,22,MC,30,6400,Further details,275/1,Bet 365,Further details
Russell Knox,MC^,26^,MC,37,50^,MC,-,-,-,-,-,-,-,26,68,MC,-,-,MC,-,9,58,25,30,6400,Further details,400/1,Bet 365,Further details
Adrien Dumont de Chassart,-,MC,46,MC,-,MC,40,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Nicholas Lindheim,-,31,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,70,MC,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Norman Xiong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,Further details,275/1,Bet 365,Further details
Wesley Bryan,-,67,MC,MC,MC,67,-,MC,-,-,-,-,-,-,-,-,55,-,MC,-,MC,-,-,MC,6400,Further details,400/1,Bet 365,Further details
Martin Trainer,-,MC,MC,MC,MC,MC,-,45,MC^,-,-,-,-,-,-,-,-,-,60,MC,MC,MC,-,30,6300,Further details,600/1,Bet 365,Further details
Carl Yuan,-,20,MC,MC,MC,-,56,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,68,6300,Further details,275/1,Bet 365,Further details
Bill Haas,-,-,52,64,MC,MC,-,MC,-,24^,-,-,-,-,-,-,20,17,10,-,MC,MC,-,-,6300,Further details,500/1,Bet 365,Further details
Jeffrey Guan,-,10^,-,-,MC^,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,750/1,Bet 365,Further details
Rafael Campos,-,MC,MC,MC,MC,MC,30,MC,-,-,-,-,-,-,-,-,-,-,-,33,MC,-,-,-,6300,Further details,400/1,Bet 365,Further details
Tom Whitney,-,MC,MC,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6300,Further details,500/1,Bet 365,Further details
Sean O'Hair,-,MC^,MC,MC,33,MC,-,MC^,-,MC^,-,-,-,26,WD,26,-,-,MC,-,MC,58,-,MC,6300,Further details,600/1,Bet 365,Further details
William Gordon,MC^,-,MC,MC,49,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,61,-,36,MC,6300,Further details,400/1,Bet 365,Further details
Kevin Kisner,-,MC,MC,64,-,33,-,MC,-,-,-,-,-,33,21,-,-,-,-,-,-,-,-,62,6200,Further details,750/1,Bet 365,Further details
William McGirt,-,-,-,25,-,MC,-,-,-,-,-,-,-,MC,WD,30,-,-,-,-,67,MC,-,64,6200,Further details,600/1,Bet 365,Further details
Anders Albertson,-,MC,MC,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,6200,Further details,1000/1,Bet 365,Further details
Brandt Snedeker,-,MC,MC,53,MC,MC,-,MC,12,-,-,-,-,-,57,17,-,-,2,17,MC,MC,59,-,6200,Further details,250/1,Bet 365,Further details
Danny Willett,29,MC,MC,-,-,-,-,-,MC,-,MC,-,-,-,-,-,-,-,MC,-,-,MC,2,-,6200,Further details,1000/1,Bet 365,Further details
Ryan McCormick,-,31,MC,31,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,600/1,Bet 365,Further details
Wilson Furr,-,MC,72,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,Further details,600/1,Bet 365,Further details
