am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,augusta_fit_score,SG-OTT,SG-APP,SG-ATG,SG-P,SG-TOT,sg_composite_fit_score,course_history_score,recent_form_score,bet365_odds,driving_dist,driving_acc,datagolf_rank,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent,win_live,live_betfair_odds,current_score,current_pos,round,thru,today,live_dg_implied_prob,live_your_implied_prob,live_your_fair_odds,live_value_delta,live_expected_value,live_roi_percent
0,ENG,12294,1.33,Tommy Fleetwood,150,4.7,2.95,2.58,2.3,9.06,46.95,1.188334917906254,0.25,0.1425,0.27,0.195,0.6575,0.29575,1.641,25.75,91.0,-0.36,0.059,12.0,5.635316983581251,0.021299254526091587,0.01098901098901099,0.016395179615436697,60.993537335721605,0.005406168626425708,4.919613450047395,49.196134500473946,1.25e-05,1000.0,1,T30,3,18,3,1.25e-05,0.003946488902500031,253.38979145906572,0.002946488902500031,29.46488902500031,294.6488902500031
0,GER,16394,1.66,Stephan Jaeger,150,11.58,6.16,5.06,4.31,26.44,175.95,0.3496508461992718,0.0166666666666666,0.0233333333333333,0.2433333333333333,-0.38,0.1366666666666666,0.0256666666666666,0.0,29.25,2501.0,6.091,-0.036,41.0,5.595813502573187,0.005683432793407218,0.00039984006397441024,0.010093643950189836,99.07224833120773,0.009693803886215425,242.4420351942478,2424.4203519424777,0.0,1000.0,3,T42,3,18,1,0.0,0.003910135416413474,255.7456183748332,0.0029101354164134743,29.10135416413474,291.0135416413474
0,USA,23465,1.92,Max Greyserman,150,19.85,9.71,7.75,6.4,49.63,372.67,0.1280520095948016,0.0,0.08,0.18,-0.04,0.0,0.0379999999999999,0.0,33.25,2501.0,9.162,-0.054,60.0,5.41191040191896,0.002683339147234819,0.00039984006397441024,0.008636597916747575,115.78633272493325,0.008236757852773165,206.00131389785685,2060.0131389785683,3.625e-05,1000.0,-1,T21,3,18,-3,3.625e-05,0.0038070061289268236,262.67359865845424,0.0028070061289268236,28.07006128926824,280.7006128926824
0,USA,19872,2.31,Davis Riley,150,39.76,17.68,13.77,11.03,112.45,1071.43,-0.2780511174278495,,,,,,0.0,0.0,30.2,501.0,5.413,-0.055,232.0,5.21808977651443,0.0009333320888905481,0.001996007984031936,0.007665726562327776,130.45077878388867,0.00566971857829584,28.40529007726216,284.05290077262157,0.0,1000.0,1,T30,3,18,3,0.0,0.0036461968633857782,274.2583676821613,0.002646196863385778,26.46196863385778,264.61968633857776
0,USA,7334,2.41,Bubba Watson,150,52.94,22.06,16.84,13.11,167.07,1621.62,0.4417576903972585,,,,,,0.0,2.008,33.67,751.0,7.885,0.007,321.0,5.522851538079451,0.00061666728333395,0.0013315579227696406,0.007964971817064832,125.54972233015502,0.006633413894295191,49.81693834615689,498.1693834615688,0.0,940.0,1,T30,3,18,2,0.0,0.0038591524518656263,259.1242539580345,0.0027953226646315835,26.276033047536885,262.76033047536885
0,USA,27364,1.43,Davis Thompson,150,6.99,3.98,3.39,2.96,14.84,86.83,1.0436344849485992,0.34,0.0,0.0,-0.2749999999999999,0.105,0.0955,0.0,34.25,751.0,6.335,0.024,36.0,5.044176896989719,0.011516756881262236,0.0013315579227696406,0.011656049455179842,85.79236076899186,0.010324491532410201,77.5369314084006,775.3693140840061,8.33333333333333e-05,1000.0,-2,T17,3,18,-2,8.33333333333333e-05,0.0035830066846708067,279.0952091377067,0.0025830066846708067,25.830066846708064,258.30066846708064
0,USA,19870,1.43,Denny McCarthy,150,7.02,4.04,3.42,2.99,14.68,78.33,0.1778851341280422,0.0366666666666666,0.0,0.03,0.3566666666666666,0.0,0.0496666666666666,0.625,24.5,2501.0,-4.74,0.016,20.0,4.755660360158942,0.012766500702157539,0.00039984006397441024,0.011752738860763957,85.08654976913165,0.011352898796789548,283.93599890770656,2839.3599890770656,2.5e-05,1000.0,1,T30,3,18,-1,2.5e-05,0.0033405692899504706,299.3501745371151,0.0023405692899504706,23.405692899504707,234.05692899504706
0,USA,14577,1.67,Harris English,150,12.3,6.43,5.31,4.49,29.83,221.4,0.4315984718058121,0.0,0.4133333333333334,0.1766666666666666,0.5633333333333334,0.8466666666666667,0.3673333333333334,1.125,32.67,501.0,1.872,0.021,58.0,4.7119863610278285,0.004516711833785004,0.001996007984031936,0.008391787951639413,119.16411684409171,0.006395779967607477,32.04285763771346,320.4285763771346,0.0,1000.0,0,T25,3,18,1,0.0,0.003292551609062705,303.71581640436955,0.002292551609062705,22.92551609062705,229.25516090627048
0,DEN,23838,1.86,Rasmus Hojgaard,150,18.94,9.12,7.3,6.03,46.96,359.28,0.4002742499537174,,,,,,0.0,0.0,44.0,76.0,14.859,-0.063,98.0,4.699454849990743,0.0027833444667112006,0.013157894736842105,0.007680927946126019,130.1926026404614,-0.005476966790716085,-4.1624947609442255,-41.62494760944225,0.0,1000.0,-1,T21,3,18,3,0.0,0.0032837950797207694,304.5257014286753,0.0022837950797207694,22.837950797207696,228.37950797207696
0,USA,22085,1.21,Collin Morikawa,150,2.89,2.04,1.86,1.72,4.76,18.11,1.7678933551889524,0.2675,1.3525,0.0,-1.085,0.535,0.4845,3.25,6.0,26.0,-1.025,0.108,3.0,8.900428671037789,0.05521811154058531,0.038461538461538464,0.03452578687711663,28.96385833461744,-0.003935751584421832,-1.0232954119496753,-10.232954119496753,0.001745,440.0,-3,T14,3,18,0,0.001745,0.007440771130441252,134.3946726044103,0.0051680438577139795,22.739392973941506,227.39392973941506
