Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Aaron Baddeley,-,-,MC^^,39,-,23,-,21,-,MC,-,-,-,-,MC,41,MC,6700,Further details,225/1,Bet 365,Further details,MC
Scott Piercy,-,MC,MC^^,39,MC,19,-,40,-,57,-,WD,-,-,-,MC,MC,6700,Further details,200/1,Bet 365,Further details,NR
Henrik Norlander,-,-,23^^,MC,47,34,-,MC,-,72,-,-,-,-,12,38,30,6600,Further details,400/1,Bet 365,Further details,81
Tyler Duncan,-,MC,34^^,-,MC,MC,-,MC,-,MC,-,MC,-,MC,53,52,44,6600,Further details,225/1,Bet 365,Further details,47
Austin Smotherman,-,67,MC^^,5,MC,MC,-,21,-,50,-,MC,-,-,-,-,69,6600,Further details,250/1,Bet 365,Further details,MC
Adam Long,-,59,-,18,MC,50,-,MC,MC,57,-,MC,-,MC,-,MC,-,6600,Further details,300/1,Bet 365,Further details,MC
Jimmy Walker,-,25,MC^^,15,14,74,MC,40,-,-,-,MC,-,21,MC,71,-,6600,Further details,200/1,Bet 365,Further details,MC
Lanto Griffin,-,MC,-,66,MC,-,-,-,64,MC,-,MC,-,-,21,25,-,6600,Further details,250/1,Bet 365,Further details,MC
Kevin Tway,-,MC,MC^^,MC,MC,11,-,MC,-,MC,-,52,-,MC,MC,14,MC,6600,Further details,250/1,Bet 365,Further details,47
Lucas Glover,-,MC,-,MC,MC,79,-,-,MC,20,-,MC,-,-,21,41,MC,6600,Further details,225/1,Bet 365,Further details,4
Troy Merritt,-,MC,13^^,-,MC,MC,-,MC,MC,-,-,MC,-,MC,8,2,14,6500,Further details,250/1,Bet 365,Further details,17
Zach Johnson,34,54,MC^^,-,MC,-,58,MC,MC,-,-,29,-,-,-,-,49,6500,Further details,300/1,Bet 365,Further details,70
Matthias Schmid,-,-,26^^,MC,-,MC,-,21,MC,MC,-,18,-,-,-,-,-,6500,Further details,225/1,Bet 365,Further details,MC
Marty Dou Zecheng,-,-,MC^^,49,-,5,-,63,-,MC,-,52,-,-,-,-,-,6500,Further details,300/1,Bet 365,Further details,17
Benjamin Taylor,-,MC,MC^^,8,MC,-,69,MC,MC,-,-,MC,-,-,MC,MC,-,6500,Further details,300/1,Bet 365,Further details,MC
Carl Yuan,-,-,MC^^,55,-,MC,-,-,-,18,-,MC,-,-,-,-,-,6500,Further details,225/1,Bet 365,Further details,14
Brice Garnett,-,-,MC^^,33,-,77,-,-,-,68,-,-,-,17,-,MC,MC,6500,Further details,400/1,Bet 365,Further details,47
Dylan Frittelli,-,WD,26^^,MC,MC,MC,-,MC,-,-,-,-,-,46,-,MC,MC,6500,Further details,300/1,Bet 365,Further details,MC
Harry Higgs,-,-,MC^^,MC,-,MC,-,MC,-,12,-,-,-,-,70,MC,MC,6500,Further details,250/1,Bet 365,Further details,52
Vincent Whaley,-,-,-,-,-,79,9,-,MC,72,-,-,-,-,MC,58,17,6400,Further details,300/1,Bet 365,Further details,40
Peter Malnati,-,MC,-,MC,-,-,-,29,MC,43,-,MC,-,29,MC,MC,73,6400,Further details,250/1,Bet 365,Further details,9
Augusto Nunez,-,-,35^^,69,-,34,MC^,47^,-,MC,-,-,-,-,-,-,-,6400,Further details,250/1,Bet 365,Further details,MC
Harrison Endycott,-,-,MC^^,MC,59,50,-,MC,-,12,-,-,-,-,-,-,-,6400,Further details,400/1,Bet 365,Further details,MC
Erik Van Rooyen,-,MC,26^^,33,MC,MC,-,MC,-,MC,-,MC,-,-,MC,-,-,6400,Further details,250/1,Bet 365,Further details,MC
Nicolas Echavarria,-,MC,-,66,MC,-,MC,-,MC,-,MC,MC,-,-,-,-,-,6400,Further details,300/1,Bet 365,Further details,MC
Jonathan Byrd,-,-,MC^^,55,-,43,-,-,-,12,-,-,-,-,12,-,MC,6400,Further details,400/1,Bet 365,Further details,MC
James Hahn,-,41,-,49,MC,50,-,-,-,57,-,MC,-,-,MC,MC,MC,6400,Further details,350/1,Bet 365,Further details,MC
Kramer Hickok,-,72,MC^^,-,40,MC,-,21,-,MC,-,MC,-,MC,MC,58,MC,6400,Further details,350/1,Bet 365,Further details,MC
