player_name,augusta_fit_score
C.T. Pan,0.19062692988235685
Ewen Ferguson,0.6463402026058536
Erik Van Rooyen,0.26060373236095835
Ugo Coussaud,0.2823041167590765
Brandon Robinson-Thompson,0.1382670218857047
Garrick Higgo,0.16786909602111152
Michael Thorbjornsen,0.40778026701000747
Antoine Rozner,0.5269632761169178
Jayden Schaper,0.1908044895360883
Jhonattan Vegas,0.5160400647057983
Julien Guerrier,0.10740746584605534
Chad Ramey,-0.10553296277131224
Talor Gooch,0.30771174886292585
Thomas Pieters,-0.04592333401276055
Trey Mullinax,0.2983239641170009
Mark Hubbard,0.34347733379787904
Sebastian Soderberg,0.07416905924686712
Frederic Lacroix,0.5817275342046333
Max Homa,-0.05006982816098647
Johannes Veerman,0.40739140543196434
Lanto Griffin,0.398058832235626
