,Events,Av Score,M18,U18,O18,P18,M19,P19,U19,O19,P20,U20,M20,M21,P21,U21,O21,M22,P22,U22,O22,M23,P23,U23,O23,M24,P24,2024 DraftKings,2024 Odds,Bookmaker,New Account Offer
MinWoo Lee,11,71.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,14,MC,27,21,MC,18,5,41,22,26,7300,66/1,Bet 365,Further details
Webb Simpson,20,71.11,20,10,12,19,5,29,16,30,37,8,10,12,30,MC,19,35,20,MC,MC,-,MC,-,-,-,-,6000,350/1,Bet 365,Further details
Cameron Smith,25,71.12,5,MC,78,56,51,64,72,20,43,38,2,10,59,MC,33,3,13,MC,1,34,9,4,33,6,63,8700,40/1,Bet 365,Further details
Tony Finau,25,71.13,10,5,9,42,5,64,MC,3,4,8,38,10,8,MC,15,35,30,MC,28,26,72,32,MC,55,18,8100,55/1,Bet 365,Further details
Cameron Young,12,71.21,-,-,-,-,-,-,MC,-,-,-,-,-,-,MC,-,MC,3,MC,2,7,MC,32,8,9,63,7500,60/1,Bet 365,Further details
Patrick Cantlay,25,71.22,MC,45,12,27,9,3,21,41,43,43,17,MC,23,15,MC,39,MC,14,8,14,9,14,33,22,53,9200,50/1,Bet 365,Further details
Bryson DeChambeau,24,71.22,38,25,51,MC,29,MC,35,MC,4,1,34,46,38,26,33,MC,-,56,8,MC,4,20,60,6,2,10100,18/1,Bet 365,Further details
Tom Kim,10,71.24,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,23,47,16,MC,8,2,30,26,7300,55/1,Bet 365,Further details
Justin Thomas,24,71.28,17,25,MC,6,12,-,MC,11,37,8,4,21,MC,19,40,8,1,37,53,MC,65,MC,MC,MC,8,8900,35/1,Bet 365,Further details
Sahith Theegala,8,71.32,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,34,9,40,27,MC,45,12,7600,50/1,Bet 365,Further details
Aaron Rai,4,71.33,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,19,-,-,-,MC,-,-,-,-,-,39,6400,175/1,Bet 365,Further details
Matthew Fitzpatrick,25,71.35,38,12,MC,MC,21,41,12,20,MC,MC,46,34,23,55,26,14,5,1,21,10,MC,17,41,22,MC,8200,40/1,Bet 365,Further details
Chris Kirk,11,71.44,-,-,-,31,-,-,-,-,-,-,-,-,MC,-,MC,-,5,-,42,23,29,MC,MC,16,MC,6200,250/1,Bet 365,Further details
Thomas Detry,8,71.46,-,-,-,-,-,-,-,-,-,49,-,-,MC,MC,MC,-,-,-,34,-,40,-,13,-,4,6700,150/1,Bet 365,Further details
David Puig,2,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,-,-,MC,5900,250/1,Bet 365,Further details
Dean Burmester,8,71.50,-,56,-,-,-,-,MC,-,-,-,-,-,59,-,40,-,MC,-,11,-,54,-,-,-,12,6800,100/1,Bet 365,Further details
Tim Widing,1,71.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5600,600/1,Bet 365,Further details
An Byeong-Hun,14,71.54,-,67,51,56,-,MC,16,32,22,MC,MC,-,49,-,26,-,-,-,-,-,-,-,23,16,43,7100,80/1,Bet 365,Further details
Jason Day,21,71.54,20,MC,17,19,5,23,21,MC,4,38,MC,MC,44,-,MC,-,55,-,-,39,MC,MC,2,30,43,7400,66/1,Bet 365,Further details
Francesco Molinari,21,71.55,20,25,1,6,5,48,16,11,-,-,MC,52,-,13,MC,MC,55,MC,15,MC,MC,MC,MC,-,MC,5600,750/1,Bet 365,Further details
Russell Henley,18,71.63,15,25,MC,50,-,-,-,-,37,-,-,-,71,13,MC,30,60,MC,62,4,MC,14,MC,38,23,6900,80/1,Bet 365,Further details
Corey Conners,20,71.64,-,-,-,-,46,64,-,MC,MC,MC,10,8,17,MC,15,6,MC,MC,28,MC,12,MC,52,38,26,7200,60/1,Bet 365,Further details
Harris English,15,71.67,-,-,-,-,-,-,58,-,19,4,-,21,64,3,46,-,-,61,MC,43,MC,8,MC,22,18,6700,125/1,Bet 365,Further details
Tyrrell Hatton,25,71.67,44,6,51,10,56,48,21,6,MC,MC,MC,18,38,MC,MC,52,13,56,11,34,15,27,20,9,63,7800,50/1,Bet 365,Further details
Brian Harman,22,71.71,44,36,MC,71,-,MC,-,MC,58,38,-,12,MC,19,19,MC,34,43,6,MC,MC,43,1,MC,26,6900,100/1,Bet 365,Further details
Adam Scott,25,71.72,32,MC,17,3,18,8,7,MC,22,38,34,54,MC,35,46,48,MC,14,15,39,29,MC,33,22,MC,6900,80/1,Bet 365,Further details
Andrew Svoboda,2,71.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,MC,5000,2500/1,Bet 365,Further details
Sam Bennett,3,71.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,16,-,43,-,-,-,5700,750/1,Bet 365,Further details
Robert MacIntyre,13,71.80,-,-,-,-,-,-,-,6,66,56,-,12,49,35,8,23,77,-,34,-,MC,-,71,-,8,7200,80/1,Bet 365,Further details
Lucas Glover,12,71.87,-,MC,-,-,-,16,MC,20,MC,17,MC,-,-,-,MC,30,23,-,-,-,-,-,-,20,43,6400,200/1,Bet 365,Further details
Keegan Bradley,20,71.87,-,MC,79,42,43,29,MC,MC,MC,MC,-,-,17,-,MC,-,48,7,MC,23,29,MC,MC,22,18,6800,66/1,Bet 365,Further details
Gary Woodland,25,71.88,MC,36,67,6,32,8,1,MC,58,MC,MC,40,38,50,MC,MC,34,10,MC,14,MC,49,55,MC,60,6300,300/1,Bet 365,Further details
Daniel Berger,15,71.94,32,6,MC,12,-,71,49,-,13,34,-,MC,75,7,8,50,MC,MC,-,-,-,-,-,-,-,6600,250/1,Bet 365,Further details
Matt Kuchar,18,71.98,28,MC,9,MC,12,8,16,41,MC,MC,MC,MC,MC,MC,MC,-,34,-,-,-,MC,MC,-,-,-,5900,350/1,Bet 365,Further details
Alexander Noren,19,72.00,MC,25,17,MC,62,54,MC,11,22,17,-,-,55,-,MC,-,MC,MC,-,MC,MC,MC,23,-,12,6900,100/1,Bet 365,Further details
Mark Hubbard,4,72.00,-,-,-,-,-,-,-,-,51,MC,-,-,-,-,-,-,-,-,-,-,75,-,-,-,26,6000,350/1,Bet 365,Further details
Nicolai Hojgaard,7,72.00,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,53,-,50,-,23,16,68,6600,200/1,Bet 365,Further details
Ryan Fox,17,72.00,-,41,39,27,-,MC,MC,16,-,MC,-,-,-,-,67,-,54,MC,MC,26,23,43,52,38,75,6500,125/1,Bet 365,Further details
Taylor Moore,6,72.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,72,MC,MC,20,12,6600,250/1,Bet 365,Further details
Billy Horschel,22,72.01,MC,-,-,35,56,23,32,MC,43,38,38,50,23,MC,53,43,68,MC,21,52,MC,43,MC,-,8,6600,150/1,Bet 365,Further details
Denny McCarthy,9,72.03,-,-,-,-,-,-,-,-,58,-,-,-,59,-,-,-,48,7,-,-,29,20,MC,45,MC,6700,110/1,Bet 365,Further details
Tom Hoge,13,72.07,-,-,-,-,-,-,43,-,58,-,-,-,64,46,-,39,9,MC,MC,MC,58,MC,MC,-,23,6500,175/1,Bet 365,Further details
Kurt Kitayama,14,72.10,-,-,-,-,-,64,-,MC,51,MC,-,-,MC,-,MC,-,-,MC,72,MC,4,MC,60,35,26,6500,175/1,Bet 365,Further details
Harry Higgs,3,72.10,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,14,MC,-,-,-,-,-,-,-,-,5800,300/1,Bet 365,Further details
Taylor Pendrith,5,72.14,-,-,-,-,-,-,-,-,-,23,-,-,-,MC,-,-,-,-,-,-,29,MC,-,-,MC,6100,300/1,Bet 365,Further details
Emiliano Grillo,16,72.17,-,MC,MC,31,62,23,58,MC,66,-,-,-,38,-,12,-,-,-,MC,-,MC,MC,6,MC,MC,6100,400/1,Bet 365,Further details
Jason Scrivener,4,72.17,-,MC,-,-,-,-,-,-,-,-,-,-,23,-,MC,-,-,-,53,-,-,-,-,-,-,5400,1000/1,Bet 365,Further details
Sepp Straka,12,72.18,-,-,-,-,-,-,28,-,66,-,-,-,-,-,-,30,78,MC,MC,46,7,MC,2,16,MC,6500,80/1,Bet 365,Further details
Tiger Woods,17,72.19,32,MC,6,2,1,MC,21,MC,37,MC,38,-,-,-,-,47,WD,-,MC,WD,-,-,-,60,MC,6400,225/1,Bet 365,Further details
Adam Svensson,4,72.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,40,60,-,-,43,5900,350/1,Bet 365,Further details
Wyndham Clark,10,72.21,-,-,-,-,-,-,-,-,MC,-,-,-,75,MC,-,-,-,MC,76,-,MC,1,33,MC,MC,9000,66/1,Bet 365,Further details
Edoardo Molinari,1,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,5300,1500/1,Bet 365,Further details
Eric Cole,5,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,15,39,-,52,MC,6300,250/1,Bet 365,Further details
Seamus Power,8,72.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,12,MC,46,MC,MC,MC,-,-,6100,300/1,Bet 365,Further details
Max Homa,18,72.29,-,-,-,-,-,64,-,-,MC,MC,MC,MC,MC,MC,40,48,13,47,MC,43,55,MC,10,3,35,8600,35/1,Bet 365,Further details
Beau Hossler,7,72.29,-,-,75,MC,-,36,-,-,-,-,-,-,-,-,-,-,69,53,-,-,40,-,-,-,MC,6000,300/1,Bet 365,Further details
Siwoo Kim,24,72.30,24,MC,67,MC,21,MC,MC,MC,13,MC,34,12,MC,40,-,39,60,MC,15,29,MC,39,MC,30,MC,6800,90/1,Bet 365,Further details
Richard Mansell,3,72.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,MC,68,-,-,-,-,-,-,5600,400/1,Bet 365,Further details
Sungjae Im,19,72.30,-,MC,-,42,-,MC,-,MC,MC,22,2,MC,17,35,-,8,-,MC,81,16,MC,MC,20,MC,MC,7100,80/1,Bet 365,Further details
Victor Perez,13,72.31,-,-,-,-,-,-,-,-,22,MC,46,MC,MC,MC,MC,-,-,MC,34,-,12,MC,41,-,MC,6100,200/1,Bet 365,Further details
Erik van Rooyen,15,72.33,-,-,17,-,-,8,43,20,51,23,WD,-,MC,MC,MC,MC,MC,MC,-,-,-,-,-,55,53,6300,200/1,Bet 365,Further details
Zac Blair,2,72.33,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,5500,1000/1,Bet 365,Further details
Sam Burns,14,72.34,-,41,-,-,-,29,-,-,-,-,-,-,-,MC,76,MC,20,27,42,29,MC,32,MC,MC,MC,7200,66/1,Bet 365,Further details
Adam Hadwin,18,72.34,24,MC,35,MC,-,29,-,57,58,54,MC,-,64,40,MC,-,71,7,-,-,40,59,-,53,60,6200,125/1,Bet 365,Further details
Christiaan Bezuidenhout,14,72.37,-,-,-,-,-,-,-,MC,MC,55,38,40,30,31,53,44,MC,-,68,-,MC,-,49,-,MC,6200,110/1,Bet 365,Further details
Mackenzie Hughes,15,72.41,-,MC,-,-,-,-,-,-,58,MC,-,40,MC,15,6,50,MC,24,MC,29,MC,49,-,-,MC,6200,225/1,Bet 365,Further details
Brendon Todd,11,72.47,-,-,-,-,-,-,MC,-,17,23,MC,46,MC,MC,MC,-,-,-,-,-,MC,-,49,-,78,6000,200/1,Bet 365,Further details
Brandon Robinson Thompson,1,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,5300,1500/1,Bet 365,Further details
Mac Meissner,1,72.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5800,400/1,Bet 365,Further details
Adrian Meronk,8,72.55,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,42,MC,40,MC,23,MC,MC,6300,175/1,Bet 365,Further details
Adam Schenk,7,72.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,24,-,-,MC,MC,MC,12,MC,5900,300/1,Bet 365,Further details
Cameron Davis,8,72.61,-,-,39,-,-,-,-,-,-,-,-,-,59,-,-,46,48,-,-,-,4,MC,-,12,MC,6300,250/1,Bet 365,Further details
Phil Mickelson,23,72.65,36,48,24,MC,18,71,52,MC,71,MC,55,21,1,62,MC,-,-,MC,MC,2,58,MC,MC,43,MC,6100,300/1,Bet 365,Further details
Davis Thompson,3,72.67,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,6100,300/1,Bet 365,Further details
Martin Kaymer,15,72.71,48,MC,MC,42,51,MC,35,-,MC,MC,-,-,MC,26,MC,-,MC,-,-,-,-,MC,-,-,73,5700,250/1,Bet 365,Further details
Gordon Sargent,2,72.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,39,-,-,-,5400,500/1,Bet 365,Further details
JT Poston,13,72.88,-,-,-,-,-,60,-,-,75,MC,MC,-,MC,40,-,-,-,-,MC,34,40,MC,41,30,MC,6400,200/1,Bet 365,Further details
Sergio Garcia,21,72.93,MC,MC,MC,MC,MC,MC,52,67,MC,MC,-,MC,MC,19,19,23,MC,MC,68,MC,-,27,-,MC,-,6700,125/1,Bet 365,Further details
Nick Taylor,9,72.95,-,-,-,-,-,-,43,-,MC,-,29,-,-,-,-,-,-,MC,-,-,MC,MC,MC,MC,MC,6400,300/1,Bet 365,Further details
Nicolas Echavarria,2,73.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,5500,1500/1,Bet 365,Further details
Stephan Jaeger,4,73.07,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,50,-,-,MC,76,6200,200/1,Bet 365,Further details
Akshay Bhatia,3,73.10,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,35,MC,6500,150/1,Bet 365,Further details
Brandon Wu,5,73.17,-,-,-,-,-,-,35,MC,-,MC,-,-,-,-,-,-,-,-,MC,-,MC,-,-,-,-,5700,600/1,Bet 365,Further details
Sam Bairstow,2,73.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,81,-,-,-,-,-,-,5500,600/1,Bet 365,Further details
Chesson Hadley,6,73.25,-,MC,MC,MC,-,MC,9,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,500/1,Bet 365,Further details
Robert Rock,1,73.50,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,2000/1,Bet 365,Further details
Matthieu Pavon,5,73.57,-,25,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,12,MC,6000,300/1,Bet 365,Further details
Sunghoon Kang,3,73.63,-,-,-,-,-,-,-,MC,79,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,5300,4000/1,Bet 365,Further details
Rikuya Hoshino,9,73.73,-,MC,-,-,-,-,-,-,-,-,-,-,MC,26,MC,-,60,MC,MC,-,62,-,60,-,-,5500,750/1,Bet 365,Further details
Chris Naegel,2,73.75,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,5100,2500/1,Bet 365,Further details
Ryo Ishikawa,4,73.92,-,-,-,-,-,-,-,-,MC,51,-,-,-,MC,-,-,-,-,-,-,-,63,-,-,-,5500,600/1,Bet 365,Further details
Jim Herman,4,74.00,-,-,-,-,-,-,-,-,77,MC,-,53,MC,-,-,-,-,-,-,-,-,-,-,-,-,5200,2500/1,Bet 365,Further details
Maxwell Moldovan,2,74.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,65,-,-,-,5000,1500/1,Bet 365,Further details
Takumi Kanaya,10,74.14,-,-,-,-,58,-,-,MC,-,MC,-,-,MC,-,MC,MC,MC,-,MC,-,-,-,MC,-,MC,5900,500/1,Bet 365,Further details
Jake Knapp,2,74.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,MC,6000,350/1,Bet 365,Further details
Omar Morales,1,74.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5100,2500/1,Bet 365,Further details
Peter Malnati,4,74.63,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,5800,750/1,Bet 365,Further details
Nick Dunlap,4,74.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,MC,-,MC,MC,5800,175/1,Bet 365,Further details
Neal Shipley,1,75.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,-,5300,1500/1,Bet 365,Further details
Charles Reiter,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Frankie Capan,1,75.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5400,750/1,Bet 365,Further details
Greyson Sigg,2,75.83,-,-,-,-,-,-,-,-,-,MC,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,5800,400/1,Bet 365,Further details
Stewart Hagestad,5,76.25,-,MC,-,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,64,-,-,-,-,-,MC,-,5200,2000/1,Bet 365,Further details
Grant Forrest,1,76.50,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1000/1,Bet 365,Further details
Isaiah Salinda,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5200,1250/1,Bet 365,Further details
Santiago De La Fuente,1,77.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,5400,1500/1,Bet 365,Further details
Carson Schaake,1,77.50,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,5100,2500/1,Bet 365,Further details
Brendan Valdes,1,78.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,5100,1500/1,Bet 365,Further details
Ashton McCulloch,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
Benjamin James,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,750/1,Bet 365,Further details
Brian Campbell,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1250/1,Bet 365,Further details
Bryan Kim,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,3000/1,Bet 365,Further details
Carter Jenkins,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2000/1,Bet 365,Further details
Casey Jarvis,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,1500/1,Bet 365,Further details
Chris Petefish,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2500/1,Bet 365,Further details
Colin Prater,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Eugenio Chacarra,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,600/1,Bet 365,Further details
Frederik Kjettrup,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,1500/1,Bet 365,Further details
Gunnar Broin,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,3000/1,Bet 365,Further details
Hiroshi Tai,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,3000/1,Bet 365,Further details
Jackson Buchanan,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,2500/1,Bet 365,Further details
Joey Vrzich,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
John Chin,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Justin Lower,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,600/1,Bet 365,Further details
Logan McAllister,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5200,2000/1,Bet 365,Further details
Luke Clanton,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5600,500/1,Bet 365,Further details
Matteo Manassero,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,450/1,Bet 365,Further details
Max Greyserman,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5500,1000/1,Bet 365,Further details
Michael McGowan,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,4000/1,Bet 365,Further details
Otto Black,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,4000/1,Bet 365,Further details
Parker Bell,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,3000/1,Bet 365,Further details
Rico Hoey,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5400,1250/1,Bet 365,Further details
Riki Kawamoto,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,2500/1,Bet 365,Further details
Taisei Shimizu,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5300,1000/1,Bet 365,Further details
Tom McKibbin,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,250/1,Bet 365,Further details
Wells Williams,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5100,2000/1,Bet 365,Further details
Willie Mack III,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,2500/1,Bet 365,Further details
